year,touches_NOUN fines_ADJ
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,4.943701892301533e-09
1805,5.970043304159844e-08
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,1.6380887757350138e-08
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,2.697223555614414e-09
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,1.7750679148775816e-08
1822,9.023054303725075e-09
1823,1.9765373782121287e-09
1824,0.0
1825,0.0
1826,4.403992281964975e-09
1827,0.0
1828,0.0
1829,8.57317605795771e-10
1830,0.0
1831,1.4032085715598441e-08
1832,2.1647950987357945e-08
1833,1.1583628500844156e-09
1834,0.0
1835,3.025235173481633e-09
1836,1.3441500135158435e-09
1837,0.0
1838,0.0
1839,6.292327547896548e-09
1840,7.0066574764382494e-09
1841,0.0
1842,6.708265054555795e-10
1843,0.0
1844,2.195424508855126e-09
1845,0.0
1846,5.854501328173001e-10
1847,2.1572894581822766e-09
1848,1.045878850192139e-08
1849,1.9272654583346593e-08
1850,8.82569484161877e-09
1851,1.096404567135778e-08
1852,2.6042181744401205e-09
1853,5.971931837933653e-09
1854,2.5978321716024766e-09
1855,2.653468555990912e-09
1856,6.73034605824796e-09
1857,2.9289055625270066e-09
1858,4.404308473482388e-09
1859,9.675129142294736e-09
1860,5.034902272882391e-09
1861,9.903524222920623e-09
1862,2.2589932147099034e-09
1863,1.1487627737949424e-08
1864,1.9178911792039344e-09
1865,9.413688495385486e-09
1866,3.4059290943133647e-09
1867,2.426405742994575e-09
1868,9.87974857480367e-09
1869,8.30198221279943e-09
1870,4.013834153937523e-09
1871,1.0621177271019633e-09
1872,2.4189357183956872e-09
1873,0.0
1874,1.7923826867161097e-09
1875,2.8607636259891933e-09
1876,4.232210137899983e-09
1877,4.329371083855449e-09
1878,4.831270938865373e-09
1879,3.665595160740054e-09
1880,0.0
1881,5.5780060570498335e-09
1882,1.4641846846075168e-08
1883,8.21514056781325e-09
1884,3.9610181801208455e-09
1885,7.090199094506033e-09
1886,1.2906927748801422e-09
1887,2.6115698492645834e-09
1888,6.340614699951175e-09
1889,3.759081934617825e-09
1890,1.9663159989136147e-09
1891,2.5496880162734215e-09
1892,3.761107425503951e-09
1893,2.463366621796581e-09
1894,7.561847148451761e-09
1895,6.6204757231957956e-09
1896,3.5382172747233653e-09
1897,5.826713334045053e-09
1898,1.13167097914868e-09
1899,3.8693048765026106e-09
1900,2.07642125715779e-09
1901,5.588738916095792e-10
1902,9.820567692386817e-10
1903,1.296052865029651e-08
1904,3.7622376325430196e-09
1905,2.0643036169332163e-09
1906,1.5432553013283723e-09
1907,3.0857059130084963e-09
1908,1.1787333775714615e-08
1909,6.0510818578052294e-09
1910,2.137660271017694e-09
1911,7.980561100850991e-09
1912,3.646594803896619e-09
1913,5.302989602995467e-09
1914,3.3483718020477227e-09
1915,0.0
1916,1.0987462051303964e-09
