year,plusieurs_DET âmes_NOUN,plusieurs_DET ames_NOUN,plusieurs_DET femmes_NOUN
1800,1.5720821977538435e-08,8.174828014517743e-08,1.421162338033355e-06
1801,4.7623651688866175e-09,1.142967676059925e-07,1.6549219168382479e-06
1802,2.6854081625060644e-08,5.147032311469957e-08,1.50830422285253e-06
1803,2.145373123596528e-08,2.9255089017965474e-08,2.0400548663701557e-06
1804,2.4718509461507665e-09,5.9324420931261557e-08,1.3842365120808608e-06
1805,8.528632911009026e-09,8.528632911009026e-09,1.546525510320862e-06
1806,2.881669125542885e-08,7.492339815229343e-08,1.5647463271761808e-06
1807,5.693910232196231e-09,4.555128185756985e-08,1.49180445419006e-06
1808,4.5321479902327155e-09,4.305540501903238e-08,1.7901984818990968e-06
1809,4.518061036407062e-09,5.647576473144511e-08,1.3893037333900793e-06
1810,7.020380277111826e-09,5.616304221689461e-08,1.1513423459064143e-06
1811,2.757784400841956e-08,7.521229861140455e-09,1.6496565393708806e-06
1812,2.6672082320544632e-09,2.6672083208723052e-08,2.144435399031863e-06
1813,5.751483289628823e-09,8.339650747757332e-08,1.8289716621211483e-06
1814,3.1466771410748606e-09,4.090680416624082e-08,1.1768572250048237e-06
1815,8.091670622434322e-08,1.3486118000116676e-08,1.2973644913927274e-06
1816,3.7081662185300956e-08,8.343373991692715e-08,1.638545924720347e-06
1817,3.113746771532533e-08,6.227493543065066e-08,1.9242955744402934e-06
1818,3.099506074022429e-08,1.2159601192607283e-07,1.536639715027377e-06
1819,6.107119787657211e-08,2.8982939270782992e-08,1.5019373620361876e-06
1820,6.28923526591052e-08,7.119888323359191e-08,2.065954419094851e-06
1821,6.508582206521396e-08,1.4792232372329295e-07,1.4851400891302546e-06
1822,1.5038423839541792e-08,2.5064039732569654e-08,1.4517091386778702e-06
1823,3.4589403785645345e-08,6.324919610278812e-08,1.3984002507072546e-06
1824,2.2737005167527968e-08,2.7789671008804362e-08,1.3372726499483178e-06
1825,2.289415235168235e-08,4.402721454077607e-08,1.6439762404729663e-06
1826,4.4039921931471326e-08,6.78214817639855e-08,1.4198470950077535e-06
1827,1.6591091167583727e-08,2.9495274389557125e-08,1.4019472622806006e-06
1828,2.2013523448549677e-08,6.328887752760082e-08,1.147454852912233e-06
1829,3.1720752247110795e-08,5.486832838075273e-08,1.1239434272170001e-06
1830,2.5048406016026092e-08,3.444155893816969e-08,1.6291900806209014e-06
1831,3.741889287312006e-08,3.89780165921394e-08,1.2893927916479697e-06
1832,5.682586978750237e-08,6.3590853471851e-08,1.233933204503046e-06
1833,5.444305384294523e-08,1.1351956286098641e-07,1.3715015896309524e-06
1834,5.040646566811802e-08,2.520323283405901e-08,1.3703090928629535e-06
1835,8.092504089063368e-08,4.9160071569076536e-08,1.4052217238713638e-06
1836,6.922372675077781e-08,2.1573607389413496e-07,1.3717050961759014e-06
1837,6.401259333710385e-08,2.99189295560609e-08,1.2419834831689514e-06
1838,7.006499758155371e-08,3.2192026155897224e-08,1.2674821618929855e-06
1839,7.550793323929383e-08,1.4052865804359271e-07,1.0235519383172687e-06
1840,9.10865451952958e-08,1.974603480725534e-08,1.029341682112772e-06
1841,1.020867226309008e-07,1.733548105065097e-08,1.1428576698335746e-06
