year,voix_NOUN in_ADJ,voix_NOUN fines_ADJ
1800,1.2576657937302116e-08,3.144164484325529e-09
1801,7.143547975374531e-09,0.0
1802,6.713520406265161e-09,0.0
1803,3.900678446910888e-09,0.0
1804,7.4155526164076946e-09,4.943701892301533e-09
1805,2.842877711017877e-09,0.0
1806,0.0,0.0
1807,5.693910232196231e-09,0.0
1808,0.0,0.0
1809,2.259030518203531e-09,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,5.751483289628823e-09,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,2.3176038865813098e-09,0.0
1817,4.670620334934483e-09,0.0
1818,2.026600220972341e-08,0.0
1819,1.035105001712111e-09,0.0
1820,0.0,0.0
1821,2.9584463767662328e-09,0.0
1822,8.02049271442229e-09,0.0
1823,0.0,0.0
1824,1.6842225392110777e-09,0.0
1825,4.4027217427355936e-09,0.0
1826,0.0,0.0
1827,1.1982455028203276e-08,0.0
1828,9.172301251858528e-10,0.0
1829,2.571952872898464e-09,0.0
1830,6.262101504006523e-09,0.0
1831,1.5591206103948707e-09,0.0
1832,5.411987746839486e-09,0.0
1833,4.6334514003376626e-09,0.0
1834,2.8003592777992026e-09,0.0
1835,2.2689263801112247e-09,0.0
1836,2.6882999715205358e-09,2.688300027031687e-09
1837,8.349468672008697e-09,0.0
1838,2.5248647617104325e-09,6.312161904276081e-10
1839,6.292327547896548e-09,0.0
1840,3.1848443882154243e-09,0.0
1841,3.852329122366882e-09,0.0
1842,3.3541325272778977e-09,0.0
1843,4.134837805480629e-09,0.0
1844,3.841992946007622e-09,0.0
1845,2.7901139176833567e-09,0.0
1846,3.5127007969038004e-09,0.0
1847,1.0786447290911383e-09,2.6966118227278457e-09
1848,1.6090443422100975e-09,0.0
1849,6.703531951757213e-09,0.0
1850,9.504594444820214e-09,0.0
1851,1.2898877521649865e-09,0.0
1852,5.859490670445666e-09,0.0
1853,2.388772735173461e-09,0.0
1854,2.0782657816909023e-09,0.0
1855,2.1227748447927297e-09,0.0
1856,4.659470143053568e-09,5.694908100650764e-09
1857,5.369659827891837e-09,0.0
1858,2.936205500958522e-09,3.9149408159744326e-09
1859,1.0693564256314403e-08,3.055304009791371e-09
1860,7.781213007262977e-09,3.661747127736703e-09
1861,1.8863854922557266e-09,9.431927461278633e-10
1862,6.325180823552046e-09,0.0
1863,1.4983862484108101e-09,0.0
1864,2.8768367688059016e-09,0.0
1865,3.765475486972036e-09,0.0
1866,6.811858022093276e-09,0.0
1867,1.455843445796745e-09,0.0
1868,4.44588676984381e-09,0.0
1869,2.9301114867763545e-09,2.441759683335931e-09
1870,4.587239033071455e-09,0.0
1871,0.0,0.0
1872,4.837871325769072e-09,0.0
1873,2.9930022904522957e-09,0.0
1874,1.1949218281515073e-09,0.0
1875,2.2886108563824337e-09,0.0
1876,0.0,0.0
1877,2.4739263970730008e-09,0.0
1878,1.8117265465633636e-09,0.0
1879,1.832797580370027e-09,0.0
1880,3.2089231272180996e-09,0.0
1881,6.972507571312292e-10,0.0
