year,bons_ADJ acteurs_NOUN,bons_ADJ facteurs_NOUN
1800,8.803660733747165e-08,1.2576657937302116e-08
1801,9.762848662830947e-08,0.0
1802,7.161088433349505e-08,0.0
1803,1.2482171030114841e-07,0.0
1804,8.15710812229753e-08,0.0
1805,1.2224374756897305e-07,0.0
1806,8.35684019762084e-08,0.0
1807,1.1672516109229036e-07,0.0
1808,1.223679948481049e-07,0.0
1809,1.7620438086396462e-07,0.0
1810,1.6614900388844944e-07,0.0
1811,7.019814773912003e-08,1.504245972228091e-08
1812,2.2937990973304068e-07,0.0
1813,1.2078115219082974e-07,0.0
1814,1.541871768040437e-07,3.4613449884091096e-08
1815,3.776112933451259e-08,0.0
1816,5.3304887615013286e-08,0.0
1817,1.292204956371279e-07,0.0
1818,9.179306914575136e-08,0.0
1819,7.349245834120666e-08,0.0
1820,1.0205173595068118e-07,0.0
1821,2.031466550533878e-07,4.930744257336528e-09
1822,1.884815787889238e-07,6.015369535816717e-09
1823,1.2155705064742506e-07,4.941343334508019e-09
1824,1.1200079796935825e-07,7.57900142644985e-09
1825,1.3120110509134975e-07,0.0
1826,1.083382059618998e-07,8.807984341885344e-10
1827,6.728609491801762e-08,0.0
1828,1.3024667566696735e-07,1.8344602503717056e-09
1829,1.1830982771243725e-07,0.0
1830,1.753388403358258e-07,1.0436835840010872e-09
1831,9.354723573551382e-08,0.0
1832,2.692463851872162e-07,0.0
1833,1.783878786909554e-07,1.1583628500844156e-09
1834,5.1339920759119195e-08,9.334530925997342e-10
1835,6.050470346963266e-08,0.0
1836,7.796069922960669e-08,0.0
1837,7.584100814028716e-08,0.0
1838,8.079567237473384e-08,2.5248647617104325e-09
1839,8.599514700335931e-08,2.7965900706306e-09
1840,7.070354257621148e-08,6.369688665408546e-10
1841,5.008027770259105e-08,5.1364388298225094e-09
1842,3.5553803456878086e-08,1.341653010911159e-09
1843,5.965980420796768e-08,3.5441467538532834e-09
1844,4.8848196598783034e-08,1.6465684371524958e-09
1845,3.4039391749729475e-08,6.138250796539069e-09
1846,5.678866443759034e-08,2.9272506640865004e-09
1847,3.128069891999985e-08,0.0
1848,3.539897619475596e-08,7.24069959545659e-09
1849,1.6758828991214614e-08,8.379414495607307e-09
1850,1.2899092460827433e-08,4.073397619208663e-08
1851,4.385618268543112e-08,5.8044946626978344e-09
1852,9.310080173463575e-08,0.0
1853,5.852493245583901e-08,2.9859659189668264e-09
1854,3.896748168585873e-08,8.832629738719788e-09
1855,6.474463276617826e-08,0.0
1856,6.212626857404757e-08,3.1063134287023786e-09
1857,4.78387889302212e-08,6.345961978126979e-09
1858,6.312841804856362e-08,3.9149408159744326e-09
1859,6.365216620451974e-08,2.036869339860914e-09
1860,6.59114505197067e-08,0.0
1861,6.602348889828136e-08,1.8863854922557266e-09
1862,5.602302977081308e-08,2.2589932147099034e-09
1863,3.795911851511846e-08,4.994620828036034e-10
1864,5.2262535632507934e-08,1.4384183844029508e-09
1865,4.094954419997521e-08,3.765475486972036e-09
1866,6.373952743388145e-08,0.0
1867,5.871901720411188e-08,9.7056229719783e-10
1868,2.9639243948054173e-08,1.4819622196071691e-09
1869,6.006728625607138e-08,4.883519366671862e-09
1870,5.3326655091723296e-08,1.1468097582678638e-09
1871,4.0360472297606975e-08,0.0
1872,1.6327815544059376e-08,6.047339295989218e-10
1873,9.398026890039546e-08,4.190203295451056e-09
1874,4.540703102406951e-08,1.7923826867161097e-09
1875,5.492666116380107e-08,5.721527251978387e-09
1876,8.162120290755581e-08,9.673623679873344e-09
1877,8.967983178287398e-08,0.0
1878,7.005343150012777e-08,3.0195443923020093e-09
1879,5.803859159936309e-08,4.27652757650776e-09
1880,1.007601895253174e-07,3.8507077526617195e-09
1881,8.088108627291035e-08,4.183504653809678e-09
1882,8.518892968822911e-08,4.6587693702804245e-09
1883,6.192952489714187e-08,1.8958017378167824e-09
1884,5.809493330843907e-08,6.601696966868076e-10
1885,8.121500627567002e-08,6.445635691854079e-10
1886,6.195325141788999e-08,1.936039106809062e-09
1887,7.442974236937516e-08,4.570247291724172e-09
1888,7.418519487600861e-08,2.53624587998047e-09
1889,5.262714708464955e-08,3.132568426877924e-09
1890,4.4569826940232815e-08,6.554386478008212e-10
1891,4.461954006274027e-08,0.0
1892,4.325273650351846e-08,6.268512375839919e-10
1893,3.571881634911733e-08,6.158416554491453e-10
1894,3.591877373310126e-08,3.780923574225881e-09
1895,3.49079627426363e-08,6.018614495673091e-10
1896,5.7201180680976904e-08,0.0
1897,1.2818770045441852e-08,1.1653427112179315e-09
1898,5.545187642397309e-08,5.6583548957434e-10
1899,1.9899282222013426e-08,2.7637891975018647e-09
1900,5.3467847038746186e-08,5.191053142894475e-10
1901,3.017919070202879e-08,5.588738916095792e-10
1902,2.356936334990678e-08,1.4730852093691738e-09
1903,3.6181475593366486e-08,1.6200660812870638e-09
1904,3.0635362691100454e-08,0.0
