year,leurs_DET oeufs_NOUN,leurs_DET feux_NOUN
1800,6.697070347172485e-07,5.722379476935657e-07
1801,1.050101520405633e-06,6.357757271757691e-07
1802,9.60033418095918e-07,6.556871596785641e-07
1803,4.40191568773507e-06,4.4467734028330597e-07
1804,1.1741291841005363e-06,6.006597779162348e-07
1805,3.7810272224270136e-07,1.0006929036521228e-06
1806,1.3832012424330742e-07,8.904357535755025e-07
1807,3.046241943138739e-07,4.2704325942111154e-07
1808,1.3596443526608937e-07,6.186381789063944e-07
1809,9.713831361501946e-08,6.641549656904999e-07
1810,2.1529165650235882e-07,5.873718329496569e-07
1811,4.512738271955641e-08,7.72179618024893e-07
1812,6.13457871168066e-08,4.587598176897245e-07
1813,7.476928232108548e-08,4.3423699835898333e-07
1814,1.541871768040437e-07,3.901879779277806e-07
1815,9.170560133497929e-08,4.720141175695858e-07
1816,2.410307988753857e-07,3.592286113018872e-07
1817,3.3005717270384594e-07,5.137681977629427e-07
1818,2.873003861481038e-07,5.996352496762114e-07
1819,3.1363681074481065e-07,4.937450945874389e-07
1820,4.2719332071783356e-08,8.009874790104732e-07
1821,3.944595405869222e-08,3.2740141975295955e-07
1822,3.709477880420309e-08,5.002782188512356e-07
1823,9.882686669016039e-08,5.899963904099081e-07
1824,6.315834522041541e-08,5.591618865707915e-07
1825,1.2415675021415495e-07,9.782846674966095e-07
1826,5.901349608983253e-08,5.029358973729359e-07
1827,1.0415518819639757e-07,3.7790820739402875e-07
1828,9.997808075867809e-08,3.25616682061991e-07
1829,5.915491319008481e-08,5.263930020760199e-07
1830,8.453836830568662e-08,4.456528941432225e-07
1831,6.704218602493484e-08,4.614996953478112e-07
1832,4.329590330698352e-08,5.709646941909341e-07
1833,5.096796640291501e-08,7.726280086828297e-07
1834,6.627516802026889e-08,5.012642940727119e-07
1835,1.096647750387092e-07,3.289943393269823e-07
1836,8.736975087852983e-08,4.4289742406888877e-07
1837,8.140732621342295e-08,4.56437641238594e-07
1838,8.07956750392691e-08,5.83874961268549e-07
1839,6.571986876924285e-08,3.9921322159131023e-07
1840,2.802663096046487e-08,4.821854426850791e-07
1841,5.393260860131477e-08,4.738364869361078e-07
1842,1.4154439176294886e-07,4.024958930592959e-07
1843,3.780423196708682e-08,3.538239763400952e-07
1844,7.080243868973213e-08,3.166899809059487e-07
1845,7.868121487675239e-08,4.698551814286134e-07
1846,6.732676283149885e-08,4.3440399366545535e-07
1847,9.114547694366593e-08,5.425582862983447e-07
1848,6.597081636527946e-08,3.781254247492427e-07
1849,1.1144621780978525e-07,4.6840930778557777e-07
1850,2.9192682049483665e-08,4.7251412649274016e-07
1851,3.5471913850670944e-08,4.450112642828685e-07
1852,6.445440137170522e-08,3.0664668004831697e-07
1853,5.912212475145395e-08,3.445804737101099e-07
1854,3.1693552504652445e-08,4.1253576910094125e-07
1855,3.02495415382964e-08,4.643569830875549e-07
1856,2.1744195222161977e-08,5.073645663600246e-07
1857,3.1241656484048974e-08,4.33966159452126e-07
1858,2.4468380044329052e-08,4.335797094690008e-07
1859,3.208069188076479e-08,4.6644308193677375e-07
1860,1.4463901010230984e-07,3.91806941113515e-07
1861,3.159695793897299e-08,5.23471979541057e-07
1862,1.8975542942500923e-08,4.2694969004664074e-07
1863,1.1487628293060936e-08,4.9296909132579e-07
1864,2.685047595374357e-08,3.7974245081784375e-07
1865,1.3649848362717876e-08,3.8549055592085324e-07
1866,2.5301186923343266e-08,4.739106955753414e-07
1867,1.9896527092555516e-08,3.959894101512873e-07
1868,2.2723421366777075e-08,4.332269596396543e-07
1869,1.465055732285947e-08,3.892164746055471e-07
1870,2.9243647947652107e-08,4.954218049135761e-07
1871,2.6552942955504477e-08,1.0408754018698119e-06
1872,2.4794092001734214e-08,6.664167848668967e-07
1873,2.7535620006347017e-08,5.722620448622706e-07
1874,4.421210775262807e-08,4.845407937104085e-07
1875,2.1741803024610817e-08,4.211043984625462e-07
1876,1.753344314181504e-08,4.3894068069150194e-07
1877,3.030559980743419e-08,4.323186288957004e-07
