year,vieux_ADJ fils_NOUN
1800,0.0
1801,0.0
1802,2.2378401354217203e-08
1803,1.950339223455444e-09
1804,2.4718509461507665e-09
1805,0.0
1806,2.881669125542885e-09
1807,0.0
1808,0.0
1809,2.0331274441787173e-08
1810,0.0
1811,0.0
1812,1.3336041604361526e-08
1813,3.163315653864629e-08
1814,5.034683425719777e-08
1815,1.0788894222457657e-08
1816,0.0
1817,6.227493631882908e-09
1818,1.7881765401739358e-08
1819,4.140420006848444e-09
1820,1.6613073583471305e-08
1821,2.9584464655840748e-08
1822,0.0
1823,2.9648061783404955e-09
1824,1.0947446504872005e-08
1825,4.4027217427355936e-09
1826,2.642395191543301e-09
1827,3.6869092223668076e-09
1828,9.172301140836225e-09
1829,1.5431716349212365e-08
1830,1.461157062010443e-08
1831,1.7150326936388183e-08
1832,8.117981842303834e-09
1833,0.0
1834,4.293884137140935e-08
1835,1.5126175867408165e-09
1836,2.150639949460853e-08
1837,5.5663127440652715e-09
1838,6.312161904276081e-09
1839,2.1673573158409454e-08
1840,8.280594876453051e-09
1841,6.420548537278137e-09
1842,4.024959032733477e-09
1843,1.9492807368237663e-08
1844,8.781698035420504e-09
1845,8.37034175305007e-09
1846,4.0981511517657054e-09
1847,4.314578916364553e-09
1848,4.02261068899179e-09
1849,4.0221190156231046e-08
1850,1.0183494048021657e-08
1851,2.579775504329973e-09
1852,5.208436348880241e-09
1853,9.555090940693844e-09
1854,6.754364012540037e-09
1855,3.1841622671890946e-09
1856,3.6240324075009767e-09
1857,8.78671624349181e-09
1858,2.4468380654951716e-09
1859,1.3748867822016564e-08
1860,1.327383358784573e-08
1861,1.3676294763342867e-08
1862,8.132375661773494e-09
1863,6.493007020935693e-09
1864,1.4384183844029508e-09
1865,7.0602665935837194e-09
1866,1.2650593461671633e-08
1867,7.279217228983725e-09
1868,1.975949626142892e-09
1869,4.395167341186834e-09
1870,0.0
1871,2.1242353653860846e-08
1872,1.1489944995446422e-08
1873,4.788803575905831e-09
1874,8.961913877669758e-09
1875,4.005069165202713e-09
1876,1.209202959984168e-09
1877,4.9478527941460015e-09
1878,6.039088784604019e-09
1879,3.0546627449723474e-09
1880,3.8507077526617195e-09
1881,2.7890029841159958e-08
1882,1.1979693237407218e-08
1883,5.687405213450347e-09
1884,5.281357573494461e-09
1885,5.156508553483263e-09
1886,1.936039106809062e-09
1887,8.48760173255414e-09
1888,5.07249175996094e-09
1889,2.6940088715399213e-08
1890,1.8352282304956447e-08
1891,1.0836173736095134e-08
1892,1.8805537127519756e-09
1893,4.310891532632866e-09
1894,8.822155450616265e-09
1895,1.2639090218868887e-08
1896,1.3563166589847242e-08
1897,8.740070001067579e-09
1898,5.09251940616906e-09
1899,7.185851913504848e-09
1900,1.0901211489056095e-08
1901,1.1177477832191585e-09
1902,1.3748794991386148e-08
1903,1.2420506401156217e-08
1904,5.374625189347171e-09
1905,5.160759042333041e-10
1906,3.600929110447737e-09
