year,grands_ADJ ânes_NOUN,grands_ADJ fans_NOUN
1800,9.432493897065797e-09,3.144164484325529e-09
1801,0.0,0.0
1802,8.951360541686881e-09,0.0
1803,1.950339267864365e-08,0.0
1804,2.4718509461507665e-09,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,2.8469551160981155e-09,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,1.1700633351097167e-08,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,2.7811246638975717e-08,0.0
1817,9.341240669868967e-09,0.0
1818,4.768470951432846e-09,0.0
1819,0.0,0.0
1820,1.898636980968149e-08,0.0
1821,2.9584463767662328e-09,0.0
1822,1.0025615893027862e-08,0.0
1823,1.9765373782121287e-09,0.0
1824,1.6842225392110777e-09,0.0
1825,4.4027217427355936e-09,0.0
1826,7.927186018719112e-09,0.0
1827,1.8434546111834038e-09,0.0
1828,7.337841001486822e-09,0.0
1829,1.628903412154159e-08,0.0
1830,4.174734158368665e-08,0.0
1831,0.0,0.0
1832,0.0,0.0
1833,1.6217079235048004e-08,0.0
1834,1.213489042584115e-08,0.0
1835,6.050470346963266e-09,0.0
1836,3.36037508930076e-09,0.0
1837,9.74104708006962e-09,0.0
1838,3.1560809521380406e-09,0.0
1839,4.894032734625853e-09,0.0
1840,0.0,0.0
1841,5.1364388298225094e-09,0.0
1842,1.0733224087289273e-08,0.0
1843,7.088293507706567e-09,0.0
1844,1.6465684371524958e-09,0.0
1845,7.812318791877715e-09,0.0
1846,4.0981511517657054e-09,0.0
1847,5.3932236454556914e-09,0.0
1848,1.287235473768078e-08,0.0
1849,4.1897072478036534e-09,0.0
1850,3.394498016007219e-09,0.0
1851,0.0,0.0
1852,3.906327261660181e-09,0.0
1853,3.5831591027601917e-09,0.0
1854,5.195664343204953e-09,0.0
1855,1.6451505047143655e-08,0.0
1856,6.212626857404757e-09,0.0
1857,4.881508974818871e-09,0.0
1858,5.872411001917044e-09,0.0
1859,1.6804172275897145e-08,0.0
1860,1.0527522853465143e-08,0.0
1861,1.839225838295988e-08,0.0
1862,7.680577063240435e-09,0.0
1863,1.4983863039219614e-09,0.0
1864,3.3563094525845827e-09,0.0
1865,6.589582213223366e-09,0.0
1866,1.0704348518686402e-08,0.0
1867,1.455843445796745e-08,0.0
1868,7.409810987013543e-09,0.0
1869,1.3185501579471293e-08,1.4650557433881772e-09
1870,6.880858549607183e-09,0.0
1871,1.5931766128574054e-08,0.0
1872,3.0236697590169115e-09,0.0
1873,7.183205141814142e-09,0.0
