year,nos_DET iles_NOUN,nos_DET fils_NOUN
1800,2.5153315874604232e-08,1.3834323642214486e-07
1801,2.3811825844433088e-08,9.048493865293494e-08
1802,9.398928568771225e-08,1.208433673127729e-07
1803,5.070881914370773e-08,7.021221537506506e-08
1804,4.44933170307138e-08,2.0763547681212913e-07
1805,2.55858996212055e-08,1.9047280641615316e-07
1806,8.645007376628655e-09,1.412017933688503e-07
1807,1.9928686256776018e-08,1.5088861937684328e-07
1808,1.5862518409903714e-08,6.118399742405245e-08
1809,2.4849335034105025e-08,1.9201759027254184e-07
1810,2.574139346123161e-08,1.8955026348521642e-07
1811,1.7549536934780008e-08,1.5042460077552278e-07
1812,1.8670457180292033e-08,2.1337665856435706e-07
1813,5.176335027279322e-08,2.3868656207071126e-07
1814,2.5173417572688095e-08,5.947219978708063e-07
1815,4.045835311217161e-08,2.9939182777383166e-07
1816,1.622322720606917e-08,1.8077310848241268e-07
1817,5.449057050022077e-08,1.7592669632193747e-07
1818,2.98029441125891e-08,2.1458118837358597e-07
1819,5.175525008560555e-09,2.380741532803654e-07
1820,1.0679833017945839e-08,1.471443722422805e-07
1821,1.972297702934611e-08,2.9978924587226174e-07
1822,9.023054303725075e-09,3.0076847679083585e-07
1823,2.0753642027138142e-08,2.8560966214286054e-07
1824,1.0947446504872005e-08,2.922125972304457e-07
1825,1.0566531649658373e-08,2.6064111402490653e-07
1826,2.7304752237000685e-08,3.5231936834634325e-07
1827,1.6591091167583727e-08,2.3043183006166146e-07
1828,2.2013523448549677e-08,1.8986662908559993e-07
1829,1.8860986994440054e-08,2.606245566028065e-07
1830,2.400472176589119e-08,3.0788664417968903e-07
1831,1.091384405071949e-08,5.893476107132756e-07
1832,6.764984572527055e-09,4.1672307027340594e-07
1833,1.6217079235048004e-08,3.0464943634456176e-07
1834,1.0267984240641681e-08,3.1364024621893805e-07
1835,3.781543966852041e-08,3.153807739408876e-07
1836,2.5538850312312178e-08,3.44774488070243e-07
