year,ses_DET eaux_NOUN,ses_DET faux_ADJ
1800,7.29131750176748e-06,2.483890000348765e-07
1801,6.350613830363727e-06,3.9289511377660347e-07
1802,9.786074770090636e-06,2.394488944901241e-07
1803,7.477600348693159e-06,2.398917331447592e-07
1804,9.55370396127364e-06,4.4987687952691147e-07
1805,6.604005093890919e-06,4.463317964109592e-07
1806,6.0025169261734845e-06,3.198652791525092e-07
1807,7.222724946132075e-06,3.7295112065294234e-07
1808,6.415255626279759e-06,3.059199795707457e-07
1809,6.250737442314858e-06,3.298184643174551e-07
1810,6.056247940477988e-06,5.171679999804724e-07
1811,6.232593023014488e-06,3.2591998433417757e-07
1812,7.428174882306848e-06,1.8670456958247428e-07
1813,6.306501518338337e-06,4.975033114362759e-07
1814,5.210897285223837e-06,2.7376091393804813e-07
1815,4.34252993386508e-06,4.4773909735340567e-07
1816,5.0037069598829476e-06,3.036061002603674e-07
1817,4.376371066427964e-06,3.8766147980595633e-07
1818,5.666135464821309e-06,2.8014766662032287e-07
1819,4.332949657737117e-06,5.216929341855803e-07
1820,5.325676738721086e-06,4.770325405800691e-07
1821,4.665470214604284e-06,5.335065255129834e-07
1822,5.791798173504503e-06,4.4513734565043706e-07
1823,4.699217583947757e-06,3.9926055250827375e-07
1824,4.559190628583565e-06,4.050555295620484e-07
1825,5.242760593660023e-06,4.6756903770983627e-07
1826,6.053727787502794e-06,2.677627253255821e-07
1827,4.123807855194173e-06,2.6084882703836243e-07
1828,4.8539817782966566e-06,3.540508211052895e-07
1829,5.31022510585899e-06,3.360685085773696e-07
1830,5.133879398044883e-06,2.911877090561177e-07
1831,5.466277002597053e-06,3.1961973601113414e-07
1832,5.0480313689149625e-06,3.1254228360921843e-07
1833,7.221234170629032e-06,3.0233269754376124e-07
1834,5.709932622721681e-06,3.4631110490401795e-07
1835,5.971057817077963e-06,3.373137147377747e-07
1836,5.223366983386768e-06,4.019008570388394e-07
1837,5.070911015536694e-06,2.4909249229931874e-07
1838,5.344507485460781e-06,2.5690498617336743e-07
1839,4.167618499195669e-06,2.3561271600414102e-07
1840,4.895742691246596e-06,3.305868402914136e-07
1841,4.443019719246877e-06,3.1075454121065604e-07
1842,4.607236263609593e-06,3.246800344136602e-07
1843,4.280147635427056e-06,3.4791706138292966e-07
1844,3.849127978128308e-06,3.836504403054164e-07
1845,4.2560396451563065e-06,3.844777167749669e-07
1846,4.042533049641861e-06,3.020922711982621e-07
1847,3.7757957898065797e-06,2.4377370344552673e-07
1848,4.015369981402728e-06,2.8801893758867436e-07
1849,3.980222174959636e-06,2.446789173493613e-07
1850,3.942370099707659e-06,3.333397078364442e-07
1851,4.119901419130656e-06,3.347258794583752e-07
1852,4.3275595658087695e-06,3.0599564770916743e-07
1853,4.1289937087185535e-06,3.43983282524718e-07
1854,4.1461400144271465e-06,4.6968807104752486e-07
1855,4.2359970109373535e-06,3.4176673935348845e-07
