year,trois_DET âmes_NOUN,trois_DET ames_NOUN,trois_DET femmes_NOUN
1800,0.0,6.288328968651058e-09,8.017619705924517e-07
1801,2.3811825844433088e-09,4.7623650800687756e-08,6.810182426875144e-07
1802,0.0,1.7902721083373763e-08,5.997411278713116e-07
1803,3.900678446910888e-09,1.755305234496518e-08,5.441446546683437e-07
1804,1.2359254952798437e-08,3.460591280202152e-08,6.871745412695418e-07
1805,8.528632911009026e-09,3.695740957709859e-08,6.481760976839723e-07
1806,6.627838899930794e-08,2.881669125542885e-09,4.4665872778182347e-07
1807,0.0,1.4234775136401367e-08,3.5017548682958477e-07
1808,2.2660739062985158e-08,6.571614363792833e-08,6.866203960953499e-07
1809,0.0,9.036122072814123e-09,5.534624527570031e-07
1810,2.3401267590372754e-09,2.8081521108447305e-08,6.762966293649697e-07
1811,2.0056614147279106e-08,1.0028307073639553e-08,6.618682846237789e-07
1812,5.3344164641089264e-09,4.800974906515876e-08,4.800974706675731e-07
1813,5.751483289628823e-09,2.8757416448144113e-09,9.23113056217062e-07
1814,0.0,6.293354282149721e-09,4.4682814248631075e-07
1815,2.966945977789237e-08,5.394447111228828e-09,5.745085935870975e-07
1816,3.7081662185300956e-08,9.270415546325239e-09,4.357095235718589e-07
1817,1.5568733857662664e-08,1.2454987263765815e-08,6.211925178689626e-07
1818,1.3113295338484932e-08,7.152706427149269e-09,7.18847009695267e-07
1819,3.2088255608186955e-08,2.070209959015301e-08,5.962204987497444e-07
1820,3.797273961936298e-08,2.1359666035891678e-08,5.470447952404811e-07
1821,5.325203744632745e-08,2.7612166775270452e-08,6.380383190673911e-07
1822,6.015369535816717e-09,9.023054303725075e-09,5.885036529207355e-07
1823,2.4706716672540097e-08,1.3835761869529506e-08,6.413863751220106e-07
1824,3.3684450784221553e-08,2.947389443619386e-08,5.894778780657361e-07
1825,1.1447076175841175e-08,1.4088708644166559e-08,7.097187122440118e-07
1826,1.145037931138404e-08,8.80798456392995e-09,6.385788662299774e-07
1827,2.3043183361437514e-08,3.226045625082108e-08,5.85296831445703e-07
1828,1.1923991571904935e-08,1.3758451489209733e-08,5.008076577883713e-07
1829,1.971830521085849e-08,3.086343269842473e-08,5.90691838386892e-07
1830,9.39315203396518e-09,1.461157062010443e-08,6.251664836920412e-07
1831,6.080570358335535e-08,3.274153215215847e-08,6.127343912254446e-07
1832,1.0823975604701275e-08,3.247192659205922e-08,7.225003790800599e-07
1833,3.822597527403104e-08,3.243415847009601e-08,8.039038181806291e-07
1834,2.7070139907436896e-08,1.5868701908061666e-08,6.608847940015039e-07
1835,1.739510224751939e-08,9.075705520444899e-09,6.988293250742572e-07
1836,4.906147416106066e-08,1.5457725766054864e-08,6.418316091938436e-07
1837,2.1569462660409044e-08,1.3915782304252389e-08,6.700448746954635e-07
1838,3.408567295082321e-08,1.641162095111781e-08,5.744067412827292e-07
1839,1.5381245721535208e-08,6.292327547896548e-09,5.215640461742055e-07
1840,4.522479102320176e-08,1.0828470564661075e-08,6.516191568550767e-07
1841,6.934192242624704e-08,7.0626033910059505e-09,5.964689684390123e-07
1842,4.024958855097793e-08,1.0062397137744483e-08,6.312477296432917e-07
1843,6.3794637128467e-08,1.0632439872981791e-08,5.723797009693499e-07
1844,6.75093048130293e-08,1.0428266250528395e-08,5.998997477663082e-07
1845,4.296775557577348e-08,3.90615950696116e-09,5.44072223274128e-07
1846,5.093416177714971e-08,4.6836012845830055e-09,5.948173360525999e-07
1847,3.55952778363644e-08,1.0786447290911383e-09,5.118169337237077e-07
1848,4.103063133698015e-08,9.65426583121598e-09,6.251136979162908e-07
1849,7.709061833338637e-08,4.1897072478036534e-09,5.270651932676174e-07
1850,1.0522943938440221e-07,2.7155984128057753e-09,4.718352180077545e-07
1851,5.095056465620473e-08,2.579775504329973e-09,5.720651898855067e-07
1852,4.9480144648228475e-08,3.2552727180501506e-09,4.7526982371870474e-07
1853,3.58315901394235e-08,1.1943863675867306e-09,5.786801999807523e-07
1854,6.130883889454708e-08,4.156531618892956e-09,5.990601317229505e-07
1855,4.617035287424187e-08,3.1841622671890946e-09,7.981633594056348e-07
1856,6.005539504583268e-08,9.3189408967298e-09,6.316170626519124e-07
1857,7.712784461100242e-08,2.9289055625270066e-09,6.531459399994333e-07
1858,7.193703766006365e-08,4.404308417971237e-09,6.763060440562185e-07
1859,7.485494535330872e-08,2.5460866748261424e-09,6.461967956283843e-07
1860,7.00309130685639e-08,1.373155145145688e-09,6.870353113919148e-07
