year,gros_ADJ oeufs_NOUN,gros_ADJ feux_NOUN
1800,6.288328968651058e-09,0.0
1801,2.3811825844433088e-09,1.4287095950749062e-08
1802,8.951360541686881e-09,0.0
1803,3.510610468993036e-08,1.950339223455444e-09
1804,0.0,7.4155526164076946e-09
1805,1.7057265822018053e-08,1.1371510844071508e-08
1806,5.76333825108577e-09,2.881669125542885e-08
1807,0.0,2.8469551160981155e-09
1808,0.0,0.0
1809,2.259030518203531e-09,0.0
1810,0.0,0.0
1811,7.521229861140455e-09,2.5070767684098882e-09
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,6.952811659743929e-09,2.5493642752394408e-08
1817,0.0,0.0
1818,1.1921177378582115e-09,4.768470951432846e-09
1819,0.0,1.035105001712111e-09
1820,1.1866481131050932e-09,4.746592452420373e-09
1821,9.86148829262845e-10,0.0
1822,0.0,0.0
1823,0.0,5.929612356680991e-09
1824,0.0,9.263223965660927e-09
1825,0.0,0.0
1826,8.807984341885344e-10,0.0
1827,0.0,0.0
1828,2.7516904310687096e-09,0.0
1829,0.0,0.0
1830,0.0,0.0
1831,0.0,2.494592976631793e-08
1832,0.0,6.764984572527055e-09
1833,0.0,1.2741991461950875e-08
1834,9.334530925997342e-10,0.0
1835,4.5378527602224494e-09,7.563087933704082e-10
1836,0.0,1.4113575197427508e-08
1837,6.957890930081589e-10,2.7831563720326358e-09
1838,6.312161904276081e-10,1.8936485712828244e-09
1839,6.9914751765765e-10,1.3982950353153e-09
1840,1.2739377330817092e-09,1.9109065441114126e-09
1841,1.926164561183441e-09,1.219904177673925e-08
1842,6.708265054555795e-10,2.0124795163667386e-09
1843,5.906911071384968e-10,2.953455480181333e-09
1844,1.6465684371524958e-09,1.0977122322231025e-08
1845,0.0,2.7901139176833567e-09
1846,2.3418005312692003e-09,4.0981511517657054e-09
1847,0.0,0.0
1848,5.63165514222419e-09,8.045221711050488e-10
1849,4.1897072478036534e-09,2.513824481908955e-09
1850,1.3577992064028876e-09,4.073397619208663e-09
1851,5.8044946626978344e-09,0.0
1852,0.0,0.0
1853,0.0,1.1943863675867306e-09
1854,2.0782657816909023e-09,4.1565315633818045e-09
1855,0.0,5.306937111981824e-09
1856,2.5885946719483854e-09,0.0
1857,0.0,2.4407544874094356e-09
1858,0.0,9.787352039936081e-10
1859,5.092173349652285e-10,5.092173349652285e-10
1860,0.0,1.373155145145688e-09
1861,0.0,5.659156698811785e-09
1862,0.0,7.680577063240435e-09
1863,4.994620828036034e-10,6.99246927027275e-09
1864,4.794727948009836e-10,1.4384183844029508e-09
1865,9.41368871743009e-10,1.882737743486018e-09
1866,1.4596839292835284e-09,9.731225825149181e-10
1867,0.0,1.067618526917613e-08
1868,0.0,4.939874287401835e-09
1869,4.883519144627257e-10,9.767038289254515e-10
1870,5.734048791339319e-10,5.734048791339319e-10
1871,0.0,1.0621177271019633e-09
1872,6.047339295989218e-10,0.0
1873,1.7958012854535355e-09,7.183205141814142e-09
1874,0.0,5.377148060148329e-09
