year,aux_ADP in_ADJ,aux_ADP fines_ADJ
1800,3.144164395507687e-08,0.0
1801,4.0480102825313224e-08,0.0
1802,2.2378401354217203e-08,0.0
1803,1.3652374342143503e-08,0.0
1804,7.4155526164076946e-09,0.0
1805,1.7057265822018053e-08,0.0
1806,2.0171682990621775e-08,0.0
1807,2.2775640928784924e-08,0.0
1808,1.3596443970698147e-08,1.3596443970698147e-08
1809,1.8072244145628247e-08,0.0
1810,1.1700633351097167e-08,0.0
1811,1.504245972228091e-08,2.5070767684098882e-09
1812,2.1337665856435706e-08,2.6672082320544632e-09
1813,1.4378708002027452e-08,0.0
1814,1.5733386149463513e-08,0.0
1815,3.506390555685357e-08,0.0
1816,1.8540831092650478e-08,2.3176038865813098e-09
1817,1.5568733857662664e-08,0.0
1818,8.344824387052086e-09,1.1921177378582115e-09
1819,1.449147024601416e-08,0.0
1820,1.6613073583471305e-08,2.3732962262101864e-09
1821,1.2819934447350079e-08,6.903041693817613e-09
1822,1.5038423839541792e-08,0.0
1823,3.360113609574e-08,9.882686891060644e-10
1824,1.8526447931321854e-08,5.052667617633233e-09
1825,4.138558296062911e-08,0.0
1826,1.4973572604048968e-08,4.403992281964975e-09
1827,3.6869092667757286e-08,0.0
1828,1.0089530988466322e-08,9.172301251858528e-10
1829,2.2290258527846163e-08,0.0
1830,1.3567886369969528e-08,1.0436835395921662e-08
1831,1.870944643656003e-08,0.0
1832,2.3000948701223933e-08,1.3529969367098715e-09
1833,1.1583628278799551e-08,0.0
1834,1.8669062740173104e-08,2.8003592777992026e-09
1835,1.5882484660778573e-08,0.0
1836,1.5457725766054864e-08,5.376600054063374e-09
1837,1.0436836284100082e-08,6.957891152126194e-09
1838,9.468243078458727e-09,6.312161904276081e-10
1839,9.788065469251706e-09,3.4957374772659477e-09
1840,1.4013314952876499e-08,1.2739377330817092e-09
1841,1.0272877659645019e-08,7.704658244733764e-09
1842,2.4820581145945653e-08,1.0733224087289273e-08
1843,1.3585895075607368e-08,3.5441467538532834e-09
1844,8.781698035420504e-09,4.390849017710252e-09
1845,2.0646844234306627e-08,1.0602432709561072e-08
1846,7.610851504580296e-09,2.9272506640865004e-09
1847,1.1865092020002521e-08,7.550513103637968e-09
1848,1.609044275596716e-08,8.849743826644385e-09
1849,2.1786478399121734e-08,8.379414495607307e-09
1850,2.5798184921654865e-08,6.788996032014438e-10
1851,1.6768540334055615e-08,6.449438760824933e-10
1852,2.3437962681782665e-08,9.765818376195057e-09
1853,1.0749477752369785e-08,7.763511611358354e-09
1854,2.0782657372819813e-08,1.558699391779328e-09
1855,8.491099379170919e-09,1.326734277995456e-08
1856,1.2425253714809514e-08,8.801221973442352e-09
1857,6.345961978126979e-09,1.8549734193129552e-08
1858,1.565976326389773e-08,1.1744822003834088e-08
1859,1.0693564256314403e-08,1.6804172275897145e-08
1860,2.654766717569146e-08,7.323494255473406e-09
1861,1.3676294763342867e-08,3.065376574795664e-08
1862,1.0391368654438793e-08,7.228778020618165e-09
1863,6.99246927027275e-09,1.0988165932701577e-08
1864,1.1986819536957682e-08,1.8699438442126848e-08
1865,1.1767110841276462e-08,1.8827376990770972e-08
1866,1.5083399418358567e-08,1.556996132023869e-08
1867,1.2132028714972876e-08,2.1837651686951176e-08
1868,1.2349684830326169e-08,8.89177353968762e-09
1869,1.1720445947105418e-08,4.395167341186834e-09
1870,1.3761717099214366e-08,2.121598008386627e-08
1871,1.6993883633631413e-08,2.549082545044712e-08
1872,1.0280476914203973e-08,6.652073114565837e-09
1873,1.97538145840781e-08,2.573981916498269e-08
1874,1.2546679251101978e-08,1.0156835372754358e-08
1875,1.602027666081085e-08,1.0298748520654044e-08
1876,9.673623679873344e-09,3.3857681103199866e-08
1877,1.2369632429454214e-08,1.855444864418132e-08
1878,1.268208649207736e-08,8.4547240319921e-09
1879,1.1607718342077078e-08,2.2604503158163425e-08
1880,1.2193908105473383e-08,2.2462462112571302e-08
1881,1.5339516323820135e-08,2.719277958362909e-08
1882,1.4641846846075168e-08,1.6638463051776853e-08
1883,1.7062214752172622e-08,3.159669503816076e-08
1884,8.582206056928499e-09,3.234831424947515e-08
1885,1.4180398189012067e-08,3.480643329112354e-08
1886,1.677900662855336e-08,3.807543791367607e-08
1887,1.7628096316002484e-08,2.546280519766242e-08
1888,1.7119660356001987e-08,3.233713385952797e-08
1889,2.0048437576747347e-08,3.759081934617825e-08
1890,1.9663159989136147e-08,2.7528423984790606e-08
1891,8.92390783491237e-09,3.569563133964948e-08
1892,1.2537024751679837e-08,3.635737000351469e-08
1893,1.1085149687062312e-08,3.079208354961338e-08
1894,6.301539290376468e-09,2.457600345451283e-08
1895,1.023164486468886e-08,3.069493414997737e-08
1896,9.435246361988447e-09,3.3023362266959566e-08
1897,2.4472196713531957e-08,4.8944393427063915e-08
1898,1.810673566637888e-08,3.847681306901052e-08
1899,1.9346524382513053e-08,5.30647525920358e-08
1900,1.972600216504361e-08,3.322274011452464e-08
1901,2.235495522029396e-08,2.794369535763508e-08
1902,2.2096276808269977e-08,3.388095848322337e-08
1903,1.1340462791054051e-08,5.4542223182352245e-08
1904,1.5048950530172078e-08,4.998401337275027e-08
1905,1.651442893546573e-08,3.6641388589941926e-08
1906,1.5432553013283723e-08,4.1153477070565714e-08
1907,1.337139288182243e-08,3.445705232252294e-08
1908,8.840499887696751e-09,3.487086175368859e-08
1909,1.980354014108343e-08,3.025541062129378e-08
1910,1.4429207162436342e-08,4.5959694716657395e-08
1911,1.2236860413850081e-08,4.256299490634774e-08
1912,1.1981668990301841e-08,4.896855959612978e-08
1913,1.5378670781274195e-08,3.1817939505351944e-08
1914,2.0759905794420774e-08,2.6117300322425763e-08
1915,8.246533234057551e-09,2.238344798399794e-08
1916,1.4283700444650549e-08,2.8567400889301098e-08
1917,1.7546279096336548e-08,5.3735480065597585e-08
1918,2.5270027848023346e-08,5.054005569604669e-08
1919,2.1178051312631396e-08,3.038589824200244e-08
1920,1.817335615328375e-08,2.3473917920568965e-08
1921,1.438822039290244e-08,2.9533714140939082e-08
1922,1.1066902949607993e-08,3.7627472693202435e-08
1923,1.1677542488541803e-08,3.927900849021171e-08
1924,6.445812328337297e-09,5.1566498626698376e-08
1925,1.8696901804560184e-08,3.409435223034052e-08
1926,1.3375366592072169e-08,3.9011485264417445e-08
1927,1.2264147031260109e-08,2.8987985345452216e-08
1928,1.2568645679778001e-08,2.856510217252861e-08
1929,1.3368487650211591e-08,3.3421218015305953e-08
1930,8.402882833991043e-09,3.67626118435993e-08
1931,1.3686427990933225e-08,3.763767608688795e-08
1932,1.2055489939655217e-08,3.507051715700982e-08
1933,8.02946331646126e-09,2.638252261100149e-08
1934,7.188948103475923e-09,4.193553060360955e-08
1935,2.0346082152400413e-08,2.0346082152400413e-08
1936,3.15242587589637e-08,3.758661648589623e-08
