year,aux_ADP airs_NOUN,aux_ADP fers_NOUN
1800,1.5720823043352539e-07,1.8676336548395511e-06
1801,1.7620750725200196e-07,1.9144707916751713e-06
1802,2.0364345232337655e-07,1.9044020120873029e-06
1803,2.262393496987869e-07,1.942537848798054e-06
1804,1.6808586700278738e-07,1.4040113889279837e-06
1805,1.478296409729296e-07,1.5266253514667483e-06
1806,2.4494187300660997e-07,1.1757210511831317e-06
1807,8.54086508184082e-08,1.9786337661642506e-06
1808,7.931259204951857e-08,1.6632982724473777e-06
1809,1.3102376783535874e-07,1.6581283830419125e-06
1810,1.8721014161116045e-07,1.3502531537312734e-06
1811,1.1783261077980001e-07,1.9379702891342276e-06
1812,9.601949813031752e-08,1.7923639781258771e-06
1813,1.35159851311073e-07,1.371728792776139e-06
1814,1.384537871018665e-07,1.724379114165231e-06
1815,4.855002422310406e-08,1.5428119188864997e-06
1816,9.270415368689555e-08,9.432647569695973e-07
1817,1.4945985393755024e-07,1.5350772191169426e-06
1818,1.1563542035020191e-07,1.8573193809601207e-06
1819,1.8528379808202544e-07,2.079525895481993e-06
1820,1.6257079860082513e-07,1.9010102221272973e-06
1821,1.3608853222102368e-07,1.716885121183509e-06
1822,1.5639960793123464e-07,1.641193321688661e-06
1823,9.388552868472289e-08,1.7531886111754602e-06
1824,1.2800091475639874e-07,1.4172732960560097e-06
1825,1.1799293964109836e-07,1.6527816164568776e-06
1826,1.2595417842042878e-07,1.3247207952815643e-06
1827,6.267745611410191e-08,1.603805541705583e-06
1828,1.0823315454988602e-07,1.2896256045280552e-06
1829,9.51622528555518e-08,1.4325776795942602e-06
1830,1.7533884189013804e-07,1.2628570971173758e-06
1831,1.309661297188569e-07,1.3408436814188462e-06
1832,3.125422969318947e-07,1.4057637791609068e-06
1833,1.3089500561225265e-07,1.120136845944586e-06
1834,1.1388127951761362e-07,1.3889781911302634e-06
1835,1.459675971204888e-07,1.3870703412521834e-06
1836,1.196293524241554e-07,1.0618785548643928e-06
1837,1.0715152298779174e-07,1.1327446065578783e-06
1838,1.205622943700746e-07,1.0446627971560929e-06
1839,1.3703291867894762e-07,1.095564137187921e-06
1840,1.2038711361128662e-07,1.0586422760638925e-06
1841,8.154096420298629e-08,8.53290893498837e-07
1842,1.3483613425790963e-07,1.0786889816927214e-06
1843,1.3290549683020458e-07,1.0862808939027246e-06
1844,1.3007890231619967e-07,1.04118012522747e-06
1845,8.816759988761191e-08,1.0669395710261043e-06
1846,9.777017462297977e-08,1.0743009841718276e-06
1847,8.46736130100112e-08,1.1217904862803607e-06
1848,1.3757328987118456e-07,8.149809723745349e-07
1849,9.133561951202296e-08,5.91586690301682e-07
1850,1.1948632749891885e-07,9.273768455386744e-07
1851,8.513259319720134e-08,9.332337773670929e-07
1852,1.367214490510804e-07,7.68244362348014e-07
1853,9.913406562311877e-08,7.865033970766433e-07
1854,7.79349695889664e-08,8.048084474410189e-07
1855,1.2895856826844465e-07,9.372050762124218e-07
1856,9.629572161884425e-08,8.428463793563878e-07
1857,1.0836950115056254e-07,8.576811532101658e-07
1858,1.1598011928626306e-07,9.366495694607124e-07
1859,1.5632971717138844e-07,7.87759189879722e-07
1860,1.2587255593388136e-07,9.012475117309293e-07
1861,1.6788831125325032e-07,8.168048921675108e-07
1862,9.307051873630456e-08,1.037781445001329e-06
1863,1.143768160183356e-07,8.675656277823407e-07
1864,1.2466292620416652e-07,1.0394970324512087e-06
1865,1.0355057483701913e-07,9.56430760368221e-07
1866,1.2942529759030208e-07,8.115842087264014e-07
1867,1.1889387963037734e-07,7.808173556611564e-07
1868,9.682153423451467e-08,8.126092927440709e-07
1869,1.1573940161824225e-07,7.5255030740351e-07
