year,trois_DET oeufs_NOUN,trois_DET feux_NOUN
1800,1.0690159513160324e-07,1.163340872523122e-07
1801,6.429193177837078e-08,4.0480102825313224e-08
1802,5.594600338554301e-08,6.489736392722989e-08
1803,3.70564464446943e-07,6.436119548425268e-08
1804,4.943701981119375e-08,4.943701981119375e-08
1805,1.1371510844071508e-08,5.685755510853596e-08
1806,1.729001475325731e-08,6.916005901302924e-08
1807,1.1387820464392462e-08,7.402083213037258e-08
1808,1.8128591960930862e-08,4.078933102391602e-08
1809,9.036122072814123e-09,7.00299480627109e-08
1810,2.8081521108447305e-08,1.0296557917399696e-07
1811,5.0141535368197765e-09,8.774768645025688e-08
1812,2.6672082320544632e-09,1.3069320914382843e-07
1813,5.751483289628823e-09,4.6011867427253605e-08
1814,3.1466771410748606e-09,3.776012391654149e-08
1815,2.697223555614414e-09,2.966945977789237e-08
1816,1.8540831092650478e-08,3.244645441213834e-08
1817,4.826307531402563e-08,3.7364962679475866e-08
1818,4.768470773797162e-08,5.2453181353939726e-08
1819,8.280840013696888e-09,1.0558071039667993e-07
1820,1.6613073583471305e-08,6.289234733003468e-08
1821,9.86148829262845e-10,4.5362846701202386e-08
1822,4.010246357211145e-09,1.3534581455587613e-07
1823,1.087095569118901e-08,6.028439258898288e-08
1824,1.6842225392110777e-08,6.484257131234017e-08
1825,2.641632912414593e-09,8.189061873054015e-08
1826,2.1139161532346407e-08,1.8496766784892316e-08
1827,5.530363722527909e-09,1.0139000039544044e-07
1828,1.834460228167245e-08,5.6868268760723595e-08
1829,8.573175946935407e-09,1.0802201960702362e-07
1830,6.262101504006523e-09,8.245100246995207e-08
1831,1.4032085715598441e-08,2.3386808489789246e-08
1832,0.0,8.117981309396782e-08
1833,6.950176989484191e-09,7.645194699534841e-08
1834,5.600718555598405e-09,5.600718466780563e-08
1835,2.4201881387853064e-08,7.714349692378164e-08
1836,4.032449929525228e-09,7.056787365566919e-08
1837,3.478945576063097e-09,7.027470161347082e-08
1838,2.5248647617104325e-09,5.049729523420865e-08
1839,6.9914749545318955e-09,1.0487212698251369e-07
1840,1.3376346252869098e-08,8.917564153776425e-08
1841,3.852329122366882e-09,1.0080261603206964e-07
1842,5.366612043644636e-09,7.513257216373859e-08
1843,2.3627644285539873e-09,4.430183153658618e-08
1844,5.488561161115513e-09,6.970472554712615e-08
1845,5.580227946389016e-10,5.1896119845906696e-08
1846,3.5127007969038004e-09,5.503231137460318e-08
1847,9.168480197274675e-09,2.011672384227836e-07
1848,8.84974404868899e-09,4.827133182061516e-08
1849,7.54147322368226e-09,7.29009101974043e-08
1850,3.394498016007219e-09,6.517436101916019e-08
1851,6.449438760824933e-09,7.674831836723683e-08
1852,2.6042181744401205e-09,7.161600112937094e-08
1853,6.569124799682413e-09,1.6124216606350217e-07
1854,6.754363734984281e-09,4.883924664689232e-08
1855,3.1841622671890946e-09,4.776243400783642e-08
1856,6.730345947225658e-09,3.054541630742591e-08
1857,1.9526036343364694e-09,4.783878759795357e-08
1858,1.468102750479261e-09,4.9426126247364977e-08
1859,1.5276520048956854e-09,6.161529841897107e-08
1860,1.8308735638683515e-09,5.813023729039912e-08
1861,2.8295783494058924e-09,4.0557286418163585e-08
1862,1.9879140111811466e-08,5.105324540899403e-08
1863,4.495158911765884e-09,5.4940828331240255e-08
1864,1.4384183844029508e-09,2.0329646588379546e-07
1865,4.706844358715045e-10,3.4830648198980185e-08
1866,9.731225825149181e-10,5.595454943829736e-08
1867,3.396968040192405e-09,7.570385918143074e-08
1868,3.951899252285784e-09,5.9278487896108345e-08
1869,1.953407657850903e-09,6.641586258737675e-08
1870,1.7202146374017957e-09,4.243196105591096e-08
1871,1.0621177271019633e-09,7.647247701747517e-08
1872,1.8142017887967654e-09,4.7773980105247915e-08
1873,4.788803575905831e-09,1.0894528212901378e-07
1874,4.182226565063729e-09,4.779687312606029e-08
