year,aux_ADP oies_NOUN,aux_ADP foies_NOUN
1800,1.2576657582030748e-07,0.0
1801,6.429192911383552e-08,2.1430643926123594e-08
1802,7.608656460433849e-08,1.5664880947952042e-08
1803,1.09218993626925e-07,5.851017448321727e-09
1804,5.9324420931261557e-08,3.460591457837836e-08
1805,1.2224374756897305e-07,2.842877711017877e-09
1806,5.4751713385314815e-08,0.0
1807,3.131650672116848e-08,0.0
1808,1.3369836260324064e-07,0.0
1809,8.132509776714869e-08,0.0
1810,3.042164786748458e-08,0.0
1811,4.011322829455821e-08,0.0
1812,3.7340914360584065e-08,2.1337665856435706e-08
1813,5.751483289628823e-09,0.0
1814,5.349351184236184e-08,2.2026739543434815e-08
1815,2.1038344355517324e-07,8.091670444798638e-09
1816,1.274682119856152e-07,2.5493642752394408e-08
1817,9.496928132790572e-08,1.5568733857662664e-08
1818,7.152706604784953e-08,3.5763532135746345e-09
1819,4.554461963124368e-08,0.0
1820,2.3732961373923445e-08,0.0
1821,5.029359129160582e-08,9.86148829262845e-10
1822,5.6143449000956025e-08,3.0076847679083585e-09
1823,1.1068609673259289e-07,1.9765373782121287e-09
1824,3.115811697540494e-08,8.421112696055388e-10
1825,6.163809995740621e-08,0.0
1826,2.554315425840059e-08,1.7615968683770689e-09
1827,5.7147094167930845e-08,3.6869092223668076e-09
1828,6.970948840390179e-08,9.172301251858528e-10
1829,9.85915242779356e-08,1.714635211591542e-09
1830,4.0703659109908585e-08,2.0873671680021744e-09
1831,5.456921980950824e-08,3.1182412207897414e-09
1832,3.51779220197912e-08,1.0823975493678972e-08
1833,6.486831871654886e-08,0.0
1834,4.947301501800894e-08,3.733812370398937e-09
1835,4.689114518896531e-08,0.0
1836,4.0324502126320994e-08,1.4113575197427508e-08
1837,6.818733133684418e-08,2.7831563720326358e-09
1838,3.9135405138779333e-08,6.312161904276081e-10
1839,5.5931800524433584e-08,8.38977065598101e-09
1840,4.7772664935052944e-08,0.0
1841,6.099521199232072e-08,0.0
1842,3.7566284305512454e-08,6.708265054555795e-10
1843,8.978505050549757e-08,3.5441467538532834e-09
1844,6.641159000508878e-08,5.488561272137815e-10
1845,4.2409731282333496e-08,4.464182357111213e-09
1846,2.4588905134237393e-08,2.9272506640865004e-09
1847,7.496580600729885e-08,9.168480197274675e-09
1848,5.309846429213394e-08,3.218088684420195e-09
1849,4.860060620615059e-08,5.865590679832167e-09
1850,4.955967192188382e-08,5.431196825611551e-09
1851,5.4175285590929434e-08,1.9348316282474798e-09
1852,4.948014531436229e-08,6.510545436100301e-09
1853,3.642878354526147e-08,1.1943863675867306e-08
1854,5.403491076805267e-08,5.195664454227256e-10
1855,6.580602018857462e-08,9.552486801567284e-09
1856,5.694908100650764e-08,3.6240324075009767e-09
1857,4.735063718896981e-08,6.8341128311999455e-09
1858,3.229826228690058e-08,9.787352039936081e-10
1859,5.295860283638376e-08,9.675129142294736e-09
1860,4.485640303641958e-08,5.9503392213500206e-09
1861,5.5648373908923077e-08,4.715963619617014e-09
1862,7.906476362506965e-08,4.9697850279528666e-09
1863,6.742738156706451e-08,9.989241656072068e-10
1864,6.856460832427302e-08,2.8768367688059016e-09
1865,5.412871001420072e-08,4.706844303203894e-09
1866,9.341976481280767e-08,2.432806400776144e-09
1867,8.346835578265654e-08,1.94112459439566e-09
1868,7.409811075831385e-08,1.975949626142892e-09
1869,5.86022301796163e-08,4.395167341186834e-09
1870,4.243196194408938e-08,2.8670243956696595e-09
1871,7.11618906024114e-08,0.0
1872,5.98686610286947e-08,7.256807155187062e-09
1873,6.524745010949573e-08,3.591602570907071e-09
1874,6.512323835750067e-08,5.974609251779839e-09
1875,6.522541085018929e-08,0.0
1876,5.8041743855596906e-08,1.813804439976252e-09
1877,6.494056759009936e-08,3.710889595609501e-09
1878,5.495570576385944e-08,1.2078177569208037e-08
1879,4.581993984231758e-08,0.0
1880,7.63723715380138e-08,7.701415505323439e-09
1881,6.484431835929172e-08,2.7890030285249168e-09
1882,1.0914831349850829e-07,4.6587693702804245e-09
1883,1.0679683093428594e-07,3.791603475633565e-09
1884,5.2813575734944607e-08,1.0562715146988921e-08
1885,4.318575907991118e-08,5.156508553483263e-09
1886,5.162771010702727e-08,7.744156427236248e-09
1887,6.137189068056159e-08,6.528924512139156e-09
