year,grands_ADJ acteurs_NOUN,grands_ADJ facteurs_NOUN
1800,1.9493819536364754e-07,0.0
1801,1.7144515140898875e-07,0.0
1802,1.0741632650024258e-07,0.0
1803,1.9308357934733067e-07,3.900678446910888e-09
1804,2.0021992952479195e-07,2.4718509461507665e-09
1805,1.2224374756897305e-07,0.0
1806,6.627838899930794e-08,0.0
1807,1.822051274302794e-07,2.8469550272802735e-08
1808,1.654234011994049e-07,0.0
1809,2.191259653727684e-07,4.518061036407062e-09
1810,4.773858677253884e-07,0.0
1811,1.4541045345595194e-07,1.7549536934780008e-08
1812,2.4004873466765275e-07,2.6672082320544632e-09
1813,2.473137783454149e-07,0.0
1814,3.713078911005141e-07,0.0
1815,9.979726911524267e-08,0.0
1816,1.367386346373678e-07,0.0
1817,1.8059731132780144e-07,0.0
1818,1.323250700124845e-07,0.0
1819,1.9977527188075328e-07,0.0
1820,1.1154492085552192e-07,0.0
1821,1.4397772929442e-07,0.0
1822,2.1154049534288788e-07,0.0
1823,2.193956447626988e-07,9.882686891060644e-10
1824,2.1052781562502787e-07,0.0
1825,2.72088186648034e-07,1.7610886082763955e-09
1826,1.7439809596453415e-07,1.8496766784892316e-08
1827,1.4102427314810484e-07,1.8434546111834038e-09
1828,1.164882235116238e-07,0.0
1829,1.7746474156865588e-07,3.429270423183084e-09
1830,2.0143093593105732e-07,0.0
1831,1.2940701310526492e-07,0.0
1832,2.3677446847614192e-07,0.0
1833,2.0503021858075954e-07,0.0
1834,1.1948199585276598e-07,9.334530925997342e-10
1835,1.4218605315363675e-07,4.5378527602224494e-09
1836,9.745087936607888e-08,6.720750067579218e-10
1837,1.5168201628057432e-07,2.0873671680021744e-09
1838,1.0225702595789699e-07,5.049729523420865e-09
1839,1.097661623816748e-07,6.9914751765765e-10
1840,1.1656530318759906e-07,9.554533164646273e-09
1841,8.346712832008052e-08,0.0
1842,1.0397810967788246e-07,2.0124795163667386e-09
1843,1.3231480977538013e-07,0.0
1844,1.2074835353814706e-07,2.195424508855126e-09
1845,1.054663059107952e-07,5.580227835366713e-09
1846,1.3465353276842507e-07,0.0
1847,1.779763749709673e-07,2.1572894581822766e-09
1848,9.252004673498959e-08,0.0
1849,9.887709495615127e-08,8.379414939696517e-10
1850,5.7706465383944305e-08,8.146795238417326e-09
1851,9.287191460316535e-08,5.8044946626978344e-09
1852,1.0286661478176029e-07,2.0833745395520964e-08
1853,1.1824425172335395e-07,8.360704129017904e-09
1854,1.3560683953528496e-07,8.832629738719788e-09
1855,1.783130869625893e-07,1.8574279891936385e-08
1856,1.5117392138108698e-07,1.1389816201301528e-08
1857,1.1617991901857749e-07,2.147863931156735e-08
1858,1.1059707816230002e-07,5.872411001917044e-09
1859,1.9095649861355923e-07,3.055304009791371e-09
1860,1.1488731388453743e-07,7.781213007262977e-09
1861,2.5230406208720524e-07,2.4994607272788016e-08
1862,1.5361153771209501e-07,2.2138133104476765e-08
1863,1.613262554656103e-07,1.6482248454963155e-08
1864,1.3233449180916068e-07,9.589456340108882e-09
1865,1.6709297767647513e-07,1.5061901947888146e-08
1866,1.3137155008280388e-07,8.271541673821048e-09
1867,1.3199647241890489e-07,1.455843445796745e-08
1868,9.583355620179645e-08,2.2723421366777075e-08
1869,1.4650557034201483e-07,2.1487483792270723e-08
1870,1.5539272624209843e-07,2.121598008386627e-08
1871,6.372706451429622e-08,1.6993883633631413e-08
1872,1.2699412366146134e-07,4.233137573805834e-08
1873,7.602225338132484e-08,1.7359413462259e-08
1874,1.3622108951949485e-07,1.9118749250424116e-08
1875,1.6935720736910298e-07,3.089624556196213e-08
1876,1.3119851871579158e-07,3.3253080289341597e-08
1877,9.7101612084316e-08,3.958282235316801e-08
1878,1.5762022087528749e-07,4.3481438893877566e-08
1879,1.7778135941171058e-07,4.581993806596074e-08
1880,1.1167052349492224e-07,6.995452395130997e-08
1881,1.1574362446253872e-07,6.83305714233029e-08
1882,8.718554767028763e-08,6.788492612486152e-08
