year,leurs_DET humeurs_NOUN,leurs_DET fumeurs_NOUN
1800,2.924072877164008e-07,0.0
1801,3.7146449116676195e-07,2.3811825844433088e-09
1802,3.6924362234458386e-07,0.0
1803,4.134719233661599e-07,0.0
1804,1.6808586167371686e-07,0.0
1805,4.321174023047547e-07,0.0
1806,3.6597199137844427e-07,0.0
1807,2.733077053562738e-07,0.0
1808,1.6768947830314573e-07,0.0
1809,2.417162525691907e-07,0.0
1810,2.10611408757444e-07,0.0
1811,2.0056614502550474e-07,0.0
1812,1.3602762427566972e-07,0.0
1813,1.7542024011163448e-07,0.0
1814,2.0453401106124147e-07,0.0
1815,1.8610842822397444e-07,0.0
1816,4.125334953641868e-07,0.0
1817,2.4909974172260263e-07,0.0
1818,2.3842355045822217e-07,2.384235475716423e-09
1819,2.008103774375769e-07,0.0
1820,5.06698753177659e-07,0.0
1821,2.1498044588952325e-07,0.0
1822,3.047787373589017e-07,0.0
1823,1.9963027853009407e-07,0.0
1824,1.9200136591734918e-07,0.0
1825,1.3560382683408534e-07,0.0
1826,1.470933317371248e-07,0.0
1827,1.4102427314810484e-07,0.0
1828,1.0639869663098267e-07,0.0
1829,1.3374155116707698e-07,0.0
1830,1.0749940893006737e-07,0.0
1831,6.236482574806246e-08,0.0
1832,9.470978667991403e-08,0.0
1833,1.714377013684043e-07,0.0
1834,1.12947822428211e-07,0.0
1835,1.1495893659230205e-07,0.0
1836,1.989341957830959e-07,0.0
1837,1.982998867333663e-07,0.0
1838,1.1929985932468412e-07,0.0
1839,1.0976615971713954e-07,0.0
1840,9.427139247009109e-08,0.0
1841,1.072231610166341e-07,0.0
1842,1.086738947719823e-07,0.0
1843,9.332919420623753e-08,0.0
1844,1.2568805041190956e-07,0.0
1845,1.171847898717715e-07,0.0
1846,1.1065007599064813e-07,0.0
1847,6.579733202727311e-08,0.0
1848,6.194820656446609e-08,2.413566457803995e-09
1849,6.284561027136704e-08,0.0
1850,8.554135177973876e-08,1.3577992064028876e-09
1851,8.384270699934859e-08,3.2247193804124663e-09
