year,plusieurs_DET humeurs_NOUN,plusieurs_DET fumeurs_NOUN
1800,4.087413785214267e-08,0.0
1801,2.3811825400343878e-08,0.0
1802,1.5664880947952042e-08,0.0
1803,7.801356893821776e-09,0.0
1804,0.0,0.0
1805,2.842877711017877e-09,0.0
1806,2.305335300434308e-08,0.0
1807,0.0,0.0
1808,6.798221985349073e-09,4.5321479902327155e-09
1809,0.0,0.0
1810,0.0,1.1700633351097167e-08
1811,2.5070768572277302e-08,0.0
1812,8.00162425207418e-09,0.0
1813,2.8757416004054903e-08,2.0130190847567064e-08
1814,0.0,3.1466771410748606e-09
1815,4.045835311217161e-08,0.0
1816,0.0,0.0
1817,1.556873407970727e-09,4.670620334934483e-09
1818,2.2650237241350624e-08,4.768470951432846e-09
1819,0.0,0.0
1820,4.746592452420373e-09,0.0
1821,1.3806083165590621e-08,0.0
1822,5.012807946513931e-09,0.0
1823,3.9530747564242574e-09,0.0
1824,2.5263338088166165e-09,0.0
1825,7.924898959288385e-09,0.0
1826,8.807984341885344e-10,8.807984341885344e-10
1827,1.8434546111834038e-09,0.0
1828,8.255071293206129e-09,0.0
1829,0.0,0.0
1830,8.349468894053302e-09,0.0
1831,7.795603274018958e-09,1.5591206103948707e-09
1832,1.3529969367098715e-09,0.0
1833,2.3167257001688313e-09,0.0
1834,1.8669061851994684e-09,3.733812370398937e-09
1835,5.294161553592858e-09,0.0
1836,1.6129800772812786e-08,0.0
1837,3.4789453540184923e-09,0.0
1838,1.0730675015224733e-08,6.312161904276081e-10
1839,2.0974426639952526e-09,0.0
1840,8.280594876453051e-09,0.0
1841,5.1364388298225094e-09,1.2841097074556274e-09
1842,6.708265054555795e-10,4.024959032733477e-09
1843,5.906911071384968e-10,4.134837805480629e-09
1844,2.7442805805577564e-09,3.841992946007622e-09
1845,1.1160455892778032e-09,0.0
1846,5.854501328173001e-10,5.854501328173001e-10
1847,0.0,0.0
1848,4.02261068899179e-09,0.0
1849,5.865590679832167e-09,0.0
1850,0.0,6.788996032014438e-10
1851,1.2898877521649865e-09,1.9348316282474798e-09
1852,7.812654523320361e-09,1.0416872697760482e-08
