year,dix_DET hôtes_NOUN,dix_DET fautes_NOUN
1800,0.0,9.432493897065797e-09
1801,0.0,0.0
1802,0.0,1.5664880947952042e-08
1803,0.0,0.0
1804,0.0,4.943701892301533e-09
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,2.8469551160981155e-09
1808,0.0,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,0.0,2.5070767684098882e-09
1812,0.0,2.6672083208723052e-08
1813,0.0,5.751483289628823e-09
1814,0.0,6.293354282149721e-09
1815,0.0,2.697223555614414e-09
1816,0.0,4.6352077731626196e-09
1817,0.0,0.0
1818,0.0,8.34482416500748e-09
1819,0.0,1.3456364911235141e-08
1820,0.0,1.6613073583471305e-08
1821,0.0,9.861488070583846e-09
1822,0.0,8.02049271442229e-09
1823,0.0,1.9765373782121287e-09
1824,0.0,2.5263338088166165e-09
1825,0.0,7.92489873724378e-09
1826,0.0,7.0463874735082754e-09
1827,0.0,8.295545805836468e-09
1828,0.0,2.1096292102118497e-08
1829,0.0,5.143905634774626e-09
1830,0.0,1.1480518979922749e-08
1831,0.0,1.4032085715598441e-08
1832,0.0,1.3529969367098715e-09
1833,0.0,2.3167257001688313e-09
1834,0.0,9.334531148041947e-09
1835,0.0,1.5126175867408165e-09
1836,0.0,2.016224964762614e-09
1837,0.0,1.0436836284100082e-08
1838,0.0,1.8936485712828244e-09
1839,0.0,1.6080393239192858e-08
1840,0.0,1.2739377330817092e-08
1841,0.0,8.346713542550788e-09
1842,0.0,1.341653010911159e-09
1843,0.0,1.2404512972352677e-08
1844,6.586273748609983e-09,5.488561272137815e-10
1845,0.0,8.928364547688972e-09
1846,0.0,5.854501328173001e-10
1847,0.0,8.089835468183537e-09
1848,8.045221711050488e-10,9.65426583121598e-09
1849,0.0,5.865590679832167e-09
1850,0.0,6.788996032014438e-10
1851,0.0,5.804494884742439e-09
1852,0.0,2.6042181744401205e-09
1853,0.0,5.971931837933653e-10
1854,0.0,0.0
1855,5.306937111981824e-10,6.8990182455763716e-09
1856,5.177189232874468e-10,2.5885946719483854e-09
1857,0.0,1.464452725752352e-09
1858,0.0,9.297984604472731e-09
1859,0.0,0.0
1860,1.373155145145688e-09,2.746310290291376e-09
1861,0.0,8.017138064531082e-09
1862,0.0,1.3553959066214816e-09
1863,4.994620828036034e-10,5.494082799817335e-09
1864,0.0,4.794727948009836e-10
1865,0.0,8.47231973466478e-09
1866,0.0,4.379051787850585e-09
1867,0.0,1.94112459439566e-09
