year,ses_DET os_NOUN,ses_DET fosses_NOUN
1800,8.552127290784028e-07,3.772997558826319e-08
1801,9.072305573454287e-07,2.857419123536431e-08
1802,7.563899941942509e-07,4.2518962573012686e-08
1803,9.08858091008824e-07,3.90067853572873e-08
1804,9.689655620093163e-07,0.0
1805,9.864785930346898e-07,4.264316544322355e-08
1806,8.443290759885258e-07,2.0171682990621775e-08
1807,6.120953521815409e-07,3.131650672116848e-08
1808,6.752900318929278e-07,9.064295980465431e-09
1809,5.512034633170515e-07,6.7770917766551975e-09
1810,6.248138575415396e-07,3.7442028144596406e-08
1811,6.342904299572183e-07,1.0028307073639553e-08
1812,9.948686425786946e-07,1.600324850414836e-08
1813,5.607696256237915e-07,2.8757416448144113e-09
1814,6.167487032193719e-07,6.293354282149721e-09
1815,7.255531357941436e-07,8.091670444798638e-09
1816,7.50903652146917e-07,9.270415546325239e-09
1817,8.126879436076706e-07,2.0239355080775567e-08
1818,9.513099641367262e-07,4.530047448270125e-08
1819,6.6246719043761e-07,3.8298885840504227e-08
1820,8.342136208483453e-07,1.898636980968149e-08
1821,8.530187258770638e-07,1.1833785507064931e-08
1822,9.664693578770311e-07,2.2056354964661296e-08
1823,8.014859353977499e-07,2.075364236020505e-08
1824,1.1099026053784655e-06,2.4421225930382207e-08
1825,1.1226939804487301e-06,1.584979791857677e-08
1826,8.552552621665654e-07,2.3781557167978917e-08
1827,5.834533851611923e-07,1.0139000472531023e-08
1828,9.906085551847355e-07,1.3758452155343548e-08
1829,7.827309715935371e-07,7.715858174606183e-09
1830,8.088547573947835e-07,1.1480519646056564e-08
1831,8.24774804897288e-07,4.677361609140007e-09
1832,8.726830209582204e-07,2.0294953273491956e-08
1833,1.0170425888134105e-06,9.266902800675325e-09
1834,1.210688665764792e-06,1.6802156110884425e-08
1835,1.101941954573249e-06,2.3445572594482655e-08
1836,1.413373730940748e-06,1.4785650037651976e-08
1837,1.0075026182221336e-06,3.8268400781582557e-08
1838,9.77753888520283e-07,1.9567702569389667e-08
1839,7.389989367112548e-07,1.3982949909063791e-08
1840,1.0427180185956786e-06,1.7198159341091923e-08
1841,9.784915988575449e-07,2.632424944692957e-08
1842,9.525736395232798e-07,2.5491408095490442e-08
1843,9.8881692522923e-07,1.0041748876865597e-08
1844,9.69828791497207e-07,3.567564665907241e-08
1845,9.413844423988849e-07,2.3436957263811564e-08
1846,7.786486833083472e-07,8.196302303531411e-09
1847,7.000404274037919e-07,2.426950729272903e-08
1848,6.162640051599055e-07,4.907585093860689e-08
1849,7.960444108334741e-07,3.68694270669323e-08
1850,8.404777069870306e-07,1.8330290174617403e-08
1851,8.971169123128675e-07,1.6123597124106936e-08
1852,6.705861785860634e-07,1.4974254947119903e-08
1853,8.856375011134787e-07,3.045685281755084e-08
1854,9.284652158214612e-07,1.6106559475037585e-08
1855,8.936882238685939e-07,9.552486801567284e-09
1856,8.381869101015127e-07,2.3815070526733706e-08
1857,8.977095333762009e-07,1.513267733344037e-08
1858,8.16754530674757e-07,8.31924923394567e-09
1859,8.677063121353967e-07,2.189634606963864e-08
1860,7.30060826015233e-07,3.066713105681629e-08
1861,9.214993141881678e-07,1.509108421560157e-08
1862,8.828145059425196e-07,2.6656119089807362e-08
1863,8.440909287088516e-07,1.9978482868054925e-08
1864,9.690144935348144e-07,3.691940475558653e-08
1865,8.444078716252079e-07,2.871175119878444e-08
1866,8.587806696880307e-07,1.9462451206209153e-08
1867,9.987086322382766e-07,1.3102591012170706e-08
1868,7.093659117884954e-07,1.086772305480821e-08
1869,8.096875028229533e-07,1.6115613732381462e-08
1870,8.297168356818929e-07,3.841812556970581e-08
1871,1.0047634111387538e-06,6.372706451429622e-08
1872,7.565221338268202e-07,2.2375155839249317e-08
1873,6.63847885107316e-07,3.172582230259735e-08
1874,6.6796130759883e-07,1.9716210886144836e-08
1875,6.368059501937751e-07,3.833423178889461e-08
1876,6.680846080797664e-07,2.1765654167893445e-08
1877,6.716710103660262e-07,4.0201303619369355e-08
1878,6.03304947333072e-07,2.4156355138416075e-08
1879,6.976849711293198e-07,2.1993571408529533e-08
1880,5.564272607117005e-07,2.4387816210946767e-08
1881,4.929562908984053e-07,2.370652524286143e-08
1882,6.628763546956407e-07,3.194585018739815e-08
1883,6.104481347080082e-07,2.6541224329434954e-08
1884,5.558629077029309e-07,2.178559910248623e-08
1885,5.356323349303693e-07,2.127059778311846e-08
1886,5.653234165237109e-07,2.19417763958063e-08
1887,5.373304947653423e-07,3.590908392858694e-08
1888,5.62412552085334e-07,2.1558090423923204e-08
1889,5.538380651870511e-07,2.944614241329191e-08
1890,4.961670612146918e-07,3.539368825800082e-08
1891,4.347218087730198e-07,2.6134301833735663e-08
1892,5.058689342973821e-07,3.63573704476039e-08
1893,4.920574685485235e-07,2.8328715373504565e-08
1894,3.875446683565542e-07,3.150769600779313e-08
1895,3.767652572150837e-07,2.4074457982692365e-08
1896,4.2340667505413876e-07,2.7126333179694484e-08
1897,4.1894070257342264e-07,3.670829473723103e-08
1898,4.158890973826601e-07,3.3384292663640736e-08
1899,4.206487194124975e-07,5.03009616181771e-08
1900,4.261854495979378e-07,4.5162163786471865e-08
1901,3.6159140126557077e-07,3.688567679072108e-08
