year,elles_PRON eurent_VERB,elles_PRON furent_VERB
1800,5.596612595581973e-07,5.351367803996254e-06
1801,6.50062858653655e-07,6.369663310579199e-06
1802,6.131681971055514e-07,4.898632141703274e-06
1803,6.767677120933513e-07,4.895351366940304e-06
1804,5.289761020321748e-07,4.627304861060111e-06
1805,5.799470415013275e-07,5.145608611201169e-06
1806,5.187004390450056e-07,5.9074218370369636e-06
1807,5.580031938734464e-07,6.081096216803417e-06
1808,6.798221932058368e-07,5.62439549867122e-06
1809,6.167153401293035e-07,6.829049084444705e-06
1810,5.33548899284142e-07,5.393992182689544e-06
1811,7.044885563800563e-07,6.265184765652521e-06
1812,6.214595060782813e-07,5.4010967005524435e-06
1813,6.039057609541487e-07,5.728477390221087e-06
1814,7.992560142611183e-07,6.523061529151164e-06
1815,6.473336640056004e-07,5.826002734465874e-06
1816,5.446369186756783e-07,4.9573548039916204e-06
1817,7.410717444145121e-07,6.4454561652382836e-06
1818,6.68778056933661e-07,6.257426093725371e-06
1819,6.086417272399558e-07,5.8752560789798736e-06
1820,7.155487935506244e-07,7.066489388307673e-06
1821,7.208747945242067e-07,5.978033982501074e-06
1822,7.97036463495715e-07,5.696555149370397e-06
1823,8.153216697337484e-07,7.119487577256223e-06
1824,7.646370505653977e-07,6.235833893697418e-06
1825,6.331113695523527e-07,6.358410246321e-06
1826,5.364062545254455e-07,6.383146228472469e-06
1827,5.816099388766816e-07,6.277884608607565e-06
1828,6.209647978039357e-07,6.01611236561439e-06
1829,6.944272570308385e-07,6.1075307939972845e-06
1830,7.013553613433032e-07,5.774701094196644e-06
1831,5.846702251233182e-07,5.396116307565535e-06
1832,5.520227546185197e-07,5.24962797499029e-06
1833,6.67216994543196e-07,5.439672122520278e-06
1834,7.159584924920637e-07,5.7155332342517795e-06
1835,6.723585102008656e-07,5.564920229517156e-06
1836,6.270459991242205e-07,5.515719522009022e-06
1837,7.730216822210423e-07,5.882201094209449e-06
1838,7.328419968644084e-07,6.576010150638467e-06
1839,7.250159796967637e-07,6.040634616510943e-06
1840,6.274143515838659e-07,6.0301841813270585e-06
1841,6.895669031337093e-07,5.338686264622083e-06
1842,6.25210304860957e-07,5.698000109077839e-06
1843,5.570216998762589e-07,5.605067826763843e-06
1844,6.1526772299203e-07,5.70371287267335e-06
1845,6.400521357363687e-07,5.497640472640342e-06
1846,6.533623491122853e-07,5.2075790790695464e-06
1847,6.61209227814652e-07,5.1839664365616045e-06
1848,7.015433425294759e-07,5.0918208671646426e-06
1849,5.496896307022325e-07,4.999997031518433e-06
1850,6.368078260265975e-07,5.4379858056563535e-06
1851,5.836742218434665e-07,5.360128511711082e-06
1852,6.289186700314531e-07,5.1049185003648745e-06
1853,6.366079503550282e-07,5.15556871505396e-06
1854,6.525754372432857e-07,4.8808069550432265e-06
1855,6.893711486100074e-07,5.158342673894367e-06
1856,6.191918373588123e-07,4.968548637407366e-06
1857,6.653496740227638e-07,5.13485952069459e-06
1858,5.994753067284364e-07,4.8173346840485465e-06
1859,9.104806224513595e-07,5.4292750064632855e-06
1860,5.59789611997985e-07,4.732808179142012e-06
1861,6.050581475847139e-07,4.350948131559562e-06
1862,6.284518860866228e-07,4.61286390418536e-06
1863,6.897571154240723e-07,4.611533427123504e-06
1864,6.137251915561137e-07,4.375668822831358e-06
1865,6.49544517727918e-07,4.563285642689152e-06
1866,6.529652551989784e-07,4.3722398004319984e-06
1867,5.503088260638833e-07,4.568921895042877e-06
1868,6.723168581856953e-07,4.549129926090245e-06
1869,6.465779165409913e-07,4.121201754969661e-06
1870,6.175570632649396e-07,4.61132208329218e-06
1871,5.533633284926509e-07,4.157128842052771e-06
1872,6.319469463278438e-07,4.287563569960184e-06
1873,5.02824391901413e-07,4.220731739223993e-06
1874,6.100076035409074e-07,4.382973202154972e-06
1875,7.037478439997358e-07,4.4725178440785385e-06
1876,5.779990317478223e-07,3.977068445237819e-06
1877,5.572519086172179e-07,4.210004249216581e-06
1878,5.743173261407719e-07,4.325195163801254e-06
1879,5.553376496436613e-07,3.789003585552564e-06
1880,4.999502323244087e-07,3.966870849581028e-06
1881,6.038191884272237e-07,3.910879399882106e-06
1882,6.449068195024665e-07,4.07309562433511e-06
1883,5.763237140854471e-07,3.900296007941506e-06
1884,5.31436612050129e-07,4.019113134745567e-06
1885,5.427225175935746e-07,3.82612938665261e-06
1886,5.666141333904307e-07,3.9856594185039285e-06
1887,5.503883357960149e-07,3.6738258586410666e-06
1888,5.186622900055227e-07,3.6414151054486865e-06
1889,5.38175243036676e-07,3.633779328993114e-06
1890,4.6601688552527776e-07,3.488900006232143e-06
1891,4.5958125838296837e-07,3.4873357321885123e-06
1892,4.425569812838148e-07,3.6050214475835674e-06
1893,4.4463767778779584e-07,3.5053706142207375e-06
1894,4.530806876346105e-07,3.581164833121875e-06
1895,5.57323701855239e-07,3.7026516110927332e-06
1896,4.658652983380307e-07,3.657926981759374e-06
1897,4.52152960406238e-07,3.3066600622078113e-06
1898,5.381095604661823e-07,3.870880618705996e-06
1899,4.4828661316387297e-07,3.6111670738137036e-06
1900,4.978219863005506e-07,3.67578468285501e-06
1901,5.046631201821583e-07,3.5834993923344882e-06
1902,3.952778442339877e-07,3.225565478714998e-06
1903,5.141009751241654e-07,3.875738116221328e-06
1904,4.890908940069494e-07,3.6418459785636514e-06
1905,5.140116030588615e-07,3.5867276437784312e-06
1906,5.524854174154825e-07,3.711529075189901e-06
1907,4.3354170031761896e-07,3.519247684380389e-06
1908,4.842629550694255e-07,3.652108830465295e-06
1909,4.7528497759685706e-07,3.7846765508220415e-06
1910,5.338806516874683e-07,3.6548647130985046e-06
1911,4.995831233145509e-07,3.7657607663277304e-06
1912,4.6624320759747206e-07,3.68149801488471e-06
1913,4.528753123622664e-07,3.7067896982989623e-06
1914,4.6743271298055333e-07,3.797723366005812e-06
1915,5.006823755593359e-07,3.6720633715958684e-06
1916,5.295956810869029e-07,3.837920530713745e-06
1917,4.792327530367402e-07,3.6562058767231065e-06
1918,6.23710221248075e-07,3.8927330479054945e-06
1919,4.6775868156601064e-07,3.6536742982207215e-06
1920,4.6644949236451794e-07,3.720237486959377e-06
1921,4.0665653955329617e-07,3.516783863233286e-06
1922,4.330848071276705e-07,3.4654162845981773e-06
1923,4.7028650840275077e-07,3.465045551820367e-06
1924,4.6538765730019804e-07,3.4523769727456965e-06
1925,4.718218349353265e-07,3.5260158028904698e-06
1926,5.461607770484989e-07,3.5689935202753986e-06
1927,4.671525175581337e-07,3.477443215160747e-06
1928,4.5247124091929436e-07,3.4735164717858424e-06
1929,4.935200195177458e-07,3.5994653444504365e-06
1930,4.6320890589868213e-07,3.6090381172471098e-06
1931,4.733223022412858e-07,3.2254348525384557e-06
1932,4.3180574493817403e-07,3.320739551782026e-06
1933,4.691500805620308e-07,3.4044926451315405e-06
1934,3.29493460071717e-07,3.1715242130303523e-06
1935,3.578517038249629e-07,3.16441435188608e-06
1936,4.0496547626389656e-07,3.0881648171998677e-06
1937,3.726970874140534e-07,3.024386501238041e-06
1938,4.2914859932352556e-07,3.0947966251915204e-06
1939,3.7164541311085486e-07,2.841634625383449e-06
