year,ces_DET os_NOUN,ces_DET fosses_NOUN
1800,1.9242286555254395e-06,4.37038849554483e-07
1801,2.133539481974367e-06,3.024101928872369e-07
1802,1.6492882082275173e-06,2.842056971985585e-07
1803,2.6836667075258447e-06,3.06203261857263e-07
1804,1.7327675152500888e-06,2.3235399027043968e-07
1805,3.3545957194291987e-06,5.486753877903539e-07
1806,2.9738825446656847e-06,1.4984679008733792e-07
1807,2.3003397870979825e-06,3.814919828926122e-07
1808,1.1330370455198135e-06,1.404965925821955e-07
1809,1.1114430265024566e-06,4.5858319452918295e-07
1810,1.2870697361222483e-06,1.4976811790745614e-07
1811,5.289931870322562e-07,4.462596692178522e-07
1812,3.790102823586494e-06,2.080422403238913e-07
1813,1.5701548932156584e-06,2.8182267897136626e-07
1814,1.3750978880011644e-06,1.4474714360446228e-07
1815,2.0876509765344053e-06,3.020890435578849e-07
1816,1.7266148404360138e-06,1.738202897172414e-07
1817,1.1443020042634089e-06,1.3856172831339109e-07
1818,2.4509941738415364e-06,2.682264970133019e-07
1819,1.79797741850507e-06,2.5360073152569385e-07
1820,1.7087733255038984e-06,2.3495633172387898e-07
1821,2.14191521763496e-06,2.4259261977022106e-07
1822,2.3129095865215277e-06,3.54906816824041e-07
1823,1.8243440536025446e-06,2.13466041287802e-07
1824,1.4273786064222804e-06,1.8273815172165087e-07
1825,2.463762996285368e-06,2.0692791480314554e-07
1826,1.3423367732912084e-06,1.4092774591745183e-07
1827,1.6167096674735149e-06,1.760499195313514e-07
1828,2.415984155845763e-06,1.311639081791327e-07
1829,2.4965087845885137e-06,1.9289645436515457e-07
1830,1.508122792870381e-06,2.765761575318493e-07
1831,1.701000627463145e-06,2.18276889896174e-07
1832,1.339467004868311e-06,1.2853470998663852e-07
1833,2.5449231770835468e-06,1.9460496503143077e-07
1834,2.481118414721095e-06,2.1749456902142583e-07
1835,2.6478369932192436e-06,2.299178731846041e-07
1836,1.684892055209275e-06,2.5270020032053253e-07
1837,2.2265251971020916e-06,2.1360725277475012e-07
1838,1.3848882787215189e-06,2.0325161376177903e-07
1839,1.4968748729415893e-06,1.5521074558932924e-07
1840,1.0006781110405427e-06,1.0828470742296759e-07
1841,1.5197438614222847e-06,1.5088289728737436e-07
1842,9.61294389867362e-07,1.536192648643464e-07
1843,1.4158865440094814e-06,1.3349619187863482e-07
1844,9.989181748437659e-07,1.931973567792511e-07
1845,1.6556536479583883e-06,1.0825642426937065e-07
1846,1.3336554047782556e-06,1.6041333239513733e-07
1847,9.421961877364993e-07,1.7420112996546777e-07
1848,8.664703941008156e-07,1.3113711183621035e-07
1849,1.1756318798461507e-06,1.1479798445179767e-07
1850,1.0719824672378309e-06,1.466423107387982e-07
1851,9.69350622881393e-07,2.3798429182875225e-07
1852,1.2402588680515692e-06,1.7252945561097022e-07
1853,1.1513884743408198e-06,1.3078530969323765e-07
1854,1.0542003252567156e-06,1.6262429625157893e-07
1855,1.1712410525888117e-06,1.3055065295475288e-07
1856,7.827910266655635e-07,1.3150060418354315e-07
1857,9.611691211830475e-07,1.2008512406680438e-07
1858,6.816890447680635e-07,8.955427421852846e-08
1859,6.482336587509963e-07,1.288319815273553e-07
1860,8.554756547596298e-07,1.547088093190041e-07
1861,8.021854256412553e-07,1.2921740832894102e-07
1862,7.346245496364645e-07,1.960806095269163e-07
1863,6.862609254199015e-07,2.0427999558592091e-07
1864,1.2686849544252254e-06,2.047348885980682e-07
1865,1.0477435665734447e-06,1.614447562303667e-07
1866,8.651060028341817e-07,1.7224269299731532e-07
1867,1.3587871876552526e-06,1.887743650286211e-07
1868,1.2497881840545233e-06,2.089566795149267e-07
1869,1.1232094436763873e-06,1.4601722320151111e-07
1870,1.1462363858072422e-06,2.1732044430677888e-07
1871,1.4253620150839197e-06,2.2092049078992204e-07
1872,1.3080395007136758e-06,1.6388290191571286e-07
1873,1.1463198674732666e-06,1.9933394490578848e-07
1874,1.39566868995189e-06,1.8521287614703397e-07
1875,9.28031703040233e-07,1.808002636494166e-07
1876,9.758267793813502e-07,1.668700129187073e-07
1877,9.15352742936193e-07,2.6223620075427334e-07
1878,7.566978084128095e-07,1.1897004625893715e-07
1879,8.381994405226578e-07,2.0221866670055988e-07
1880,7.18156982770779e-07,2.2077391648167577e-07
1881,6.191586692239071e-07,2.2939549992884167e-07
1882,8.126225026217071e-07,1.9833047915085444e-07
1883,7.204046283959542e-07,1.7820536335477755e-07
1884,7.024205572747633e-07,1.8550768565717135e-07
1885,7.683197793539875e-07,1.895016836783725e-07
1886,6.847125035847057e-07,1.7488887138483733e-07
1887,5.353718250944439e-07,2.0304955938854619e-07
1888,6.055286831951889e-07,1.7500096838318768e-07
1889,6.020796519123905e-07,1.9672529560921248e-07
1890,5.033768815110307e-07,1.7041405442341784e-07
1891,6.087379986752239e-07,1.861272309611195e-07
1892,4.6449675750181996e-07,1.736377992500593e-07
1893,6.521763182831819e-07,1.576554646831596e-07
1894,4.5938222115182725e-07,2.2874588090360248e-07
1895,4.321365132398114e-07,1.4203930653877705e-07
1896,3.980494618360808e-07,1.5155364252450454e-07
1897,5.092547752383325e-07,1.7072271063511835e-07
1898,4.4587835645870655e-07,1.6296062099740993e-07
1899,4.377842053315817e-07,1.4316427332516923e-07
1900,4.1839887643391194e-07,1.0434016850524586e-07
1901,3.319711012750304e-07,1.0842153219670081e-07
1902,3.319351833397377e-07,1.4436233897185957e-07
1903,4.843997558623414e-07,1.6578676209633159e-07
1904,3.547252589441996e-07,1.6822576753838803e-07
1905,3.277081930264103e-07,1.6153175863564684e-07
1906,4.058761611247519e-07,1.857050602183108e-07
1907,3.7645613559789126e-07,2.1754227574888318e-07
1908,4.267997084639319e-07,2.976301640700285e-07
1909,3.8396864354695026e-07,2.9210222329822955e-07
1910,3.0942631212838023e-07,2.0307773240801907e-07
1911,3.5859320490772006e-07,2.1760329538267342e-07
1912,3.5111498775108885e-07,1.4482190735520817e-07
1913,3.372701478099316e-07,1.4371101997312508e-07
1914,4.1318908472476323e-07,1.5670380193455458e-07
1915,4.7358663834984327e-07,2.2147831835184206e-07
1916,2.351316901183509e-07,1.4942948700635839e-07
1917,3.202195983931233e-07,1.8642922050560173e-07
1918,4.2155000556931554e-07,1.2290422901628517e-07
1919,2.0257266619694292e-07,1.0036554520809204e-07
1920,3.097042728938959e-07,1.2267015137013004e-07
1921,3.05181711013347e-07,1.4691130445498857e-07
1922,2.5158760053045626e-07,1.1730917748309366e-07
1923,2.4841319046231547e-07,1.2951456795917693e-07
1924,2.0368766229239554e-07,1.5212116633023243e-07
1925,2.8045354838468484e-07,9.56841512689266e-08
1926,3.243526265350738e-07,9.920063526180911e-08
1927,2.642366254690387e-07,9.699825831432918e-08
1928,2.159521805822351e-07,1.2225864409742826e-07
1929,2.0164135605682532e-07,8.355304981222389e-08
1930,1.8066198670396716e-07,9.873387440961778e-08
1931,2.3152874106813215e-07,9.92266038224443e-08
1932,2.5535720382663385e-07,1.0411559436818152e-07
1933,2.1450138731893276e-07,8.14417013828006e-08
1934,2.7437818062026054e-07,1.0184342968955207e-07
1935,2.6449907153391905e-07,1.2686381367643662e-07
1936,1.8187071759712126e-07,1.5762129379481848e-07
1937,2.883366079231564e-07,1.0954272866570136e-07
1938,2.3467038712254862e-07,1.1279736789049366e-07
1939,2.202343321044964e-07,9.482311114084041e-08
1940,2.966866041731464e-07,1.4961119276790669e-07
1941,3.6893783317282214e-07,1.2396311177553798e-07
1942,2.3060009013420313e-07,1.3957374278561474e-07
1943,3.774205836748479e-07,1.3354881733818047e-07
1944,2.6669444608273807e-07,1.1246151743193877e-07
1945,2.6577749423495334e-07,1.2417472916581573e-07
1946,1.8654279543284247e-07,8.491873870752897e-08
1947,2.3364907875134122e-07,5.722018237008797e-08
1948,2.6309968959026264e-07,1.0654449944524913e-07
1949,1.452917253175201e-07,9.522498345404529e-08
1950,2.244061256817531e-07,9.784532295498138e-08
1951,3.283711720314386e-07,8.742349244528214e-08
1952,5.13531958290514e-07,9.279427448660726e-08
1953,2.294825200976902e-07,1.260537771941017e-07
1954,2.277000916706129e-07,1.0847515063971969e-07
1955,3.2380345516003217e-07,8.259334727256373e-08
1956,2.4070350335136936e-07,1.0727003818544745e-07
1957,2.685851470118905e-07,7.598132478747743e-08
1958,2.705023653959415e-07,1.4559148908688258e-07
1959,2.356227284394663e-07,1.720666080728961e-07
1960,1.3634041451382473e-07,9.827583635768633e-08
1961,2.2789961917624169e-07,1.327098431147533e-07
1962,1.953322623649001e-07,1.0844745368387976e-07
1963,1.357871219909157e-07,1.1638896069143811e-07
1964,1.6974270877767594e-07,9.247632171138775e-08
