year,nos_DET oies_NOUN,nos_DET fois_NOUN
1800,1.8864987794131594e-08,6.288328968651058e-09
1801,2.1430643926123594e-08,7.143547753329926e-09
1802,8.951360541686881e-09,8.951360541686881e-09
1803,5.070882025393075e-08,1.950339223455444e-09
1804,1.4831105232815389e-08,4.943701892301533e-09
1805,3.41145314219915e-08,5.685755422035754e-09
1806,5.76333825108577e-09,8.645007376628655e-09
1807,8.540865792383556e-09,0.0
1808,4.5321479902327155e-09,2.2660739951163578e-09
1809,4.0662548883574345e-08,0.0
1810,0.0,7.020380277111826e-09
1811,5.0141535368197765e-09,1.2535384286138651e-08
1812,8.00162425207418e-09,8.00162425207418e-09
1813,0.0,2.8757416448144113e-09
1814,3.1466771410748606e-09,3.1466771410748606e-09
1815,0.0,8.091670666843243e-09
1816,9.270415546325239e-09,2.3176038865813098e-09
1817,2.8023721676539992e-08,4.670620334934483e-09
1818,4.172412104708201e-08,1.0729059862768509e-08
1819,7.24573512300708e-09,4.140420006848444e-09
1820,1.6613073583471305e-08,8.306536791735653e-09
1821,8.875339574387908e-09,0.0
1822,1.2030739071633434e-08,2.0051231786055723e-09
1823,5.929612023614084e-09,2.964806067318193e-09
1824,1.1789557774477544e-08,3.705289675082213e-08
1825,3.25801385869795e-08,1.8491430608946757e-08
1826,1.7615968683770689e-09,6.165588817275136e-09
1827,7.373818444733615e-09,7.373818444733615e-09
1828,3.485474309172787e-08,6.420610709767516e-09
1829,2.5719527840806222e-08,0.0
1830,6.262101504006523e-09,3.1310507520032616e-09
1831,1.5591206548037917e-08,0.0
1832,1.352996914505411e-08,1.3529969367098715e-09
1833,2.3167257445777523e-08,1.1583628500844156e-09
1834,1.8669062296083894e-08,3.733812370398937e-09
1835,1.5882484660778573e-08,1.8151411040889798e-08
1836,2.8899224790990274e-08,9.409050427677812e-09
1837,2.574419688539109e-08,8.349469116097907e-09
1838,1.325553999897977e-08,1.64116205070286e-08
1839,8.389769878824893e-09,6.9914749545318955e-09
1840,1.2102408852854296e-08,1.3376346419402552e-08
1841,3.017657901338566e-08,1.926164561183441e-09
1842,1.408735617047796e-08,1.0062397137744483e-08
1843,6.497602123012314e-09,4.134837805480629e-09
1844,6.037417454862748e-09,3.512679214168202e-08
1845,5.5802281129224696e-09,3.348136878855712e-09
1846,3.5127007969038004e-09,3.5127007969038004e-09
1847,2.3730184928183462e-08,7.550513103637968e-09
1848,2.011305477722658e-08,1.6090443422100975e-09
1849,2.011059585527164e-08,2.513824481908955e-09
1850,5.431196825611551e-09,2.7155984128057753e-09
1851,1.2898877521649865e-08,9.674158363282004e-09
1852,1.6276363812295358e-08,1.5625309046640723e-08
1853,1.5527023222716707e-08,7.763511611358354e-09
1854,8.832629738719788e-09,3.117398617025202e-09
1855,9.021793090369101e-09,3.714855978387277e-09
1856,8.28350277259915e-09,5.177189232874468e-10
1857,3.417056471111124e-09,3.905207268672939e-09
1858,9.29798454896158e-09,9.787352039936081e-10
1859,1.171199848215565e-08,2.036869339860914e-09
1860,1.830873536112776e-09,5.492620580582752e-09
1861,1.1789909493131745e-08,5.187560159214399e-09
1862,3.162590467287174e-09,2.710791813242963e-09
1863,3.496234635136375e-09,8.990317823531768e-09
1864,7.192092144059359e-09,2.876836879828204e-09
1865,1.0355057922240007e-08,1.4591217123438582e-08
1866,2.919367858567057e-09,5.352174092809747e-09
1867,5.82337378318698e-09,3.4454963326879806e-08
1868,1.2843672791973404e-08,9.385760613156435e-09
1869,1.0255390092694938e-08,3.1742874440077173e-08
1870,4.587239033071455e-09,1.204150201772336e-08
1871,0.0,1.3807530230280918e-08
1872,5.442605477412599e-09,7.256807044164759e-09
1873,1.1373408437265198e-08,2.7535620006347017e-08
1874,5.974609251779839e-09,5.0186718059119784e-08
1875,2.8607636259891933e-09,1.659242937490646e-08
1876,1.209202959984168e-09,1.934724735974669e-08
1877,1.2988113695655557e-08,8.040260901509555e-09
1878,4.831270938865373e-09,2.2344627481629686e-08
1879,6.720257905712401e-09,2.3215436684154156e-08
1880,1.7328185109022343e-08,7.701415505323439e-09
1881,2.091752326904839e-09,8.367009307619355e-09
1882,3.9932310791357395e-09,1.5972924316542958e-08
1883,6.319338829996468e-09,1.4534479397809719e-08
1884,8.582206056928499e-09,3.300848483434038e-09
1885,3.86738152613475e-09,1.4824961758197475e-08
1886,1.0970888419947755e-08,1.3552274358286098e-08
1887,1.1752063988623718e-08,1.3057848802233707e-08
1888,8.87686035788704e-09,1.2681229177857745e-08
1889,8.14467782106476e-09,6.891650361495749e-09
1890,9.176141124722648e-09,5.243509293428872e-09
1891,7.649064048820264e-09,7.0116419337296065e-09
1892,7.522214851007902e-09,5.014809900671935e-09
1893,6.158416665513755e-09,8.621783342821487e-09
1894,3.150769645188234e-09,1.3863386882917439e-08
1895,1.083350631425617e-08,9.027921299420427e-09
1896,2.9485144326102386e-09,1.2383760461531779e-08
1897,6.992056267307589e-09,1.7480140668268973e-09
1898,5.658354784721098e-09,5.092519295146758e-09
1899,4.4220627160029835e-09,4.9748205555033564e-09
1900,4.671947717582725e-09,1.038210628578895e-09
1901,3.912117296778206e-09,2.235495621949468e-09
1902,6.8743973291596205e-09,2.258730624760119e-08
1903,2.214090244478939e-08,2.4841012802312434e-08
1904,3.7622376325430196e-09,1.1286712897629059e-08
1905,1.9094808956232612e-08,9.805441791854719e-09
1906,8.745113411201544e-09,1.7490227932626112e-08
1907,1.1314255032868203e-08,8.742834012309686e-09
1908,1.964555629285769e-09,6.384805573134145e-09
1909,5.500983391026892e-09,1.6502950117569526e-09
1910,4.275320542035388e-09,8.016225794271747e-09
1911,2.128149656499545e-09,1.0108711201439746e-08
1912,1.0418842455450772e-09,2.604710613862693e-09
1913,3.71209285532359e-09,6.363587878865928e-09
1914,6.696743715117748e-10,4.018046340092951e-09
1915,4.712304768617059e-09,8.246533234057551e-09
1916,0.0,2.197492410260793e-09
1917,7.676497215669542e-09,6.57985488317081e-09
1918,0.0,1.033773866510046e-08
1919,5.524709134618888e-09,1.4732557396257562e-08
1920,9.086678076641874e-09,3.028892692213958e-09
1921,4.543648568500203e-09,1.5145494858259667e-09
1922,3.6889677978990676e-09,5.1645547283207804e-09
1923,6.369568872344189e-09,1.0615948120573648e-08
1924,3.867487219366694e-09,1.289162443462999e-09
1925,5.499088961968823e-09,4.399271169575059e-09
1926,1.1146138456652466e-09,1.1146138456652466e-09
1927,7.804457635707251e-09,3.3447675740205796e-09
1928,9.14083297942625e-09,3.4278122562625413e-09
1929,3.342121912552898e-09,2.2280812750352652e-09
1930,4.201441416995522e-09,2.100720708497761e-09
1931,0.0,5.7026783295555106e-09
1932,2.1919073223131136e-09,2.1919073223131136e-09
