year,communications_NOUN in_ADJ
1800,3.144164484325529e-09
1801,2.3811825844433088e-09
1802,4.475680270843441e-09
1803,0.0
1804,0.0
1805,2.842877711017877e-09
1806,8.645007376628655e-09
1807,0.0
1808,4.5321479902327155e-09
1809,0.0
1810,0.0
1811,0.0
1812,5.3344164641089264e-09
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,4.670620223912181e-09
1818,1.1921177378582115e-09
1819,0.0
1820,0.0
1821,9.86148829262845e-10
1822,5.012807946513931e-09
1823,9.882686891060644e-10
1824,4.210556348027694e-09
1825,0.0
1826,1.7615968683770689e-09
1827,9.217273055917019e-10
1828,0.0
1829,3.429270423183084e-09
1830,0.0
1831,6.236482441579483e-09
1832,0.0
1833,1.1583628500844156e-09
1834,3.733812370398937e-09
1835,7.563087933704082e-10
1836,2.688300027031687e-09
1837,2.7831562610103333e-09
1838,0.0
1839,0.0
1840,5.095750932326837e-09
1841,2.5682194149112547e-09
1842,6.708265054555795e-10
1843,0.0
1844,0.0
1845,2.2320911785556063e-09
1846,7.610851504580296e-09
1847,1.0786447290911383e-09
1848,3.218088684420195e-09
1849,1.6758829879393033e-09
1850,2.7155984128057753e-09
1851,1.9348316282474798e-09
1852,6.510545436100301e-10
1853,1.1943863675867306e-09
1854,0.0
1855,1.5920811335945473e-09
1856,2.0708756931497874e-09
1857,4.881508974818871e-09
1858,9.787352039936081e-10
1859,1.018434669930457e-09
1860,2.288591982591015e-09
1861,0.0
1862,0.0
1863,1.9978483312144135e-09
1864,3.356309563606885e-09
1865,9.41368871743009e-10
1866,3.892490441081975e-09
1867,1.94112459439566e-09
1868,0.0
1869,4.883519144627257e-10
1870,1.7202146374017957e-09
1871,1.0621177271019633e-09
1872,0.0
1873,1.1972008939764578e-09
1874,1.1949218281515073e-09
1875,1.1443054281912168e-09
1876,6.04601479992084e-09
1877,4.329371305900054e-09
1878,1.8117265465633636e-09
1879,0.0
1880,1.2835692508872398e-09
1881,6.2752567586699115e-09
1882,1.9966155395678697e-09
1883,6.319338941018771e-10
1884,3.9610181801208455e-09
1885,0.0
1886,3.2267319372003556e-09
1887,0.0
1888,2.53624587998047e-09
1889,1.2530273485467092e-09
1890,0.0
1891,5.736798147637501e-09
1892,1.8805537127519756e-09
1893,4.926733243593162e-09
1894,6.9316934414587195e-09
1895,3.0093072478365457e-09
1896,4.717623180994224e-09
1897,0.0
1898,1.6975064687230201e-09
1899,4.9748205555033564e-09
1900,1.038210628578895e-09
1901,2.235495621949468e-09
1902,2.9461704187383475e-09
1903,1.0800440541913758e-09
1904,1.0749250378694342e-09
1905,2.0643036724443675e-09
1906,4.115347618238729e-09
1907,1.028568674676933e-09
1908,9.822778146428846e-10
1909,1.1001967115120692e-09
