year,quelques_DET arts_NOUN,quelques_DET phares_NOUN
1800,6.759953361523685e-07,6.288328968651058e-09
1801,5.381472782950425e-07,9.524730337773235e-09
1802,2.618272958443413e-07,0.0
1803,2.632958018278231e-07,0.0
1804,3.4358727729610905e-07,0.0
1805,2.672305021711452e-07,0.0
1806,1.671368083933089e-07,0.0
1807,4.953701684407008e-07,0.0
1808,3.7616828940656433e-07,0.0
1809,4.992457434127573e-07,0.0
1810,2.3167255225331473e-07,0.0
1811,2.206227520673565e-07,0.0
1812,2.453831555726538e-07,0.0
1813,2.760711899085777e-07,0.0
1814,3.8074792207964947e-07,0.0
1815,8.631115377966125e-08,0.0
1816,1.4832664874120383e-07,0.0
1817,1.588010860587019e-07,0.0
1818,1.4186200480992284e-07,1.1921177378582115e-09
1819,1.697572156178495e-07,1.035105001712111e-09
1820,2.4326286052200885e-07,1.3053129244156025e-08
1821,1.3313008950799343e-07,0.0
1822,1.373509377344817e-07,0.0
1823,1.7097048399250525e-07,0.0
1824,2.366332712000485e-07,0.0
1825,1.7258668361108676e-07,0.0
1826,1.4885493593297383e-07,0.0
1827,2.6822263876624675e-07,9.217272889383565e-09
1828,2.1371461400576663e-07,0.0
1829,2.0318427251808657e-07,2.571952872898464e-09
1830,1.868193655329975e-07,0.0
1831,1.34084368497156e-07,1.4032085715598441e-08
1832,1.975375509832844e-07,1.6235963684607668e-08
1833,1.2394482951094687e-07,2.3167257001688313e-09
1834,2.0722659233030072e-07,4.667265462998671e-09
1835,2.01934447829899e-07,3.781543966852041e-09
1836,9.946710344266307e-08,7.392825018825988e-09
1837,1.2037151164712157e-07,9.045257876039159e-09
1838,1.1740621319589195e-07,6.312161904276081e-09
1839,1.202533725930266e-07,4.894032512581248e-09
1840,1.1401742766592449e-07,1.2739377330817092e-09
1841,9.951850543643559e-08,1.219904177673925e-08
1842,7.110761002238064e-08,1.475818312002275e-08
1843,1.0337094646928335e-07,4.7255288571079745e-09
1844,1.1855292081364155e-07,6.037417232818143e-09
1845,6.752075681903946e-08,1.6740683839167048e-09
1846,1.0186832199998719e-07,4.6836010625384006e-09
1847,7.712309546548113e-08,3.775256551818984e-09
1848,5.068489528081699e-08,0.0
1849,7.625267928190738e-08,1.6758829879393033e-09
1850,5.838536676350259e-08,2.0366988096043315e-09
1851,4.708090317606661e-08,0.0
1852,1.0156450658271865e-07,8.463708844885787e-09
1853,7.285756886687977e-08,7.763511389313749e-09
1854,4.676098053213451e-08,4.1565315633818045e-09
1855,3.980202833986368e-08,6.8990182455763716e-09
1856,7.299837062602066e-08,1.0354378687793542e-08
1857,2.782460128969433e-08,4.881509085841174e-10
1858,3.474509924217273e-08,8.319249067412215e-09
1859,5.652312506931878e-08,3.5645213447565993e-09
1860,3.478659782452098e-08,1.006980487883169e-08
1861,2.923897596263103e-08,6.130752905342263e-09
1862,3.3884898442693157e-08,1.8071945051545413e-09
1863,2.1476870060155306e-08,0.0
1864,5.8495679411407764e-08,1.1507347186245909e-08
1865,3.43599646512871e-08,9.41368871743009e-10
1866,2.6274309505858184e-08,4.865612912574591e-10
1867,3.34843974769683e-08,9.7056229719783e-09
1868,1.9265508632848594e-08,1.6301584082611953e-08
1869,3.125452263663675e-08,9.767038289254515e-10
1870,3.325748254567884e-08,1.3761717543303575e-08
1871,3.080141297573391e-08,1.0621177271019633e-09
1872,2.1770421909650395e-08,4.23313739617015e-09
1873,4.3099231017418305e-08,9.577607151811662e-09
1874,4.480956716790274e-08,1.0754296564385868e-08
1875,3.089624556196213e-08,1.3731665360339207e-08
1876,3.929909553335165e-08,1.874264565771e-08
1877,2.5976227391311113e-08,7.421779191219002e-09
1878,4.589707458535486e-08,8.4547240319921e-09
1879,2.8713828426063515e-08,1.221865053580018e-09
1880,1.7328185109022343e-08,1.9253538763308597e-09
1881,2.719277958362909e-08,7.66975827293237e-09
1882,1.3976308776975088e-08,1.1979693459451823e-08
1883,4.4235374030421326e-08,5.687405213450347e-09
1884,4.555170995956814e-08,8.582206056928499e-09
1885,3.931837810888794e-08,7.734762830224895e-09
1886,2.0005737511041843e-08,3.2267318816892043e-09
1887,2.6768590899450828e-08,5.876032105334161e-09
1888,2.282621380800265e-08,6.340614699951175e-10
1889,2.7566601445982997e-08,8.14467782106476e-09
1890,1.5075089287996946e-08,1.114245701261396e-08
1891,1.3385862196457765e-08,8.92390827900158e-09
1892,3.19694137829174e-08,1.002961980134387e-08
1893,2.2786141196107224e-08,4.926733243593162e-09
1894,1.3863386882917439e-08,5.041231432301174e-09
1895,9.027921521465032e-09,6.018614495673091e-10
1896,4.717623180994224e-09,2.948514543632541e-09
1897,1.5149455023788505e-08,3.4960281336537946e-09
1898,6.790025763869778e-09,3.960848538042683e-09
1899,2.4874102777516782e-08,1.1607914629507832e-08
1900,2.284063338464648e-08,7.26747417800766e-09
1901,2.179608138419553e-08,6.147612863216523e-09
1902,7.365426046845869e-09,2.9461704187383475e-09
1903,5.400220270956879e-09,4.320176216765503e-09
