year,six_DET oeufs_NOUN,six_DET feux_NOUN
1800,5.973912209356058e-08,1.5720822421627645e-08
1801,4.286128785224719e-08,2.3811825844433088e-09
1802,4.2518962573012686e-08,0.0
1803,5.265915774543828e-07,3.900678446910888e-09
1804,7.415552971679062e-08,2.4718509461507665e-09
1805,5.685755510853596e-08,8.528632911009026e-09
1806,1.4408345627714425e-08,0.0
1807,1.1387820464392462e-08,0.0
1808,4.5321479902327155e-09,6.798221985349073e-09
1809,6.7770917766551975e-09,2.0331274441787173e-08
1810,4.680253518074551e-09,1.6380887757350138e-08
1811,2.5070767684098882e-09,2.757784400841956e-08
1812,0.0,0.0
1813,1.7254450312975678e-08,7.189354289671712e-08
1814,3.1466771410748606e-09,3.4613449884091096e-08
1815,3.236668177919455e-08,5.394447111228828e-09
1816,2.3176038865813098e-09,0.0
1817,3.269434145636296e-08,1.401186100480345e-08
1818,5.96058882251782e-08,7.152706427149269e-09
1819,1.8631890696951814e-08,1.0351049795076506e-08
1820,1.6613073583471305e-08,5.933240565525466e-09
1821,4.930744257336528e-09,2.9584464655840748e-08
1822,6.015369535816717e-09,5.714601059025881e-08
1823,5.435477845594505e-08,5.731958285792871e-08
1824,6.736890156844311e-09,3.789500802042767e-08
1825,1.1447076175841175e-08,4.226612659863349e-08
1826,1.6735169694470642e-08,3.5231937367541377e-09
1827,9.217273166939322e-09,3.6869092223668076e-09
1828,1.0089530988466322e-08,1.0089530988466322e-08
1829,0.0,1.457439946506156e-08
1830,3.1310507520032616e-09,7.305785310052215e-09
1831,4.677361609140007e-09,6.236482441579483e-09
1832,1.3529969367098715e-09,4.058990921151917e-09
1833,1.1583628500844156e-09,3.01174338801502e-08
1834,5.600718555598405e-09,3.733812370398937e-09
1835,4.5378527602224494e-09,1.663879345414898e-08
1836,4.032449929525228e-09,3.965242489911702e-08
1837,4.87052354003481e-09,1.2524203896191466e-08
1838,6.943378316748294e-09,2.209256599883247e-08
1839,4.194885327990505e-09,1.11863602825224e-08
1840,3.821813088222825e-09,1.2739377552861697e-08
1841,5.778493683550323e-09,5.778493683550323e-09
1842,1.341653010911159e-09,2.0124795163667386e-09
1843,5.906911071384968e-10,8.269675610961258e-09
1844,3.841992946007622e-09,1.5367971784030487e-08
1845,1.674068439427856e-09,9.48638767539478e-09
1846,4.6836010625384006e-09,4.6836010625384006e-09
1847,5.9325460100012606e-09,4.422443566909351e-08
1848,1.045878850192139e-08,1.206783295515379e-08
1849,3.3517659758786067e-09,7.54147322368226e-09
1850,4.073397619208663e-09,1.2899092460827433e-08
1851,1.2898877521649865e-09,1.4188765717904062e-08
1852,0.0,7.812654523320361e-09
1853,7.763511611358354e-09,1.1943863675867306e-08
1854,3.63696517347023e-09,8.313063126763609e-09
1855,2.653468555990912e-09,5.837630823180007e-09
1856,1.0354378465748937e-09,7.248064815001953e-09
1857,3.905207268672939e-09,2.050233871564444e-08
1858,2.4468380654951716e-09,7.829881631948865e-09
1859,5.092173349652285e-09,5.092173349652285e-09
1860,4.577183909670879e-10,5.034902272882391e-09
1861,1.4147891747029462e-09,2.2165029811560544e-08
1862,3.6143890103090826e-09,6.776979422085105e-09
1863,3.995696662428827e-09,2.2475793670651e-08
1864,2.3973640850272204e-09,6.32904075814622e-08
1865,3.765475486972036e-09,1.4120533298189741e-08
1866,3.8924903300596725e-09,1.1190909532388105e-08
1867,2.426405742994575e-09,1.067618526917613e-08
1868,9.87974813071446e-10,1.679557115608077e-08
1869,9.767038289254515e-10,1.0743741896135361e-08
1870,1.7202146374017957e-09,1.834895613228582e-08
1871,0.0,6.37270636261178e-09
1872,6.047339295989218e-10,9.071008832961525e-09
1873,5.986004469882289e-10,1.2570609442263958e-08
1874,1.1949218281515073e-09,4.182226343019124e-09
1875,1.716458086775674e-09,1.6592428764283795e-08
1876,0.0,6.04601479992084e-09
1877,0.0,1.0514187187560253e-08
1878,1.8117265465633636e-09,1.0266450800600069e-08
1879,3.665595160740054e-09,1.893890844151258e-08
1880,1.2835692508872398e-09,2.6954953824542827e-08
1881,6.972507571312292e-10,2.649552932609822e-08
1882,3.3276925659464496e-09,1.0648615988984034e-08
1883,1.2638677882037541e-09,2.2749619355000306e-08
1884,2.6406787867472303e-09,9.242375753615306e-09
1885,6.445635691854079e-10,3.86738152613475e-09
1886,1.2906927748801422e-09,1.355227396970804e-08
1887,6.528924623161458e-10,1.9586774424595887e-09
1888,1.9021844099853524e-09,5.706553452000662e-09
1889,1.1903759755682586e-08,2.1301465480405568e-08
