year,certaines_DET eaux_NOUN
1800,2.6096565797217863e-07
1801,2.857419023616359e-07
1802,1.7902721083373763e-07
1803,1.6187815887747092e-07
1804,1.1864884186252311e-07
1805,9.950071655495663e-08
1806,1.3255677622225903e-07
1807,2.135216305987342e-07
1808,1.2236799307174806e-07
1809,1.2424668227595248e-07
1810,1.0998595856293036e-07
1811,1.4791753022436183e-07
1812,1.920389998133487e-07
1813,2.6744396919298197e-07
1814,2.0768068509369186e-07
1815,1.780167480092132e-07
1816,1.5991466284503986e-07
1817,2.3041726326944456e-07
1818,1.1086695161921511e-07
1819,1.759678465163006e-07
1820,1.1747816053286897e-07
1821,8.678109564286274e-08
1822,1.3434325296657335e-07
1823,1.7788837070042973e-07
1824,1.2210612965191103e-07
1825,1.9988356392275364e-07
1826,2.0258363786496147e-07
1827,2.1291900215159032e-07
1828,1.5776357509267314e-07
1829,1.757501086885327e-07
1830,1.9412514973282669e-07
1831,3.3677005184529207e-07
1832,1.461236678323985e-07
1833,2.4093947814662897e-07
1834,1.7455572631774885e-07
1835,2.979856574825135e-07
1836,1.6936289704005958e-07
1837,2.6300827649095027e-07
1838,1.7169080979151374e-07
1839,2.2302805291474215e-07
1840,1.9236459269933448e-07
1841,1.7849124311908326e-07
1842,1.8179398342255126e-07
1843,2.3509505986396562e-07
1844,1.5916827234008224e-07
1845,1.8582159455604597e-07
1846,1.6392603363613034e-07
1847,1.8714486227366933e-07
1848,3.5640332640696215e-07
1849,2.295959706799522e-07
1850,1.8805518653408626e-07
1851,2.6055732860186254e-07
1852,1.9922268812422317e-07
1853,3.5831590494694865e-07
1854,3.4447256069825016e-07
1855,2.748993566115132e-07
1856,3.1736170846841105e-07
1857,4.2566758384765535e-07
1858,4.012814329712455e-07
1859,3.304820559435484e-07
1860,3.7487135529090665e-07
1861,3.7397591512444706e-07
1862,3.0993384747546315e-07
1863,2.8918854866333277e-07
1864,3.317951708936562e-07
1865,2.875882021413645e-07
1866,2.5106563050769637e-07
1867,2.766102511486679e-07
1868,3.126940377740084e-07
1869,2.5003617842855874e-07
1870,3.2970780239338637e-07
1871,2.81461204565403e-07
1872,2.3221783251869965e-07
1873,4.3039372599196213e-07
1874,3.1904413688721434e-07
1875,2.6433456490337903e-07
1876,2.569556336595724e-07
1877,2.640916321183795e-07
1878,2.699472734235542e-07
1879,2.058842643037906e-07
1880,1.7905791160899298e-07
1881,1.6873468577927042e-07
1882,2.509080232471206e-07
1883,2.995366603641969e-07
1884,2.4096193840250635e-07
1885,3.1196876904004966e-07
1886,2.1360965263284015e-07
1887,2.2002475930094079e-07
1888,2.669398799781675e-07
1889,2.2115932551969308e-07
1890,2.0187509974789464e-07
1891,2.7026693416587477e-07
1892,2.5199419440014026e-07
1893,2.019960607668736e-07
1894,3.459545077078019e-07
1895,3.1657912380467224e-07
1896,2.305738355801168e-07
1897,2.3831258211259865e-07
1898,1.969107437105322e-07
1899,3.709005138574639e-07
1900,2.149096012260543e-07
1901,2.492577539925378e-07
1902,1.9002798801182053e-07
1903,2.570504911147964e-07
1904,3.423636343313774e-07
1905,2.8332568291489224e-07
