year,les_DET âmes_NOUN,les_DET ames_NOUN,les_DET femmes_NOUN
1800,2.260654270003215e-06,9.3727544183686e-06,5.538445839192718e-05
1801,1.0834380965718537e-06,1.0943914865890747e-05,7.009963428572519e-05
1802,2.10804543598897e-06,9.41459333603234e-06,6.029412816133117e-05
1803,2.1999826884666618e-06,7.251361406446222e-06,6.569717879756354e-05
1804,1.9107407780438734e-06,1.0737720697262532e-05,6.946642770344624e-05
1805,2.126472580243899e-06,7.772427629282319e-06,5.621506352326833e-05
1806,3.287984441158187e-06,6.636483860233966e-06,5.213803979131626e-05
1807,1.7565712795430954e-06,9.221287797345212e-06,5.7181095144187566e-05
1808,2.4700206182615148e-06,9.170801399172035e-06,5.630514169752132e-05
1809,1.746230537946758e-06,9.006754829954389e-06,5.845693340233993e-05
1810,2.8385738488623247e-06,1.285431617192856e-05,5.0130193812947255e-05
1811,2.747756241205934e-06,6.445694239687327e-06,5.250320282357279e-05
1812,4.691619153618376e-06,5.846520461538773e-06,5.790775685454719e-05
1813,4.333742737117063e-06,5.878016001048536e-06,6.634911096625729e-05
1814,6.340554563166734e-06,6.007006756902911e-06,4.8433656047564e-05
1815,5.715416790508243e-06,6.01480858186676e-06,5.038413564761868e-05
1816,8.011956538211962e-06,7.439508488360502e-06,4.656298006011639e-05
1817,6.168332305378499e-06,7.335987465162397e-06,5.445009173854487e-05
1818,5.791308097968795e-06,7.680814652522017e-06,5.3266205213731155e-05
1819,8.46612340410502e-06,4.41679306217857e-06,4.974610965291504e-05
1820,9.497931841906393e-06,7.771358505159753e-06,5.7437327996012755e-05
1821,1.0321033528271073e-05,7.467119041315584e-06,4.9289690650766715e-05
1822,8.111725890103116e-06,6.7733062394381705e-06,4.7677819566160906e-05
1823,6.394098349460364e-06,7.259821962812829e-06,4.75278175144922e-05
1824,6.837101466317108e-06,5.603408302690127e-06,4.843992428504862e-05
1825,8.307935445373005e-06,6.273878066398453e-06,5.3857611419516616e-05
1826,6.4694642958329496e-06,5.2416313519598745e-06,4.76820214316831e-05
1827,5.373670234121164e-06,5.338644690766614e-06,4.4255813008931e-05
1828,7.527707424515029e-06,5.575841877658583e-06,4.851688845519675e-05
1829,5.432821865269943e-06,5.948069716432691e-06,4.648890626413049e-05
1830,6.3048926222109e-06,6.208873529089942e-06,4.99402585774078e-05
1831,5.578533560424148e-06,6.780615677826063e-06,4.619050832843641e-05
1832,5.532404429686721e-06,5.56217023650607e-06,4.8553646593063604e-05
1833,6.552858735631162e-06,6.932801867365335e-06,5.6756302910798695e-05
1834,6.7124612996849464e-06,6.377351707165246e-06,5.181971391721163e-05
1835,6.411986134935432e-06,8.089478690465057e-06,5.2301023970358074e-05
1836,8.232247182604624e-06,8.249720887754108e-06,5.010117729398189e-05
1837,8.333466126941858e-06,4.468357631459696e-06,4.993817356080399e-05
1838,8.194448696485779e-06,4.241141802641124e-06,5.010341692468501e-05
1839,8.58343406662243e-06,3.617389163768081e-06,4.497685722526512e-05
1840,1.1971830019774643e-05,2.290540136229424e-06,4.660828426494845e-05
1841,1.2319748520894791e-05,2.8584283064958527e-06,4.7464548970310716e-05
1842,1.3415188789167587e-05,3.007986017600217e-06,5.00993346577161e-05
1843,1.4910815991697746e-05,2.3533133464148648e-06,4.68766543235688e-05
1844,1.524283220533107e-05,2.3617279802934377e-06,4.764729737871676e-05
1845,1.679592833170318e-05,1.6271944369705693e-06,4.6023487811908126e-05
1846,1.613851753745621e-05,1.5807153441738109e-06,4.6261099214461865e-05
1847,1.2582390866100468e-05,1.2808905776040547e-06,4.18605845879938e-05
1848,1.2601230650943762e-05,2.5438991454462823e-06,4.481349424168002e-05
1849,1.4105907212069724e-05,1.4647217341234864e-06,3.792606958086253e-05
1850,1.3706304400784575e-05,1.6605884765041878e-06,3.938160762118059e-05
1851,1.4052036760858755e-05,1.2563506874840868e-06,4.2952615785907255e-05
1852,1.490654500457822e-05,1.9505593726876214e-06,3.963945482610143e-05
1853,1.6800238427094882e-05,7.793371121778137e-07,4.754971632792149e-05
