year,trois_DET hôtes_NOUN,trois_DET fautes_NOUN
1800,0.0,3.144164395507687e-08
1801,0.0,7.143547975374531e-09
1802,0.0,4.4756802708434407e-08
1803,0.0,2.7304748684287006e-08
1804,0.0,6.673997887673977e-08
1805,1.7057265822018053e-08,3.980028751016107e-08
1806,0.0,5.4751712497136396e-08
1807,0.0,4.839823830593559e-08
1808,0.0,2.7192887941396293e-08
1809,0.0,8.810219043198231e-08
1810,9.360507036149102e-09,5.616304221689461e-08
1811,0.0,5.0141535368197765e-08
1812,0.0,3.467370746079723e-08
1813,0.0,1.7254450312975678e-08
1814,0.0,3.776012391654149e-08
1815,0.0,3.506390555685357e-08
1816,0.0,2.3176038865813098e-08
1817,0.0,5.4490570278176165e-08
1818,0.0,5.364529798157491e-08
1819,1.035105001712111e-09,6.314140676977331e-08
1820,0.0,7.238553223487543e-08
1821,1.97229765852569e-09,6.804427243878308e-08
1822,0.0,6.717162648328667e-08
1823,0.0,6.720227219148e-08
1824,0.0,2.6947560627377243e-08
1825,3.258013947515792e-08,3.522177394188475e-08
1826,2.2019960965735663e-08,4.051672952698482e-08
1827,2.7651818612639545e-09,7.558164227816633e-08
1828,0.0,6.787502826455238e-08
1829,2.571952872898464e-09,5.915491518848626e-08
1830,0.0,4.070366022013161e-08
1831,0.0,5.612834086399232e-08
1832,0.0,4.870789127586761e-08
1833,0.0,5.21263281427764e-08
1834,9.334530925997342e-10,4.4805748666831846e-08
1835,7.563087933704082e-10,1.5126175867408165e-08
1836,1.3441500135158435e-09,6.653542783396915e-08
1837,3.2006298056330706e-08,5.1488392993626064e-08
1838,6.312161904276081e-09,3.7241754569095065e-08
1839,5.5931801412612e-09,1.8876983531868063e-08
1840,1.9746035029299946e-08,2.993753511759678e-08
1841,3.852329122366882e-09,5.8426992577409465e-08
1842,3.3541325272778977e-09,3.6224632182779715e-08
1843,2.3627644840651385e-09,4.1939067330076796e-08
1844,2.7991662321369404e-08,2.9089374464774664e-08
1845,2.7901139176833567e-09,3.627148137397285e-08
