year,suis_VERB in_ADJ,suis_VERB fine_ADJ
1800,1.2576657937302116e-08,0.0
1801,1.4287095950749062e-08,0.0
1802,8.951360541686881e-09,0.0
1803,5.851017448321727e-09,1.950339223455444e-09
1804,7.4155526164076946e-09,0.0
1805,2.842877711017877e-09,0.0
1806,1.152667650217154e-08,0.0
1807,1.9928686256776018e-08,0.0
1808,2.2660739951163578e-09,0.0
1809,0.0,0.0
1810,1.4040760554223652e-08,7.020380277111826e-09
1811,2.0056614147279106e-08,2.2563691359778204e-08
1812,8.00162425207418e-09,0.0
1813,2.8757416448144113e-09,0.0
1814,2.8320094713762956e-08,0.0
1815,8.091670444798638e-09,0.0
1816,4.8669683394564345e-08,0.0
1817,7.784366928831332e-09,3.113746815941454e-09
1818,1.3113295338484932e-08,0.0
1819,8.280840013696888e-09,0.0
1820,8.306536791735653e-09,4.746592452420373e-09
1821,1.2819934447350079e-08,1.4792232327920374e-08
1822,1.0025615893027862e-08,4.010246357211145e-09
1823,1.4824030003524058e-08,0.0
1824,9.263223965660927e-09,8.421112696055388e-10
1825,6.163809906922779e-09,2.641632912414593e-09
1826,4.403992281964975e-09,1.7615968683770689e-09
1827,1.1982455028203276e-08,0.0
1828,1.0089530988466322e-08,0.0
1829,1.2859763920403111e-08,2.571952872898464e-09
1830,1.0436835395921662e-08,1.0436835840010872e-09
1831,4.677361609140007e-09,0.0
1832,1.3529969367098715e-09,1.3529969367098715e-09
1833,2.3167257001688313e-09,0.0
1834,7.467624740797874e-09,0.0
1835,1.2100940693926532e-08,0.0
1836,9.409050427677812e-09,4.032449929525228e-09
1837,2.0177884252348122e-08,2.7831563720326358e-09
1838,1.009945904684173e-08,3.787297142565649e-09
1839,1.3982949909063791e-08,0.0
1840,7.0066574764382494e-09,0.0
1841,1.0914932957462042e-08,0.0
1842,1.2745703159566801e-08,0.0
1843,2.3627643841450663e-08,0.0
1844,9.330554107123135e-09,0.0
1845,1.562463758375543e-08,0.0
1846,4.6836010625384006e-09,0.0
1847,9.168480197274675e-09,0.0
1848,8.84974404868899e-09,0.0
1849,5.02764896381791e-09,0.0
1850,9.504594444820214e-09,0.0
1851,1.6768540334055615e-08,0.0
1852,9.765818376195057e-09,0.0
1853,1.0749477752369785e-08,1.7915795513800958e-09
1854,7.79349651480743e-09,2.0782657816909023e-09
1855,1.326734277995456e-08,0.0
1856,1.7602443946884705e-08,1.5531567143511893e-09
1857,1.0251168802710708e-08,0.0
1858,9.787352261980686e-09,6.8511463169329545e-09
1859,1.2221216039165483e-08,1.018434669930457e-09
1860,6.408057640072684e-09,0.0
1861,7.545541969022906e-09,1.4147891747029462e-09
1862,1.1746764450037972e-08,9.035972525772706e-10
1863,1.5982786649715308e-08,2.9967726078439227e-09
1864,2.1096802527154068e-08,0.0
1865,1.1767110841276462e-08,1.882737743486018e-09
1866,5.838735717134114e-09,4.865612912574591e-10
1867,1.0190904120577216e-08,1.455843445796745e-09
1868,6.421836395986702e-09,4.93987406535723e-10
1869,4.395167341186834e-09,3.4184632902167778e-09
