year,pas_ADV utile_ADJ,pas_ADV futile_ADJ
1800,4.684805219312693e-07,3.144164484325529e-09
1801,5.286225359668606e-07,0.0
1802,5.236545916886826e-07,0.0
1803,3.4325969977544446e-07,1.950339223455444e-09
1804,8.824507631288725e-07,1.9774807569206132e-08
1805,5.5151826927613e-07,0.0
1806,2.9104859322615084e-07,0.0
1807,3.9003285223770945e-07,0.0
1808,4.2148977286160516e-07,0.0
1809,3.388545906091167e-07,2.4849335034105025e-08
1810,4.3058332721557235e-07,0.0
1811,2.933279859007598e-07,1.504245972228091e-08
1812,4.107500615191384e-07,2.1337665856435706e-08
1813,3.36461766892171e-07,2.8757416448144113e-09
1814,5.852819526808162e-07,3.1466771410748606e-09
1815,3.4794183534359036e-07,2.697223555614414e-09
1816,4.496151575494878e-07,0.0
1817,4.4993640813117963e-07,0.0
1818,3.8505402244481957e-07,9.536941902865692e-09
1819,4.285334682663233e-07,2.070210003424222e-09
1820,4.568595102227846e-07,3.5599443393152796e-09
1821,3.224706688342849e-07,1.97229765852569e-09
1822,3.829785271136643e-07,0.0
1823,3.834482527054206e-07,9.882686891060644e-10
1824,3.924238569652516e-07,0.0
1825,3.5045664503741136e-07,0.0
1826,3.5936577091888466e-07,3.5231937367541377e-09
1827,3.871254818932357e-07,0.0
1828,4.824630650546169e-07,6.420610709767516e-09
1829,4.3894661416743475e-07,6.858540846366168e-09
1830,3.3189138548550545e-07,1.0436835840010872e-09
1831,4.864456286668428e-07,3.1182413096075834e-08
1832,4.410769918195001e-07,2.705993873419743e-09
1833,4.4828641421190696e-07,1.1583628500844156e-09
1834,4.7419416659977287e-07,0.0
1835,3.8647380051770597e-07,8.31939672707449e-09
1836,4.3550460304686567e-07,2.016224964762614e-09
1837,3.9938294094099547e-07,0.0
1838,4.203899948151957e-07,6.312161904276081e-10
1839,4.537467361842573e-07,6.9914751765765e-10
1840,4.3759760615103005e-07,1.9109065441114126e-09
1841,5.09149515437457e-07,0.0
1842,4.99765747008496e-07,4.024959032733477e-09
1843,5.493427579494892e-07,4.7255288571079745e-09
1844,5.911180664952553e-07,1.097712254427563e-09
1845,5.758795396104688e-07,6.696273757711424e-09
1846,5.09927076564054e-07,1.1709002656346001e-09
1847,6.234566285456822e-07,3.775256551818984e-09
1848,6.741896072526288e-07,8.045221711050488e-10
1849,6.133731744739634e-07,0.0
1850,6.836518764430366e-07,7.467895635215882e-09
1851,6.223708624020219e-07,2.579775504329973e-09
1852,5.573027124228247e-07,1.9531636308300904e-09
1853,5.930128281761426e-07,1.1943863675867306e-09
1854,6.733581017215329e-07,0.0
1855,5.375927116801904e-07,5.306937111981824e-10
1856,6.259221549953509e-07,3.6240324075009767e-09
1857,5.428237841442751e-07,1.2203773103180993e-08
1858,5.035592494095908e-07,3.4255731584664773e-09
1859,5.183832740840444e-07,3.5645213447565993e-09
1860,6.165466857055435e-07,3.661747127736703e-09
1861,7.6681573091264e-07,1.4147891747029462e-09
1862,6.587223992937652e-07,3.162590411776023e-09
1863,6.058475037207245e-07,1.39849385405455e-08
1864,6.132457315288775e-07,6.712618905169165e-09
1865,5.954158268650644e-07,1.882737743486018e-09
1866,6.631830160586105e-07,1.4596839292835284e-09
1867,7.997433613127214e-07,4.85281148598915e-10
1868,7.399931405416282e-07,1.975949626142892e-09
1869,7.906417636149854e-07,4.883519366671862e-09
1870,8.784562623986858e-07,1.2614907340946502e-08
1871,8.996137239591917e-07,5.3105884134652115e-09
1872,8.563032452002517e-07,3.628403577593531e-09
1873,9.170558996629552e-07,1.0176207432266438e-08
1874,9.828231668507215e-07,5.974609140757536e-10
1875,8.038745704652683e-07,1.716458086775674e-09
1876,7.56961071601836e-07,3.02300739996042e-09
1877,8.788623517830274e-07,1.1751150275074451e-08
1878,8.110496310109738e-07,1.2078177347163432e-09
1879,8.381994121009484e-07,6.109325489944695e-09
