year,actions_NOUN in_ADJ,actions_NOUN fines_ADJ
1800,3.144164484325529e-09,0.0
1801,0.0,0.0
1802,2.2378401354217203e-09,0.0
1803,5.851017448321727e-09,0.0
1804,0.0,0.0
1805,5.685755422035754e-09,0.0
1806,1.729001475325731e-08,0.0
1807,2.8469550272802735e-08,0.0
1808,4.5321479902327155e-09,0.0
1809,9.036122072814123e-09,0.0
1810,2.3401267590372754e-09,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,2.8757416448144113e-09,0.0
1814,0.0,0.0
1815,1.3486118000116676e-08,0.0
1816,1.3905623319487859e-08,0.0
1817,4.670620334934483e-09,0.0
1818,5.960588467246453e-09,0.0
1819,5.175524897538253e-09,0.0
1820,4.746592452420373e-09,0.0
1821,2.9584463767662328e-09,0.0
1822,4.010246357211145e-09,0.0
1823,4.941343334508019e-09,0.0
1824,2.5263338088166165e-08,0.0
1825,0.0,0.0
1826,5.989429041619587e-08,0.0
1827,5.530363722527909e-09,0.0
1828,6.420610987323272e-09,0.0
1829,2.4004892296147773e-08,0.0
1830,6.262101504006523e-09,0.0
1831,0.0,0.0
1832,1.6235963684607668e-08,0.0
1833,1.1583628500844156e-09,0.0
1834,6.347480763224667e-08,0.0
1835,2.117664621437143e-08,0.0
1836,4.099657502365517e-08,0.0
1837,1.1828414692161004e-08,0.0
1838,1.64116205070286e-08,0.0
1839,3.0762491332048114e-08,0.0
1840,5.7327198987877637e-08,0.0
1841,4.044945711711989e-08,0.0
1842,6.708265054555795e-09,0.0
1843,5.139012604349347e-08,0.0
1844,1.7563395404707194e-08,0.0
1845,2.857076837337047e-07,0.0
1846,2.558417147024983e-07,0.0
1847,1.822909601045808e-07,0.0
1848,6.757986170669028e-08,0.0
1849,2.0864742600323893e-07,0.0
1850,2.9192683825840504e-08,0.0
1851,2.502382248081858e-07,0.0
1852,3.971432604998881e-08,0.0
1853,3.523439673358553e-08,0.0
1854,7.273930568985065e-08,0.0
1855,5.625353338700734e-08,1.0613874223963649e-09
1856,8.801221973442352e-09,0.0
1857,7.566339288445079e-08,0.0
1858,5.970284888690003e-08,0.0
1859,1.0337112033020901e-07,0.0
1860,2.197048232233101e-08,0.0
1861,2.6880993431177558e-08,0.0
1862,2.1686334505943705e-08,0.0
1863,2.996772541230541e-08,0.0
1864,6.616724279595587e-08,0.0
1865,7.530950973944073e-09,0.0
1866,3.0166801057163184e-07,0.0
1867,2.329349513274792e-08,0.0
1868,3.013323279787983e-08,0.0
1869,1.3673853160867111e-08,0.0
1870,2.2936195165357276e-07,0.0
1871,5.3105885911008954e-08,0.0
1872,6.591599799321557e-08,0.0
1873,5.806424230314633e-08,0.0
1874,9.559374625212058e-09,0.0
1875,6.007603303714859e-08,0.0
1876,1.0943286499198734e-07,0.0
1877,2.2883819505992165e-08,0.0
1878,6.522215789672714e-08,0.0
1879,4.215434445953292e-08,0.0
1880,1.2899870593940932e-07,0.0
1881,1.0946836592751197e-07,0.0
1882,5.92329274518022e-08,6.655385131892899e-10
1883,1.7504569171933326e-07,0.0
1884,4.4891540262881335e-08,0.0
1885,8.83052071465329e-08,0.0
1886,2.710454838350529e-08,0.0
1887,1.286198201277955e-07,0.0
1888,8.179393073959318e-08,0.0
1889,3.7590821788668904e-08,0.0
1890,5.964491656129667e-08,0.0
1891,1.083617403585535e-07,0.0
1892,1.0656471260972467e-08,0.0
1893,4.865149039190442e-08,0.0
1894,6.301539201558626e-08,0.0
1895,3.4907965185126955e-08,0.0
1896,5.661147717272996e-08,0.0
1897,2.971623980219107e-08,0.0
1898,6.280774034195247e-08,0.0
1899,1.6582735185011188e-08,0.0
1900,3.2703635355346705e-08,0.0
1901,2.3360928924631708e-07,0.0
1902,2.7006560987530293e-08,4.910283846193408e-10
1903,2.484101346844625e-08,0.0
1904,6.557042553367864e-08,0.0
1905,1.857873321853276e-08,0.0
1906,7.716277083957834e-08,0.0
1907,3.4971336049238744e-08,1.028568674676933e-09
1908,3.732655740051882e-08,0.0
