year,pierres_NOUN in_ADJ,pierres_NOUN fines_ADJ
1800,0.0,3.898764009413469e-07
1801,0.0,5.381472583110281e-07
1802,2.2378401354217203e-09,1.0003145689552184e-06
1803,1.950339223455444e-09,3.978691900385911e-07
1804,0.0,6.995338246440497e-07
1805,0.0,6.595476123028021e-07
1806,0.0,1.4235445364718657e-06
1807,8.540865792383556e-09,4.75441491065709e-07
1808,0.0,1.463883811059219e-06
1809,0.0,6.393056199982539e-07
1810,0.0,8.494660250768504e-07
1811,2.5070767684098882e-09,1.5017389642935086e-06
1812,0.0,7.574871609961065e-07
1813,0.0,1.4810070041448853e-06
1814,0.0,6.733888944232547e-07
1815,2.697223555614414e-09,5.340502431394611e-07
1816,0.0,3.824046448386298e-07
1817,0.0,4.4682266964191086e-07
1818,0.0,3.707486122550563e-07
1819,0.0,3.519356982506494e-07
1820,0.0,4.5329958542339455e-07
1821,0.0,7.830021764299033e-07
1822,0.0,5.614344757987055e-07
1823,0.0,4.990756972134136e-07
1824,8.421112696055388e-10,4.4042420466183785e-07
1825,8.805443041381977e-10,4.244223408278458e-07
1826,0.0,7.99765003112185e-07
1827,0.0,4.885154563094574e-07
1828,3.668920500743411e-09,4.2834645741507416e-07
1829,0.0,4.17513666139957e-07
1830,2.0873671680021744e-09,8.829563116208305e-07
1831,3.1182412207897414e-09,5.597242818122794e-07
1832,0.0,5.181978335322412e-07
1833,1.1583628500844156e-09,5.664394054916144e-07
1834,9.334530925997342e-10,3.743146794743524e-07
1835,7.563087933704082e-10,4.4470955629094533e-07
1836,0.0,3.2394016491466004e-07
1837,0.0,4.105155713141073e-07
1838,6.312161904276081e-10,4.7025607052830765e-07
1839,0.0,4.942973115262816e-07
1840,0.0,3.1466262395696276e-07
1841,0.0,6.240773378074493e-07
1842,6.708265054555795e-10,4.2865814720016715e-07
1843,0.0,4.7432497313204536e-07
1844,0.0,5.384278527476027e-07
1845,1.1160455892778032e-09,3.872678062677437e-07
1846,2.3418005312692003e-09,3.787862343784809e-07
1847,0.0,5.528054485282041e-07
1848,8.045221711050488e-10,4.6742737980220994e-07
1849,0.0,3.452318948493627e-07
1850,1.3577992064028876e-09,7.420372662991781e-07
1851,6.449438760824933e-10,6.010876858475456e-07
1852,6.510545436100301e-10,5.553495003862707e-07
1853,5.971931837933653e-10,5.547924615267874e-07
1854,0.0,4.805989637368668e-07
1855,0.0,6.914938985858043e-07
1856,0.0,7.491392750580417e-07
1857,4.881509085841174e-10,6.921979909257914e-07
1858,9.787352039936081e-10,6.831571452980967e-07
1859,5.092173349652285e-10,4.3079787626076893e-07
1860,0.0,6.4812926492408e-07
1861,0.0,4.1924917393298955e-07
1862,0.0,6.501382268098155e-07
1863,0.0,6.078453691493735e-07
1864,0.0,1.5597250138110752e-06
1865,4.706844358715045e-10,9.446636708432266e-07
1866,4.865612912574591e-10,4.948328324871909e-07
1867,0.0,6.565853869489047e-07
1868,4.93987406535723e-10,6.821965952141795e-07
1869,4.883519144627257e-10,5.020257791699123e-07
1870,0.0,5.980612951539399e-07
1871,1.0621177271019633e-09,4.5564851491874947e-07
1872,0.0,9.699931768913927e-07
1873,1.1972008939764578e-09,9.679369208370758e-07
1874,1.1949218281515073e-09,7.635550467455232e-07
1875,1.1443054281912168e-09,6.44243973280112e-07
1876,0.0,6.559926042370989e-07
1877,6.184815992682502e-10,8.003151914515172e-07
1878,1.2078177347163432e-09,7.482431101379916e-07
1879,0.0,6.671383134815301e-07
1880,0.0,6.584710225965296e-07
1881,6.972507571312292e-10,7.662785819206874e-07
1882,0.0,4.918329636893759e-07
1883,1.2638677882037541e-09,6.534196490548538e-07
1884,6.601696966868076e-10,6.50267139690186e-07
1885,1.933690763067375e-09,7.083753841286011e-07
1886,6.453463874400711e-10,6.530905189983116e-07
1887,0.0,4.400495203782384e-07
1888,0.0,4.799845210179399e-07
1889,0.0,4.291618642682238e-07
1890,6.554386478008212e-10,3.690119617094645e-07
1891,1.2748440081367107e-09,3.8372803379260745e-07
