year,aux_ADP acteurs_NOUN,aux_ADP facteurs_NOUN
1800,4.4332719539852405e-07,7.860410988769218e-08
1801,4.0480102825313224e-07,3.095537337571841e-08
1802,4.6770858830313955e-07,8.503792514602537e-08
1803,4.3492565282576834e-07,2.0673596168307995e-07
1804,6.575123734364752e-07,1.038177401824214e-07
1805,4.09374393939288e-07,9.665784261869703e-08
1806,4.6971206302259816e-07,6.339671898558663e-08
1807,4.014206638203177e-07,6.263301344233696e-08
1808,5.506559546120116e-07,1.0423940466353088e-07
1809,6.009021262798342e-07,4.9698672066611493e-08
1810,7.722418331468361e-07,1.0296557917399696e-07
1811,5.791347348349518e-07,4.011322829455821e-08
1812,6.107906642682792e-07,6.668020802180763e-08
1813,8.109591362881474e-07,5.463909014125079e-08
1814,4.814415888176882e-07,2.8320094713762956e-08
1815,4.045835453325708e-07,1.5104451733805035e-07
1816,2.897004947044479e-07,8.343373991692715e-08
1817,4.623913980594807e-07,3.89218364205135e-08
1818,3.6955648852199374e-07,5.00689456561787e-08
1819,4.3577921360338223e-07,2.4842520929269085e-08
1820,3.5480778137753077e-07,9.137190204455692e-08
1821,5.039220241087605e-07,2.6626017723963002e-08
1822,5.82488269174064e-07,2.7069162911175226e-08
1823,5.593601031250728e-07,4.348382276475604e-08
1824,5.701093073184893e-07,3.536867154707579e-08
1825,6.56005511245894e-07,4.6668848341369085e-08
1826,4.2366403363303107e-07,1.3652375230321923e-07
1827,4.009513645542029e-07,9.678137047330893e-08
1828,4.10919085425121e-07,9.172300963200541e-08
1829,5.546845045500959e-07,6.687077558353849e-08
1830,4.5922078584226256e-07,7.723258477199124e-08
1831,3.2897443702495366e-07,5.9246584527272717e-08
1832,6.034366606399999e-07,4.329590197471589e-08
1833,4.0542698798162746e-07,4.40177885252524e-08
1834,4.032517324503715e-07,4.387229424196448e-08
1835,4.3185232811993046e-07,5.8235777089521434e-08
1836,3.857710453303298e-07,5.443807538085821e-08
1837,4.049492474678118e-07,5.357576071673975e-08
1838,3.162393227285065e-07,4.5447563934430946e-08
1839,3.027308821401675e-07,7.131304613494649e-08
1840,3.541546789165295e-07,1.1083258044664035e-07
1841,2.709471402795316e-07,5.393260726904714e-08
1842,2.2942266753034346e-07,8.989075039878003e-08
1843,3.455542980645987e-07,3.2488010504039266e-08
1844,4.2810776790247473e-07,7.848642269436823e-08
1845,2.706410668906756e-07,9.709596326956671e-08
1846,2.845287667696539e-07,6.849766354122266e-08
1847,2.8368356197461253e-07,1.537068783363793e-07
1848,2.815827713220642e-07,6.275273278788518e-08
1849,2.6227567673231533e-07,1.0222886004385145e-07
1850,2.3625706546681613e-07,7.739455298860776e-08
1851,2.347595682294923e-07,1.0383596560359365e-07
1852,4.6615505766567367e-07,2.1354588586319778e-07
1853,4.699910221006576e-07,1.1048074100017402e-07
1854,2.9771157983304875e-07,1.0703068653583614e-07
1855,3.6883213283545047e-07,6.58060237412883e-08
1856,3.479071040146664e-07,1.1700447544171766e-07
1857,2.836156909324927e-07,4.1004675210842834e-08
1858,3.024291856945638e-07,5.5787906683146815e-08
1859,4.145029208757478e-07,7.587338046732839e-08
1860,3.1262166544365755e-07,5.813023662426531e-08
1861,3.7633390093105845e-07,1.1318312687080834e-07
1862,3.7815544828845304e-07,6.325181090005572e-08
1863,4.160519040397048e-07,7.991393202733121e-08
1864,3.413846343391924e-07,1.294576605914699e-07
1865,3.252429507938359e-07,6.966129717511649e-08
1866,2.9096364073666336e-07,9.050040006286508e-08
1867,3.5571108014664787e-07,9.026229186304136e-08
1868,2.8947661689926463e-07,9.929146671527889e-08
1869,3.8237953958741855e-07,1.5480755166663585e-07
1870,3.302812103811448e-07,8.543732521459901e-08
1871,2.474734230872855e-07,8.178306387662815e-08
1872,2.685018785086868e-07,8.284855113060985e-08
1873,3.0109603699202125e-07,7.901526205555953e-08
1874,3.3039589197869645e-07,1.0395820132513833e-07
1875,2.929421896169515e-07,1.2186852416107286e-07
1876,3.7545751752077194e-07,1.3482612559734264e-07
1877,3.0924078942007327e-07,9.7101612084316e-08
1878,4.716528394510533e-07,1.1353486684129166e-07
1879,3.775562902319507e-07,9.59164062619422e-08
1880,6.244564474400249e-07,1.3990904790261993e-07
1881,3.24918858041201e-07,1.464226593861362e-07
1882,3.460800144239329e-07,1.3377324759034082e-07
1883,3.48195584365385e-07,1.1058843496503101e-07
1884,2.9377551413745095e-07,1.4523732705384873e-07
1885,4.1961087049458e-07,1.19244257190676e-07
1886,3.96242683109449e-07,1.1680769673727553e-07
1887,3.708429119342327e-07,9.597519184945114e-08
1888,4.096037002909725e-07,1.2237386215474544e-07
1889,3.8593242379647563e-07,1.7103823668485063e-07
1890,3.1854318649493507e-07,1.9532071116046268e-07
1891,3.148864777813287e-07,1.1983533454440476e-07
1892,3.504098344819795e-07,1.8554796765712922e-07
1893,2.611168667954189e-07,3.0730498701281306e-07
1894,2.5647264578765316e-07,1.5501787231642083e-07
1895,3.087549202973605e-07,2.3292038520139613e-07
1896,3.0959401442487433e-07,2.2290769624566664e-07
1897,3.047371137654409e-07,1.8820285285769955e-07
1898,2.812202524182794e-07,2.665085133690681e-07
1899,3.1451921245206904e-07,3.1064989514106855e-07
1900,3.8309971728267556e-07,3.13020506403916e-07
1901,3.6941563053005666e-07,2.1460757837488131e-07
1902,2.8479647085077886e-07,2.818502853330074e-07
1903,2.6785093609760224e-07,2.9971223147740034e-07
1904,3.025913883902831e-07,2.574445332470532e-07
1905,2.931311087195354e-07,3.483512305280101e-07
