year,des_DET iles_NOUN,des_DET fils_NOUN
1800,3.584347454399506e-07,2.3927091348241447e-06
1801,3.0002900719416914e-07,2.52405354927987e-06
1802,2.7077865638602816e-07,2.595894642354324e-06
1803,4.1542226791868586e-07,2.004948610689894e-06
1804,3.4605912624385837e-07,2.4224140275919126e-06
1805,4.4633179796527145e-07,2.1321583716371606e-06
1806,1.6425513926776603e-07,2.3572054459464198e-06
1807,2.135216305987342e-07,2.2946457249872765e-06
1808,3.489753863661349e-07,1.4842784992197267e-06
1809,2.756017205562955e-07,1.6829777820248637e-06
1810,2.363527977777835e-07,1.631068357710319e-06
1811,3.6854028939714567e-07,1.9555198491616466e-06
1812,4.267533113555544e-07,2.299133470273773e-06
1813,2.4156230171712423e-07,1.99576466286544e-06
1814,1.7621391412703247e-07,1.4537648027612704e-06
1815,3.2096960111971384e-07,1.5428118249616318e-06
1816,4.959672210702593e-07,2.8854167553049592e-06
1817,2.522134935345477e-07,1.9211817914310814e-06
1818,2.813397803613782e-07,1.714265344787691e-06
1819,2.546358294219786e-07,1.4284449534329724e-06
1820,2.7530236756945214e-07,2.077820944634823e-06
1821,2.0709126091755792e-07,1.8490289974693042e-06
1822,3.398683645627898e-07,1.5309115610762092e-06
1823,4.882047340837303e-07,1.8974758972944983e-06
1824,3.023179395711395e-07,2.0564357328112237e-06
1825,2.888185297589274e-07,1.6615870990221993e-06
1826,3.576041787134443e-07,1.735172865835466e-06
1827,2.5624019173164925e-07,1.8747933978602305e-06
1828,3.4029238227262226e-07,1.7418199504959375e-06
1829,4.2265756683423916e-07,1.7309242821283988e-06
1830,2.974498249930235e-07,1.846276205696995e-06
1831,2.946737971409874e-07,1.922395725273418e-06
1832,4.383709959476789e-07,2.0294953060329135e-06
1833,5.189465461796772e-07,1.7410193606792745e-06
1834,3.4071037724459075e-07,2.192681328949675e-06
1835,4.0462519734774105e-07,1.8378303821009467e-06
1836,4.509623268145191e-07,1.7191678480799055e-06
1837,5.114049805854393e-07,2.053969375026554e-06
1838,4.1597145616911746e-07,2.10384351362336e-06
1839,6.35525085890265e-07,2.4609992834712102e-06
1840,4.4396729736995155e-07,2.14403724640988e-06
1841,4.6741593262566994e-07,2.088604517780368e-06
1842,4.04508388118785e-07,1.8152565459672587e-06
1843,5.079943405927878e-07,1.91679258421118e-06
1844,4.544528633410039e-07,1.9599652389956645e-06
1845,4.871539065476327e-07,1.8933713619162518e-06
1846,4.1391324367978655e-07,1.9015419923107402e-06
1847,4.185141433410422e-07,2.0526609461057888e-06
1848,4.030656070574956e-07,1.775580422247458e-06
1849,5.354446133143398e-07,1.6222546790345405e-06
1850,4.1684435014843757e-07,2.0801483913146512e-06
1851,3.766472331800941e-07,1.9154832813228495e-06
1852,4.186280719853386e-07,2.2532997583368797e-06
