year,aux_ADP ânes_NOUN,aux_ADP anes_NOUN,aux_ADP fans_NOUN
1800,2.1065902444661333e-07,2.2009151834367913e-08,9.432493897065797e-09
1801,2.0478169915350009e-07,6.191074786165984e-08,4.7623651688866175e-09
1802,1.5217312920867698e-07,1.1189200677108602e-08,2.2378401354217203e-09
1803,1.560271414291492e-07,2.1453731013920674e-08,1.950339223455444e-09
1804,1.9527622896475805e-07,4.943701892301533e-09,2.4718509461507665e-09
1805,6.254330742194725e-08,5.685755422035754e-09,5.685755422035754e-09
1806,7.492339904047185e-08,1.4408345627714425e-08,8.645007376628655e-09
1807,2.44838133767189e-07,1.99286853685976e-08,8.540865792383556e-09
1808,1.2236799307174806e-07,6.798221985349073e-09,0.0
1809,1.7620438086396462e-07,3.1626427920983247e-08,1.129515236897305e-08
1810,7.488405628919281e-08,2.3401267590372754e-09,0.0
1811,2.908209069119039e-07,2.0056614147279106e-08,5.0141535368197765e-09
1812,1.0135391192989118e-07,1.8670457180292033e-08,2.6672082320544632e-09
1813,2.041776525629757e-07,1.4378708224072057e-08,0.0
1814,1.2901375612273114e-07,1.2586708120210233e-08,0.0
1815,6.203614333344376e-08,0.0,8.091670444798638e-09
1816,1.4832664874120383e-07,1.622322720606917e-08,0.0
1817,7.472992535895173e-08,8.562803732736768e-08,4.670620334934483e-09
1818,1.3113294983213564e-07,9.536942124910297e-09,1.1921177378582115e-09
1819,6.417651121637391e-08,1.2421260131567635e-08,2.070210003424222e-09
1820,1.4358441546846734e-07,1.1866481131050932e-09,1.1866481131050932e-09
1821,1.2425475404143072e-07,2.366757179128598e-08,9.86148829262845e-10
1822,6.616906489398389e-08,8.02049271442229e-09,2.0051231786055723e-09
1823,8.894418357385803e-08,1.1859224380295075e-08,9.882686891060644e-10
1824,9.263224143296611e-08,8.421112696055388e-10,0.0
1825,1.4440927031955653e-07,9.68598712347557e-09,1.7610886082763955e-09
1826,1.4621254251778737e-07,1.2331177856594877e-08,1.7615968683770689e-09
1827,7.18947319455765e-08,5.530363889061363e-09,2.7651818612639545e-09
1828,1.0456423638061096e-07,1.0089531543577834e-08,9.172301251858528e-10
1829,1.0459275046059702e-07,9.430493719264632e-09,1.714635211591542e-09
1830,9.810625556383457e-08,1.3567886592014133e-08,1.0436835840010872e-09
1831,9.822459645647541e-08,9.35472388441383e-09,3.1182412207897414e-09
1832,1.1094574858816486e-07,2.705993962237585e-08,1.3529969367098715e-09
1833,1.1931138033105526e-07,1.2741991017861665e-08,1.1583628500844156e-09
1834,8.961149688957448e-08,1.3068343074351674e-08,1.8669061851994684e-09
1835,1.4369867074037757e-07,1.2100940693926532e-08,7.563087933704082e-10
1836,6.51912728244497e-08,1.8146024682863526e-08,6.720750067579218e-10
1837,8.001574514082677e-08,7.653680356156656e-09,1.3915781860163179e-09
1838,1.0983161757849302e-07,1.2624323808552163e-08,6.312161904276081e-10
1839,7.2012191765225e-08,2.377101604444931e-08,0.0
1840,6.17859825524647e-08,3.821813254756279e-09,6.369688665408546e-10
1841,8.731946365969634e-08,1.733548105065097e-08,1.926164561183441e-09
1842,1.1269885646925104e-07,3.354132482868977e-08,6.708265054555795e-10
1843,7.560846171372759e-08,1.6539350722322155e-08,0.0
1844,7.299786375369877e-08,1.427025975164753e-08,5.488561272137815e-10
1845,5.970844085823046e-08,9.486387508861327e-09,5.580227946389016e-10
1846,6.791221807134207e-08,8.196301859442201e-09,5.854501328173001e-10
1847,9.707802917091612e-08,3.020205241455187e-08,5.393223645455691e-10
1848,1.0458788324285706e-07,1.3676876631230073e-08,8.045221711050488e-10
1849,5.781796375003978e-08,1.0055298149680425e-08,0.0
1850,8.757805147752151e-08,1.2899092460827433e-08,0.0
1851,8.126292527776968e-08,3.8696632564949596e-09,1.2898877521649865e-09
1852,6.575650957074686e-08,2.9948509450150596e-08,6.510545436100301e-10
1853,1.2063301824127848e-07,2.329053350180743e-08,0.0
1854,6.33871053423718e-08,9.87176262956524e-09,8.313063126763609e-09
1855,1.1728330662208464e-07,1.8043586180738203e-08,5.306937111981824e-10
1856,1.439258596747095e-07,1.0872097333525232e-08,0.0
1857,1.147154620184665e-07,6.834112553644189e-09,4.881509085841174e-10
1858,1.1549075651373641e-07,1.3212924920846802e-08,4.893676019968041e-10
1859,1.4665459957541316e-07,1.476730249194702e-08,5.092173349652285e-10
1860,6.636916793922865e-08,4.11946546319264e-09,0.0
1861,8.488734692946309e-08,1.2733101961703852e-08,4.715963730639317e-10
1862,9.216692120617154e-08,4.5179863183975044e-09,0.0
1863,1.0788380677695386e-07,5.9935452156878455e-09,9.989241434027463e-09
1864,9.973034309496143e-08,1.0548401374599337e-08,0.0
1865,9.366620190576214e-08,2.1651484438667268e-08,8.47231973466478e-09
1866,1.0315099530089356e-07,1.3623716599298064e-08,3.405929149824516e-09
1867,9.317398053099168e-08,3.591080321996287e-08,8.73506067478047e-09
1868,7.459210138449635e-08,7.409811209058148e-09,9.87974813071446e-10
1869,8.83916939642404e-08,1.3185501801515898e-08,4.883519144627257e-10
1870,7.97032768673489e-08,9.17447806614291e-09,5.734048791339319e-10
1871,1.083360103848463e-07,3.18635318130589e-09,0.0
1872,9.494322483760698e-08,1.148994488442412e-08,0.0
1873,7.302925553176465e-08,1.1373408159709442e-08,5.986004469882289e-10
1874,1.0634803970788198e-07,7.169530746864439e-09,0.0
1875,7.952922942422447e-08,8.58229043387837e-09,1.1443054281912168e-09
1876,8.1621202241422e-08,2.8416270225761764e-08,4.232210359944588e-09
1877,7.978412952525105e-08,6.80329748092845e-09,0.0
1878,7.790424660925055e-08,2.0532902322845104e-08,4.2273621270183526e-09
1879,9.347267848625052e-08,3.2379423919870476e-08,0.0
1880,9.370055664703614e-08,3.3372801411246655e-08,2.5671385017744797e-09
1881,7.321133210780317e-08,1.3945015531202642e-08,3.486253785656146e-09
1882,7.320923600673268e-08,1.3976308554930483e-08,0.0
1883,6.635305993540896e-08,1.7062215307284134e-08,4.423537092179686e-09
1884,7.790002598540013e-08,8.582206056928499e-09,7.2618666635548834e-09
1885,1.1022036972008209e-07,1.740321670107292e-08,6.445635691854079e-10
1886,8.002295004416737e-08,1.8069698515255084e-08,1.2906927748801422e-09
1887,7.442974236937516e-08,2.350412908747046e-08,4.57024718070187e-09
1888,6.530833474016617e-08,1.7119659911912777e-08,0.0
