year,quelques_DET acteurs_NOUN,quelques_DET facteurs_NOUN
1800,2.829747991484055e-08,6.288328968651058e-09
1801,1.2144031558136703e-07,7.143547975374531e-09
1802,6.937304419807333e-08,2.2378401354217203e-08
1803,5.655983770225248e-08,1.1702034896643454e-08
1804,1.3595179737535545e-07,1.730295728918918e-08
1805,7.675769619908124e-08,0.0
1806,1.729001475325731e-08,5.76333825108577e-09
1807,8.256170014320219e-08,1.4234775136401367e-08
1808,1.2916621905390002e-07,1.8128591960930862e-08
1809,1.1069249783446367e-07,1.129515236897305e-08
1810,2.2465216531486476e-07,0.0
1811,9.777599174753959e-08,2.0056614147279106e-08
1812,1.840373649031335e-07,0.0
1813,1.294083737946039e-07,0.0
1814,5.664018853934749e-08,0.0
1815,1.6183341911002458e-07,0.0
1816,3.9399266071882266e-08,4.6352077731626196e-09
1817,9.341240136961915e-08,7.784366928831332e-09
1818,7.98718851058311e-08,5.960588467246453e-09
1819,6.003609165361468e-08,1.6561680027393777e-08
1820,9.49318508247643e-08,7.119888678630559e-09
1821,1.4890846955495363e-07,8.875339574387908e-09
1822,1.4236374568099563e-07,3.0076847679083585e-09
1823,2.1643084835432091e-07,1.9765373782121287e-09
1824,1.456852487535798e-07,8.421112696055388e-10
1825,1.4352871957612479e-07,7.924898959288385e-09
1826,7.134467416847201e-08,6.1655889282974385e-09
1827,5.899054578151208e-08,1.2904182167261524e-08
1828,7.613009955775851e-08,0.0
1829,1.0545006734474782e-07,4.286587973467704e-09
1830,1.2419834938270924e-07,1.3567886147924924e-08
1831,6.54830669688522e-08,0.0
1832,1.4071168052964822e-07,1.8941957335982806e-08
1833,1.0772774539091756e-07,2.3167257001688313e-09
1834,7.467624918433557e-08,1.8669061851994684e-09
1835,3.781543966852041e-08,1.8151411040889798e-08
1836,4.8389400930659576e-08,1.7473950286728268e-08
1837,6.192522805648082e-08,0.0
1838,4.418513288584336e-08,3.787297142565649e-09
1839,7.900366849611373e-08,1.6080392573059044e-08
1840,3.439631796053888e-08,8.280595042986505e-09
1841,2.0545754431111618e-08,1.1556987367100646e-08
1842,4.494537586552383e-08,1.0733224087289273e-08
1843,5.02087451614841e-08,5.316219964246471e-09
1844,4.226192240608384e-08,4.9397050894128824e-09
1845,3.5155435007538927e-08,1.4508592383055685e-08
1846,4.976325929106906e-08,5.269050973311096e-09
1847,1.833696039454935e-08,1.0786447290911383e-08
1848,1.528592186161859e-08,1.4481398968868575e-08
1849,2.93279518448486e-08,2.6814127807028854e-08
1850,2.0366988096043315e-08,1.5614690873633208e-08
1851,1.6768541222234035e-08,5.159551008659946e-09
1852,6.315229095221753e-08,7.161599979710331e-09
1853,4.717826085354204e-08,1.3138250043454036e-08
1854,4.2604447969551984e-08,9.352196128631363e-09
1855,5.678422709820552e-08,2.0697054736729115e-08
1856,5.177189432714613e-08,1.5531568031690313e-08
1857,2.9777205146075403e-08,2.440754598431738e-09
1858,2.6425849952715907e-08,5.8724113904951025e-09
1859,4.6338776371612767e-08,6.110607797538137e-09
1860,5.034902184064549e-08,1.5562425459414442e-08
1861,4.951761845006786e-08,1.6977469208256935e-08
1862,3.6595690089402666e-08,1.3553958955192513e-08
1863,3.096664968893492e-08,1.0488703516831066e-08
1864,2.8768368132148225e-08,6.233146554457392e-09
1865,4.000817721561134e-08,1.2708480268130984e-08
1866,2.6274309838925092e-08,5.838735717134114e-09
1867,3.639608614491863e-08,1.358787216076962e-08
1868,2.4699369993719245e-08,1.8277533597732543e-08
1869,4.004485820718884e-08,1.1232093810598087e-08
1870,4.587238988662534e-08,1.3188312220080434e-08
1871,5.735435726350602e-08,1.2745412503178954e-08
1872,2.963196310545868e-08,1.269941218851045e-08
1873,5.5071241344961663e-08,8.3804060357906e-09
1874,3.704257833803126e-08,2.3898436563030145e-09
1875,6.122033968658513e-08,8.582291044501034e-09
1876,4.171750322967682e-08,1.3905833817773328e-08
1877,4.2675230460531566e-08,1.917292880015964e-08
1878,5.3747889694477635e-08,3.5026713030017476e-08
1879,4.3376208402889915e-08,1.2829582729523281e-08
1880,5.968596994421205e-08,2.0537107348062023e-08
1881,3.0679032869684875e-08,6.972507682334594e-09
1882,4.0597847528189845e-08,4.658769592325029e-09
1883,3.854796881697098e-08,1.3270612164717477e-08
1884,2.178559999066465e-08,4.621187876807653e-09
1885,6.832373955489857e-08,3.86738152613475e-09
1886,3.549405214187118e-08,1.3552274191752645e-08
1887,4.8966934618199787e-08,7.834709769838355e-09
1888,2.155808931370018e-08,1.7753721825997104e-08
1889,2.8193114953722898e-08,8.14467782106476e-09
1890,2.2940352284450682e-08,1.5075089287996946e-08
1891,3.6970476458009216e-08,2.358461337337303e-08
1892,3.698422434972315e-08,6.268512375839919e-09
1893,3.7566341593020525e-08,3.4487133593330555e-08
1894,2.6466464131402745e-08,1.1342770278588432e-08
1895,3.0694933483843556e-08,2.106515029076661e-08
1896,2.8305739530054552e-08,1.592197840238896e-08
1897,3.204692411440391e-08,2.214151106905149e-08
1898,2.093591255913907e-08,2.037007751365394e-08
1899,3.371822998587959e-08,8.844125432005967e-09
1900,4.152842603133422e-08,2.1283317774845045e-08
1901,2.1796081439706683e-08,1.732509080643041e-08
1902,1.9641135384773634e-08,1.718599307309887e-08
1903,3.186130115295782e-08,2.7001101576829e-08
1904,1.3974025492302644e-08,1.5048950530172078e-08
1905,2.6835946798087207e-08,4.0769997877720954e-08
1906,2.109115615489543e-08,4.372556716703002e-08
1907,2.3657079850636364e-08,3.75427564591746e-08
1908,5.549869586118916e-08,5.746325149047493e-08
1909,3.410609694665112e-08,4.565816469348505e-08
1910,2.672075316567657e-08,4.5425281203215206e-08
1911,4.096688022148243e-08,6.224837689750018e-08
1912,2.7088989495993587e-08,7.501566479106714e-08
1913,2.7045247041890264e-08,7.795394973975078e-08
1914,2.6117300322425763e-08,8.236994819554866e-08
1915,9.424609537234119e-09,1.2487608103128878e-07
1916,1.867868593130595e-08,1.395407662752035e-07
1917,7.676497215669542e-09,5.1542196066733936e-08
1918,2.2972752589112133e-09,7.925599554425844e-08
1919,3.498982437122322e-08,9.115769572520804e-08
1920,2.953170330499688e-08,1.3630016892918206e-07
1921,3.5591914304689e-08,1.2116396241879102e-07
1922,3.836526363265591e-08,1.1583358450195647e-07
1923,3.927900849021171e-08,8.38659937052455e-08
1924,5.9301473065431765e-08,8.766304837592998e-08
1925,4.5092530598367375e-08,1.2207977739819853e-07
1926,4.01260994431496e-08,9.808601753036328e-08
1927,4.4596900394822114e-08,1.2710116359393453e-07
1928,3.884853949642775e-08,1.2111603409081795e-07
1929,4.121950514246464e-08,1.3479891736167815e-07
1930,4.2014415502222846e-08,1.6175548767094483e-07
1931,3.193499864551086e-08,1.9617213364853114e-07
1932,3.1782656950696264e-08,1.9069593415466102e-07
1933,4.129438302413746e-08,2.5006043369302233e-07
1934,3.1152108448395666e-08,2.3364080625754013e-07
1935,2.8723881939640705e-08,2.573181028253657e-07
1936,2.424942913137329e-08,2.1945733541528512e-07
1937,2.3923124592428735e-08,2.417494693318645e-07
1938,3.630260181353151e-08,2.515251642520866e-07
1939,1.988226649984881e-08,2.171755149049659e-07
1940,2.282204625281281e-08,3.5247383411984856e-07
1941,3.24665290207804e-08,2.656352311447563e-07
1942,6.675266028821625e-08,2.791474762453561e-07
1943,7.258088219330716e-08,1.6548441195141095e-07
1944,9.639558484764166e-09,2.1207028133574113e-07
1945,5.010559256390934e-08,2.2002891331140972e-07
1946,3.619487198847082e-08,2.756378600921039e-07
1947,6.07964405485717e-08,2.7894838527942056e-07
1948,3.261566305923225e-08,2.804946994672264e-07
1949,3.2396128224476683e-08,3.0236385129001064e-07
1950,4.360498251365641e-08,2.9566304693418033e-07
1951,4.691016641800161e-08,2.7186574258486473e-07
1952,3.057993103183776e-08,3.374337245176662e-07
1953,5.171437056361583e-08,3.145957681027767e-07
1954,3.029486128625081e-08,3.410615052601429e-07
1955,3.566530937249013e-08,3.4539035809189045e-07
1956,2.4419197108827007e-08,3.9681195396212843e-07
1957,3.6223655630607254e-08,4.293828208545847e-07
1958,4.1361217562041475e-08,4.4008334398881743e-07
1959,3.410329130204559e-08,4.5496889100604676e-07
1960,4.9137916846575536e-08,4.0071625839743774e-07
1961,3.5435612832923624e-08,3.481027803786674e-07
1962,4.0588520322515365e-08,3.2914752701174166e-07
1963,4.073613490973571e-08,3.7891071524853714e-07
