year,les_DET ânes_NOUN,les_DET anes_NOUN,les_DET fans_NOUN
1800,5.628054466910726e-07,3.772997336781714e-08,3.45858084394024e-08
1801,5.476720019714776e-07,3.881327697019543e-07,2.3811826510566902e-08
1802,1.2061958614140167e-06,4.2518962573012686e-08,2.2378401354217203e-08
1803,1.515413543984323e-06,5.851017803593095e-08,2.145373123596528e-08
1804,8.058234186592017e-07,3.9549615138412264e-08,9.887403784603066e-09
1805,8.016914918584916e-07,3.127165526528586e-08,1.421438877713399e-08
1806,3.5156362798716145e-07,1.4408345627714425e-08,2.0171682990621775e-08
1807,4.5835978568220526e-07,3.701041695336471e-08,2.2775640928784924e-08
1808,7.976580462809579e-07,1.8128591960930862e-08,1.3596443526608937e-08
1809,8.652086975757811e-07,4.066254910561895e-08,4.518061036407062e-09
1810,6.903374156763675e-07,8.190443789857227e-08,1.4040760554223652e-08
1811,6.944602546354872e-07,2.0056614591368316e-08,1.0028307073639553e-08
1812,6.107906926899886e-07,1.600324894823757e-08,5.3344164641089264e-09
1813,5.348879525968186e-07,2.5881674803329702e-08,2.8757416448144113e-09
1814,7.457624633389059e-07,4.720015800430133e-08,6.293354282149721e-09
1815,9.683032473617459e-07,2.6972236000233352e-08,1.3486118000116676e-08
1816,1.0823210061516875e-06,1.1588019432906549e-08,4.6352077731626196e-09
1817,5.791569179791622e-07,1.1676550237815775e-07,9.341240336802059e-09
1818,5.364530082374586e-07,3.814776805555198e-08,7.152706205104664e-09
1819,5.869045232032022e-07,2.380741526142316e-08,9.315945126431302e-09
1820,9.243988898788302e-07,1.6613073583471305e-08,1.3053129244156025e-08
1821,7.05096425690499e-07,4.6348993421041484e-08,6.903041693817613e-09
1822,5.975267214353153e-07,1.303330066093622e-08,1.303330066093622e-08
1823,7.540490116753062e-07,4.941343445530322e-08,1.3835762091574111e-08
1824,5.574776551497962e-07,3.2000228245010476e-08,5.052667617633233e-09
1825,8.594112159698852e-07,4.931048125378368e-08,7.044354433105582e-09
1826,6.44744453381918e-07,3.963592953848405e-08,6.1655889282974385e-09
1827,4.3597701449016313e-07,2.3043182473259094e-08,1.0139000472531023e-08
1828,5.503380862137419e-07,2.384798358789908e-08,8.255071126672675e-09
1829,7.218614257453737e-07,3.3435386848079673e-08,6.001223351592699e-09
1830,6.825690661571571e-07,2.0873671680021744e-08,4.174734336004349e-09
1831,6.267664929282546e-07,3.741889398334308e-08,0.0
1832,7.414423279783477e-07,8.388580985396743e-08,1.352996914505411e-08
1833,9.521742541096501e-07,5.21263281427764e-08,4.633451511359965e-09
1834,6.795538354253949e-07,1.3068343074351674e-08,4.667265685043276e-09
1835,7.835359383534524e-07,4.310960122211327e-08,1.2100940693926532e-08
1836,5.168256933529847e-07,1.8818100411266414e-08,5.376600220596828e-09
1837,5.761133436976706e-07,3.2006298833486824e-08,9.045257765016856e-09
1838,5.258030952859372e-07,2.5879864251621143e-08,4.418513332993257e-09
1839,5.201657629072542e-07,1.9576130605436504e-08,6.29232765891885e-09
1840,5.758198469152376e-07,1.7198159119047318e-08,7.643626342979104e-09
