year,quels_DET feux_NOUN
1800,2.829748169119739e-08
1801,1.0953439977257062e-07
1802,4.4756802708434407e-08
1803,9.75169611727722e-09
1804,4.2021465418429216e-08
1805,1.0802935435094696e-07
1806,6.916005812485082e-08
1807,7.117387923472052e-08
1808,4.305540635130001e-08
1809,1.129515236897305e-08
1810,8.190443878675069e-08
1811,7.521230216411823e-08
1812,2.9339290108509886e-08
1813,7.189353823378042e-08
1814,5.664018765116907e-08
1815,2.4275011334395913e-08
1816,3.012885052555703e-08
1817,4.981994838892945e-08
1818,4.887682791832049e-08
1819,5.693077653745604e-08
1820,5.458581142647745e-08
1821,3.155676253641104e-08
1822,5.714601059025881e-08
1823,4.4472091786929013e-08
1824,5.894778709603088e-08
1825,4.931048191991749e-08
1826,3.4351140376642775e-08
1827,1.0139000194975267e-08
1828,3.760643529915342e-08
1829,3.429270378774163e-08
1830,4.800944619631764e-08
1831,4.053713631435585e-08
1832,4.600189562609103e-08
1833,5.6759778210846434e-08
1834,4.573920175943158e-08
1835,9.832014313815307e-09
1836,2.6210925430092402e-08
1837,3.0614719648269784e-08
1838,3.0298377806659005e-08
1839,1.5381245166423696e-08
1840,2.6115724249820005e-08
1841,3.467096343356957e-08
1842,2.2137274680034125e-08
1843,2.00834979757758e-08
1844,3.1284800083852815e-08
1845,1.2834524554250493e-08
1846,1.2879903366069811e-08
1847,1.0786447290911383e-08
1848,1.287235473768078e-08
1849,2.4300303103075294e-08
1850,1.0183494048021657e-08
1851,2.192809134271556e-08
1852,1.6927418577949993e-08
1853,8.957897534855874e-09
1854,4.1565315633818045e-08
1855,2.600399184871094e-08
1856,2.8992259704097023e-08
1857,1.513267822161879e-08
1858,1.8595968764856252e-08
1859,2.036869339860914e-08
1860,2.242820151820979e-08
1861,2.3108221558487685e-08
1862,3.5240293350113916e-08
1863,9.989241989138975e-09
1864,3.308362206411175e-08
1865,2.7770380661706895e-08
1866,1.1677470768134413e-08
1867,2.2808213984149006e-08
1868,1.679557160016998e-08
1869,3.1742874107010266e-08
1870,1.548193218070537e-08
1871,2.2304472935275044e-08
1872,8.466275014384905e-09
1873,1.735941212999137e-08
1874,1.5533983876991897e-08
1875,6.865832347102696e-09
1876,1.0278224715776219e-08
1877,2.968711765305443e-08
1878,1.147426842429411e-08
1879,2.3826369321966467e-08
1880,1.6686399817444908e-08
1881,9.761510710859511e-09
1882,2.1297232422057277e-08
1883,8.847074739470884e-09
1884,1.0562715146988921e-08
1885,7.734762719202593e-09
1886,1.8715044847184004e-08
1887,1.9586774424595887e-09
1888,3.804368819970705e-09
1889,1.190375947812683e-08
1890,3.932631886804927e-09
1891,7.0116419337296065e-09
1892,3.761107425503951e-09
1893,3.0792082772457263e-09
1894,3.780923574225881e-09
1895,4.213030146971164e-09
1896,4.1279202278587945e-09
1897,5.826713556089658e-09
1898,6.7900258748920805e-09
1899,5.527578395003729e-09
1900,1.453494835601532e-08
1901,7.265360535413379e-09
1902,1.423982337600549e-08
1903,4.860198243861191e-09
1904,2.6873125946735854e-09
1905,7.2250627702885595e-09
1906,1.388929771195535e-08
1907,8.742833568220476e-09
1908,5.893666887857307e-09
1909,9.901770514630925e-09
1910,6.947395991829808e-09
1911,8.512598514975878e-09
1912,1.3544495081063701e-08
1913,2.0151360580200617e-08
1914,1.7411533770328447e-08
1915,1.1780761921542648e-09
1916,2.4172416956957932e-08
1917,1.315970976634162e-08
1918,1.033773866510046e-08
1919,6.445493971884986e-09
1920,1.4387239843927091e-08
1921,4.543648624011354e-09
1922,5.902348387820666e-09
1923,4.246379248229459e-09
1924,1.0313299547703991e-08
1925,7.698724546756353e-09
1926,1.114613867869707e-08
1927,1.3379069518926201e-08
1928,1.3711249469139375e-08
1929,2.4508894469477127e-08
1930,4.201441416995522e-09
1931,1.1405356659111021e-08
1932,7.6716757391182e-09
1933,1.1470662197865522e-09
1934,7.188948103475923e-09
1935,8.377798899061872e-09
1936,1.6974600391961303e-08
1937,8.813782814698357e-09
1938,1.0372171899142302e-08
1939,3.058810094103137e-09
1940,2.5357829169792012e-09
1941,1.1806010391524069e-08
1942,3.034211815133858e-08
1943,8.709705623388686e-09
1944,6.4263723231761105e-09
1945,4.357008087652048e-09
1946,8.352662561605939e-09
1947,3.5762612871081956e-09
1948,9.784699050996437e-09
1949,1.079870937115146e-08
1950,1.7016578146566985e-08
1951,7.462981344019681e-09
1952,8.435843135146115e-09
1953,4.3095309543161875e-09
1954,5.863521668203475e-09
1955,4.6928039232341234e-09
1956,2.616342476002842e-09
1957,1.7670075402875796e-08
1958,7.445019267748876e-09
1959,6.975672928177801e-09
1960,1.2457500364604357e-08
1961,7.64297514166401e-09
1962,1.5220695370743442e-08
1963,1.8751554087259592e-08
1964,9.734349104562057e-09
1965,1.860494691641179e-08
1966,1.5509409312386424e-08
1967,1.0846738174308257e-08
1968,2.380450325745187e-08
1969,5.90428494984252e-09
1970,1.2416557781946835e-08
1971,9.762955111014548e-09
1972,9.747278983951446e-09
1973,1.3231689077741748e-08
1974,3.937900228123681e-09
1975,1.0851812337620004e-08
1976,7.998937512354587e-09
1977,2.938390863960194e-09
1978,9.504946163474415e-09
1979,1.0533551808578068e-08
1980,7.390696055153967e-09
1981,1.2651099057237047e-09
1982,6.828252407942159e-09
1983,8.841442245000053e-09
1984,1.0438215625185876e-08
1985,6.015558051686298e-09
1986,1.019062523255343e-08
1987,1.1610552186347434e-08
1988,1.0194141530917022e-08
1989,3.841685414229801e-09
1990,7.083246433836621e-09
1991,5.861465368628416e-09
1992,6.611933001110515e-09
1993,7.20096987594232e-09
1994,1.1604838645595805e-08
1995,7.591431205877797e-09
