year,autres_ADJ oies_NOUN,autres_ADJ fois_NOUN
1800,1.5720821977538435e-08,6.511564606626052e-06
1801,4.7623651688866175e-09,6.050584943295689e-06
1802,4.475680270843441e-09,7.0782884904474486e-06
1803,0.0,9.193899131787475e-06
1804,4.943701892301533e-09,7.689928679610603e-06
1805,0.0,7.226595243992051e-06
1806,1.152667650217154e-08,5.6826515901775565e-06
1807,0.0,6.7415899138723034e-06
1808,4.5321479902327155e-09,5.948444140813081e-06
1809,0.0,6.438237051042961e-06
1810,0.0,6.208356353454292e-06
1811,0.0,4.981561687600333e-06
1812,0.0,1.3087990737403743e-05
1813,0.0,1.240019810211379e-05
1814,0.0,7.602372079418274e-06
1815,1.0788894222457657e-08,9.56974872678984e-06
1816,0.0,9.437282642466016e-06
1817,0.0,9.557646080793347e-06
1818,2.026600220972341e-08,9.463030437473208e-06
1819,0.0,8.660723324283026e-06
1820,4.746592452420373e-09,7.975461812748108e-06
1821,2.9584463767662328e-09,8.735306437301915e-06
1822,1.0025615893027862e-09,7.489134986826684e-06
1823,1.8777105759149038e-08,6.567045602423605e-06
1824,0.0,6.9415232246683445e-06
1825,2.905796137042671e-08,7.400974936899729e-06
1826,0.0,6.806810233683791e-06
1827,0.0,6.208755166881019e-06
1828,5.503380862137419e-09,9.142950148088858e-06
1829,8.57317605795771e-10,7.701283720962238e-06
1830,2.0873671680021744e-09,8.128207809932064e-06
1831,1.5591206103948707e-09,7.125181127776159e-06
1832,0.0,7.118117082427489e-06
1833,0.0,1.004068963084137e-05
1834,5.600718555598405e-09,9.09650043467991e-06
1835,2.2689263801112247e-09,9.016713192977477e-06
1836,2.688300027031687e-09,7.5823500083060935e-06
1837,1.3915781860163179e-09,1.175257330032764e-05
1838,1.8936485712828244e-09,8.333947334904224e-06
1839,1.3982950353153e-09,9.361585398437455e-06
1840,3.821813199245128e-09,8.164666724042036e-06
1841,6.420548537278137e-10,9.542219231661875e-06
1842,2.683306021822318e-09,8.60200816532597e-06
1843,0.0,9.117908120970242e-06
1844,1.2074834465636286e-08,8.305290975840762e-06
1845,2.2878934136105755e-08,7.722477675997652e-06
1846,1.1709002656346001e-09,8.430482012045104e-06
1847,3.235934187273415e-09,7.44049111744971e-06
1848,2.413566457803995e-09,8.594710379838943e-06
1849,8.379414939696517e-10,7.586722404084867e-06
1850,6.788996032014438e-10,7.75167609390337e-06
1851,6.449438760824933e-09,7.317533345485572e-06
1852,6.510545436100301e-10,7.155089406296611e-06
1853,1.1943863675867306e-09,9.439832865609787e-06
1854,3.63696517347023e-09,7.038566764094867e-06
1855,2.653468555990912e-09,7.69824328017421e-06
1856,5.177189232874468e-10,6.754160949640209e-06
1857,9.763018171682347e-10,8.839924703352153e-06
1858,4.893676019968041e-10,7.067936167004518e-06
1859,0.0,7.767092029098421e-06
1860,1.3731551729012637e-09,7.019569238764234e-06
1861,3.7727710400226044e-09,7.401705261145253e-06
1862,1.355395878865906e-09,7.116280357877258e-06
1863,6.992469381295052e-09,6.919048246345483e-06
