year,des_DET acteurs_NOUN,des_DET facteurs_NOUN
1800,7.734644782431133e-07,4.527596915160359e-07
1801,7.429289681226692e-07,4.2623169105304726e-07
1802,5.43795152907478e-07,3.312003400424146e-07
1803,4.31024954394843e-07,1.560271414291492e-07
1804,5.808849585786646e-07,3.2134060923283414e-07
1805,5.771041688973355e-07,1.6204403152642044e-07
1806,4.5818538296771294e-07,4.0343368823414494e-07
1807,4.896762861861248e-07,6.064014521633965e-07
1808,9.993386029805151e-07,4.3508621816457094e-07
1809,7.319258976679066e-07,2.9141494906070875e-07
1810,8.564863662741118e-07,3.1591710270006956e-07
1811,6.317833260993666e-07,3.5600490155829334e-07
1812,8.001624691722498e-07,3.760763469529138e-07
1813,1.1848055834207116e-06,2.01301915581098e-07
1814,8.464561638277246e-07,3.27254436438551e-07
1815,5.718113831321148e-07,2.2386954867670283e-07
1816,4.5425035466450936e-07,9.038654980031424e-08
1817,8.952021950392464e-07,1.5724421587037796e-07
1818,5.614874607484666e-07,1.0848271370100804e-07
1819,7.018012162518517e-07,2.1116142079335987e-07
1820,6.775760503785477e-07,2.646225425451121e-07
1821,1.1370295913692985e-06,1.2918549430196435e-07
1822,7.248520148550597e-07,1.7244059336007922e-07
1823,5.504656357402382e-07,1.324279992331867e-07
1824,9.094801791675877e-07,7.915846111927749e-08
1825,8.206672852395513e-07,2.1749443979146577e-07
1826,5.3992944248904e-07,2.6512034168035825e-07
1827,5.023413898186391e-07,1.834237366438174e-07
1828,5.824411122290485e-07,1.6877034642037714e-07
1829,7.904468422026412e-07,1.526025319442681e-07
1830,7.389279934599813e-07,2.9223140440848283e-07
1831,6.704218549202778e-07,2.104812892866903e-07
1832,9.119199084750562e-07,1.4612367338351362e-07
1833,8.780390565732432e-07,2.2703912350152677e-07
1834,5.049981162130734e-07,1.9975896403678917e-07
1835,6.277362913920115e-07,2.344557330502539e-07
1836,5.806728022861307e-07,1.7339535718363663e-07
1837,5.663722992821363e-07,1.8716726568612785e-07
1838,7.890202109450684e-07,2.0262039157614709e-07
1839,4.509501501104296e-07,1.9646045679166946e-07
1840,5.528889666095438e-07,2.2485001505145874e-07
1841,4.5264867587491153e-07,1.9261645078927359e-07
1842,3.9780012706103207e-07,2.0929787547530054e-07
1843,4.187999866900327e-07,2.463181970058237e-07
1844,4.7256512569759934e-07,2.321661405346731e-07
1845,3.973122333356116e-07,3.44858074541321e-07
1846,4.502111412563181e-07,1.3055537806394568e-07
1847,3.8130092150368e-07,3.1118900700732866e-07
1848,3.877796945772616e-07,1.9871697021223156e-07
1849,3.7372190142548334e-07,3.418801384214021e-07
1850,3.7407368580488765e-07,1.9823868235846476e-07
1851,4.0695958070102733e-07,1.9670787487768848e-07
1852,6.842582980226553e-07,2.708386972471999e-07
1853,4.741713919287349e-07,2.6216779369647725e-07
1854,3.9383137329096485e-07,2.1302224695318728e-07
1855,6.463849153703904e-07,1.6026949722913741e-07
1856,5.177189397187476e-07,2.909580238963372e-07
1857,4.500751247249468e-07,1.8452104333377406e-07
1858,5.867517511859432e-07,1.8155538539232907e-07
1859,6.828604348640965e-07,2.00122413085424e-07
1860,4.238472426365547e-07,1.3594236847325192e-07
1861,5.706316308362602e-07,1.9712727938880903e-07
1862,5.236346201087372e-07,1.7077987746194623e-07
1863,6.717764780006519e-07,1.778085056969303e-07
1864,5.379684875350677e-07,2.2487274353721887e-07
1865,4.880997419576261e-07,2.071011447335458e-07
1866,5.488411130016857e-07,2.2187194481659844e-07
1867,6.362035858131776e-07,2.3342023425243497e-07
1868,4.6780608009555635e-07,3.2454972220818945e-07
1869,6.729489250290044e-07,2.412458486311664e-07
1870,5.665239939389721e-07,3.784472224488411e-07
1871,4.2272286648881163e-07,2.442870874475034e-07
1872,4.868108263167414e-07,2.0319060300977299e-07
1873,4.878593529156205e-07,1.933479452098652e-07
1874,3.8356990827992377e-07,2.5451835750089913e-07
1875,5.681476178409639e-07,2.689117859500101e-07
1876,5.072606441558491e-07,2.9927774036764276e-07
1877,5.66529116952097e-07,2.807906547275252e-07
1878,7.023460284472094e-07,3.701961430735423e-07
1879,4.5942126458697885e-07,4.7041803774572344e-07
1880,7.617983506236214e-07,3.5233976891646535e-07
1881,7.118930493987818e-07,3.7512090855784663e-07
1882,6.043089602059126e-07,4.006541933776475e-07
1883,6.003372252649797e-07,4.853252324465984e-07
1884,4.832442250801705e-07,4.91166241900487e-07
1885,6.1942561568884e-07,5.336986270698674e-07
1886,6.840671424868106e-07,5.582246123125856e-07
1887,6.235123048980995e-07,4.635536594577161e-07
1888,5.433906755669682e-07,5.009085395357715e-07
1889,5.544645844679508e-07,5.619827572189706e-07
1890,4.981333852072112e-07,8.78943249738029e-07
1891,5.207737530099621e-07,6.673808119472824e-07
1892,5.998966221554269e-07,7.1210299168456e-07
1893,4.193881588676618e-07,9.102139433281309e-07
1894,4.990819117978162e-07,7.517736086981586e-07
1895,4.7065565844661705e-07,8.143185326048297e-07
1896,5.295532083948729e-07,9.128601110575119e-07
1897,4.533183104449279e-07,9.381009009601371e-07
1898,4.860526914285401e-07,8.046180717258267e-07
1899,4.991403237397662e-07,8.269257278925579e-07
1900,5.954138213581928e-07,9.193355330339159e-07
1901,5.627860000245732e-07,9.802648239798373e-07
1902,4.979027723450713e-07,9.697810448017208e-07
