year,couches_NOUN in_ADJ,couches_NOUN fines_ADJ
1800,0.0,5.0306631749208464e-08
1801,0.0,3.095537337571841e-08
1802,2.2378401354217203e-09,1.3427040812530322e-08
1803,5.851017448321727e-09,9.751696339321825e-09
1804,2.4718509461507665e-09,0.0
1805,2.842877711017877e-09,8.528632911009026e-09
1806,2.881669125542885e-09,2.881669125542885e-09
1807,0.0,8.540865792383556e-09
1808,2.2660739062985158e-08,0.0
1809,0.0,0.0
1810,4.680253518074551e-09,3.042164919975221e-08
1811,2.5070767684098882e-09,0.0
1812,5.3344164641089264e-09,1.0668832928217853e-08
1813,2.8757416448144113e-09,8.627225156487839e-09
1814,3.1466771410748606e-09,0.0
1815,2.697223555614414e-09,2.1577788444915313e-08
1816,2.3176038865813098e-09,4.1716869958463576e-08
1817,6.227493631882908e-09,3.113746771532533e-08
1818,2.384235475716423e-09,2.741870730460505e-08
1819,2.070210003424222e-09,2.070210003424222e-09
1820,2.3732962262101864e-09,7.119888678630559e-09
1821,9.86148829262845e-10,1.97229765852569e-09
1822,6.015369535816717e-09,7.017931125119503e-09
1823,9.882686891060644e-10,0.0
1824,8.421112696055388e-10,8.421112696055388e-09
1825,8.805443041381977e-10,1.7610886082763955e-09
1826,7.927186018719112e-09,8.807984341885344e-10
1827,9.217273055917019e-10,1.013900075008678e-08
1828,2.7516904310687096e-09,5.503380862137419e-09
1829,1.714635211591542e-09,6.858540846366168e-09
1830,3.1310507520032616e-09,2.0873671680021744e-09
1831,6.236482441579483e-09,0.0
1832,4.058990921151917e-09,0.0
1833,5.791814139399776e-09,1.1583628500844156e-09
1834,9.334530925997342e-10,0.0
1835,7.563087933704082e-10,0.0
1836,2.016224964762614e-09,6.048674894287842e-09
1837,0.0,6.957890930081589e-10
1838,3.787297142565649e-09,0.0
1839,4.894032734625853e-09,6.9914751765765e-10
1840,3.1848443882154243e-09,2.5478754661634184e-09
1841,6.420548537278137e-09,0.0
1842,2.683306021822318e-09,6.708265054555795e-10
1843,1.1813822142769936e-09,5.31621990873532e-09
1844,0.0,0.0
1845,0.0,0.0
1846,5.854501328173001e-10,5.854501328173001e-10
1847,2.6966118227278457e-09,3.775256551818984e-09
1848,8.04522137798358e-09,0.0
1849,2.513824481908955e-09,0.0
1850,1.3577992064028876e-09,1.3577992064028876e-09
1851,1.2898877521649865e-09,1.2898877521649865e-09
1852,2.6042181744401205e-09,6.510545436100301e-10
1853,1.7915795513800958e-09,5.971931837933653e-09
1854,1.558699391779328e-09,0.0
1855,5.306937111981824e-10,1.0613874223963649e-09
1856,2.0708756931497874e-09,3.6240324075009767e-09
1857,2.4407544874094356e-09,0.0
1858,3.4255731584664773e-09,5.3830437884982985e-09
1859,4.582956236731661e-09,0.0
1860,1.373155145145688e-09,0.0
1861,5.187560159214399e-09,0.0
1862,1.8071945051545413e-09,0.0
1863,9.989241656072068e-10,0.0
1864,1.9178911792039344e-09,3.3563094525845827e-09
1865,9.41368871743009e-10,0.0
1866,3.4059290943133647e-09,3.8924903300596725e-09
1867,9.7056229719783e-10,7.279217228983725e-09
1868,9.87974813071446e-10,1.975949626142892e-09
1869,9.767038289254515e-10,2.9301114867763545e-09
1870,1.1468097582678638e-09,1.7202146374017957e-09
1871,2.1242354542039266e-09,7.434824311758348e-09
1872,6.652073114565837e-09,6.047339295989218e-10
1873,1.7958012854535355e-09,1.1972008939764578e-09
1874,1.7923826867161097e-09,1.1949218281515073e-09
1875,1.716458086775674e-09,2.8607636259891933e-09
1876,1.209202959984168e-09,2.418405919968336e-09
1877,1.2369631985365004e-09,8.658742167710898e-09
1878,2.4156354694326865e-09,0.0
1879,1.221865053580018e-09,6.10932526790009e-10
1880,1.9253538763308597e-09,3.2089231272180996e-09
1881,5.5780060570498335e-09,6.972507571312292e-10
1882,7.320923423037584e-09,2.6621540527571597e-09
1883,6.319338941018771e-10,6.319338941018771e-10
1884,1.9805090900604227e-09,1.3203393933736152e-09
1885,6.445635691854079e-10,1.2891271383708158e-09
1886,1.936039106809062e-09,1.936039106809062e-09
1887,6.528924623161458e-10,6.528924623161458e-10
1888,1.268122939990235e-09,3.804368819970705e-09
1889,4.385595886446936e-09,5.012109394186837e-09
1890,6.554386478008212e-10,7.865263995654459e-09
1891,6.374220040683554e-10,0.0
1892,0.0,6.268512375839919e-09
1893,0.0,5.542574843531156e-09
1894,1.8904617871129403e-09,3.150769645188234e-09
1895,3.611168697403855e-09,1.1435367319734269e-08
1896,2.358811590497112e-09,1.2973464080801023e-08
1897,5.826713556089658e-10,0.0
1898,1.13167097914868e-09,1.13167097914868e-09
1899,1.6582735185011188e-09,2.2110313580014918e-09
1900,2.07642125715779e-09,2.07642125715779e-09
1901,2.235495566438317e-09,5.58873880507349e-09
1902,2.9461704187383475e-09,4.419255628107521e-09
1903,5.400220270956879e-10,1.0800440541913758e-09
1904,1.0749250378694342e-09,3.7622376325430196e-09
1905,0.0,0.0
1906,1.0288369045596824e-09,2.0576738091193647e-09
1907,5.142843373384665e-10,1.028568674676933e-09
1908,4.911389073214423e-10,5.40252820258047e-09
1909,1.1001967115120692e-09,2.2003934230241384e-09
1910,1.068830135508847e-09,1.068830135508847e-09
1911,4.25629931299909e-09,2.6601871816467337e-09
1912,5.209421227725386e-10,1.0418842455450772e-09
1913,5.30298971401777e-10,4.242391771214216e-09
1914,2.0090231700464756e-09,6.027069510139427e-09
1915,1.1780761921542648e-09,3.534228465440492e-09
1916,1.0987462051303964e-09,0.0
1917,1.0966424435210342e-09,2.1932848870420685e-09
1918,1.1486376294556067e-09,0.0
1919,0.0,7.366278698128781e-09
1920,7.572231730534895e-10,3.028892692213958e-09
1921,7.572747429129834e-10,0.0
1922,7.377935484775833e-10,7.377935595798135e-09
1923,0.0,2.1231896241147297e-09
1924,0.0,1.289162443462999e-09
1925,0.0,0.0
1926,0.0,2.229227691330493e-09
1927,1.1149224876660924e-09,3.3447675740205796e-09
1928,0.0,2.2852082448565625e-09
