year,plusieurs_DET acteurs_NOUN,plusieurs_DET facteurs_NOUN
1800,3.144164395507687e-08,6.60274537267469e-08
1801,1.0000967165524344e-07,5.714838380299625e-08
1802,3.5805442166747525e-08,3.5805442166747525e-08
1803,3.315576746487636e-08,2.3404069793286908e-08
1804,6.426812282356309e-08,3.460591457837836e-08
1805,5.97004312652416e-08,2.2743021688143017e-08
1806,6.916005901302924e-08,4.610670600868616e-08
1807,9.679647394733593e-08,1.224190668835945e-07
1808,1.2916621905390002e-07,4.5321478125970316e-08
1809,1.0391540250509479e-07,2.4849335034105025e-08
1810,1.895502670379301e-07,9.126494404654295e-08
1811,5.0141534924108555e-08,1.6546706227416053e-07
1812,1.20024368666094e-07,8.268345297324231e-08
1813,9.202373019157051e-08,1.0352670187785407e-07
1814,9.754699448194515e-08,1.8880061958270744e-08
1815,2.4275012222574333e-08,1.9150287755564932e-07
1816,5.3304887615013286e-08,3.7081662185300956e-08
1817,9.02986592166144e-08,6.227493631882908e-09
1818,3.5763532135746345e-08,9.536941902865692e-09
1819,4.864993385922389e-08,2.0702100700376036e-08
1820,4.153268307049984e-08,1.6613073583471305e-08
1821,1.3806083387635226e-08,5.818277992730714e-08
1822,8.922798144794797e-08,6.015369535816717e-09
1823,2.1247776516020167e-07,1.7788837070042973e-08
1824,8.000056794799093e-08,1.9368560089105813e-08
1825,1.0126259653020497e-07,7.92489873724378e-09
1826,5.372870326425527e-08,3.170874307567573e-08
1827,4.055600122399028e-08,3.133872894522938e-08
1828,5.6868268316634385e-08,5.96199587477031e-08
1829,8.401712525696325e-08,5.829759719411243e-08
1830,2.5048406016026092e-08,7.931995327226105e-08
1831,7.171954763407484e-08,3.4300654760954785e-08
1832,3.788391600423324e-08,2.976593194148336e-08
1833,1.6217079790159517e-08,3.1275796175123105e-08
1834,3.827157613045529e-08,1.3068342852307069e-08
1835,3.100866052818674e-08,4.0840674842002045e-08
1836,3.629205025390547e-08,2.9571300075303952e-08
1837,1.7394727436226276e-08,4.244313434043079e-08
1838,4.6078780124858554e-08,2.0830134950244883e-08
1839,2.23727205650448e-08,5.033862215952922e-08
1840,1.910906560764758e-08,8.790170652472895e-08
1841,2.8892468861840825e-08,7.191014095297987e-08
1842,2.0124795163667386e-08,3.4882979615957765e-08
1843,3.366939194116014e-08,1.4767278067040479e-08
1844,2.908937557499769e-08,7.464443219085126e-08
1845,2.1204866307300563e-08,6.47306473422482e-08
1846,4.039605849825989e-08,2.9272506196775794e-08
1847,2.2651539310913904e-08,5.770749123001906e-08
1848,4.666228597960398e-08,6.677533992416329e-08
1849,8.379414939696517e-10,6.200767010966501e-08
1850,1.2899092460827433e-08,5.5669767462518394e-08
1851,2.5797755709433545e-08,6.965393595237401e-08
1852,2.929745424040675e-08,9.570501835476364e-08
1853,2.5679307569248522e-08,4.717826129763125e-08
1854,1.4028293748857834e-08,5.143707926258401e-08
1855,3.131092896069276e-08,4.617035287424187e-08
1856,1.501384794266869e-08,8.904765436135165e-08
1857,3.12416577052943e-08,5.1255846900133406e-08
1858,2.7404586100399086e-08,3.376636281693379e-08
1859,3.513599633464537e-08,4.888486393461733e-08
1860,3.249800606397457e-08,4.073693560258107e-08
1861,1.792066256500746e-08,9.007490398005302e-08
1862,2.1686334950032915e-08,6.415540854121105e-08
1863,2.0477944673302773e-08,7.791608735985278e-08
1864,2.9247840704904604e-08,3.883729804421421e-08
1865,2.58876440284439e-08,5.5070078275321066e-08
1866,1.6543084235820515e-08,5.30351791927508e-08
1867,2.91168689159349e-08,6.502767035954093e-08
1868,2.2723421366777075e-08,1.0966520402888591e-07
1869,2.4905948192710525e-08,6.73925664163022e-08
1870,2.2362790730312554e-08,7.224901210634016e-08
1871,1.274541272522356e-08,6.478918379571041e-08
1872,8.4662747923403e-09,5.140238246159612e-08
1873,1.97538145840781e-08,5.147963866303229e-08
1874,2.3300975371398636e-08,4.122480223855973e-08
1875,3.4329164178004135e-08,9.040013065897412e-08
1876,3.9299097309708486e-08,6.408775865551775e-08
1877,2.9687116986920614e-08,9.46276812463509e-08
1878,6.582606637550725e-08,1.0568405439670414e-07
1879,2.3826368433788048e-08,9.225081498698273e-08
1880,3.786529223503976e-08,8.022308062294314e-08
1881,2.4403776777148778e-08,9.273435042089773e-08
1882,3.860123398702342e-08,9.051324023623408e-08
1883,8.847074461915128e-09,9.352621876956846e-08
1884,2.6406786979293884e-08,7.2618664859192e-08
1885,5.2854212118091937e-08,1.0893124313682279e-07
1886,4.9046325445445405e-08,1.239065037239584e-07
1887,2.3504128865425855e-08,1.2600824872421867e-07
1888,2.2192151227784507e-08,1.3505509355304923e-07
1889,4.0723389105323804e-08,1.3094135464797318e-07
1890,1.7041405619977468e-08,1.1535720201294453e-07
1891,3.187110086955158e-08,1.6827941484720554e-07
1892,2.131294141172191e-08,1.5232484784633016e-07
1893,2.093861628527094e-08,1.6566140548235353e-07
1894,1.2603078136663726e-08,1.770732520611773e-07
1895,2.5278180437737774e-08,1.492616412690495e-07
1896,1.533227589334274e-08,2.1701066543755587e-07
1897,1.1653426668090106e-08,1.7363607041076534e-07
1898,2.1501748381780317e-08,1.561705971209193e-07
1899,1.879376654301268e-08,1.2658154346922856e-07
1900,1.9206896073598045e-08,1.9726001543318716e-07
1901,2.459045056468767e-08,2.3584478192617553e-07
1902,1.276673788908056e-08,1.865907810483236e-07
1903,2.214090377705702e-08,2.3328951392898034e-07
1904,2.6335663427801137e-08,2.1820977735842462e-07
1905,2.68359464650203e-08,1.950766943537019e-07
1906,2.6749758852417926e-08,2.417766662432541e-07
1907,1.4399961001387851e-08,2.1291370799758624e-07
1908,1.2769611590357499e-08,2.170833930392746e-07
1909,1.980354014108343e-08,2.365422986372323e-07
1910,2.5117507629346392e-08,2.447620985890353e-07
1911,1.1172786029689519e-08,2.596342678629071e-07
1912,1.82329742415277e-08,2.771412201951762e-07
1913,2.5454351126885655e-08,2.2378616648666139e-07
1914,2.2099254259888568e-08,2.9733541317966683e-07
1915,4.712304768617059e-09,2.9098482201561637e-07
1916,1.4283700444650549e-08,2.2634172225366456e-07
1917,1.206306654566447e-08,2.3248819758237005e-07
1918,8.040463406189247e-09,2.515516435153131e-07
1919,1.1049418047193171e-08,3.3332412030517844e-07
1920,2.2716695191604686e-08,3.377215431754621e-07
1921,1.8931868961402643e-08,3.1881266160382893e-07
1922,2.877394900124841e-08,3.5192751646206943e-07
1923,2.229349149729387e-08,2.876921865180293e-07
1924,3.3518224196171786e-08,3.8803790758379364e-07
1925,4.839198397554867e-08,3.101486214518445e-07
1926,3.343841470382358e-08,3.600202802545027e-07
1927,2.7873061636540797e-08,2.921096822205982e-07
