year,cents_ADJ fils_NOUN
1800,4.4018303668735825e-08
1801,4.524246932646747e-08
1802,1.3427040812530322e-08
1803,1.2092102963379148e-07
1804,2.4718509905596875e-08
1805,6.254330742194725e-08
1806,0.0
1807,5.4092147649953404e-08
1808,0.0
1809,0.0
1810,3.7442028144596406e-08
1811,1.2535384286138651e-08
1812,0.0
1813,5.751483289628823e-09
1814,1.8880061958270744e-08
1815,0.0
1816,6.952811659743929e-09
1817,1.71256075987003e-08
1818,2.384235475716423e-09
1819,7.24573512300708e-09
1820,7.119888678630559e-09
1821,0.0
1822,2.0051231786055723e-09
1823,1.087095569118901e-08
1824,2.6105450245950124e-08
1825,1.584979791857677e-08
1826,1.0569580766173203e-08
1827,1.1982455028203276e-08
1828,4.494427585655103e-08
1829,2.8291481157793896e-08
1830,1.1480519646056564e-08
1831,1.091384405071949e-08
1832,1.2176972319366541e-08
1833,1.1583628278799551e-08
1834,1.8669062740173104e-08
1835,1.5126175867408165e-08
1836,2.9571300075303952e-08
1837,8.349468672008697e-09
1838,1.1361890983607736e-08
1839,4.194885327990505e-09
1840,4.458782232319436e-09
1841,1.8619591202195807e-08
1842,4.024959032733477e-09
1843,7.088293507706567e-09
1844,8.232841963717874e-09
1845,2.7901139176833567e-09
1846,2.3418005312692003e-09
1847,1.6179670936367074e-08
1848,1.126331028444838e-08
1849,0.0
1850,2.647708541303473e-08
1851,6.449438760824933e-10
1852,3.906327261660181e-09
1853,4.180352064508952e-09
1854,1.8184826089395756e-08
1855,5.306937111981824e-09
1856,1.3978411317339123e-08
1857,1.1715622250108026e-08
1858,2.300027723833864e-08
1859,1.4258085379026397e-08
1860,2.242820151820979e-08
1861,1.131831339762357e-08
1862,7.680577063240435e-09
1863,4.495158911765884e-09
1864,6.233146443435089e-09
1865,1.694463946932956e-08
1866,1.0704348518686402e-08
1867,2.0867089389753346e-08
1868,9.87974857480367e-09
1869,7.813630631403612e-09
1870,9.17447806614291e-09
1871,6.37270636261178e-09
1872,1.3908880269752899e-08
1873,3.591602570907071e-09
1874,8.364453130127458e-09
1875,4.577221712764867e-09
1876,1.6324239737741664e-08
1877,2.4739263970730008e-09
1878,7.850815109122777e-09
1879,1.8938909107646396e-08
1880,1.2835692508872398e-08
1881,1.324776466304911e-08
1882,1.1979693681496428e-08
1883,5.497824773215143e-08
1884,2.772712726084592e-08
1885,9.023890079618013e-09
1886,2.5813855497602844e-09
1887,4.570247291724172e-09
1888,1.2047167707862627e-08
1889,7.51816386923565e-09
1890,6.554386366985909e-09
1891,3.1871101313640793e-09
1892,9.402768341715273e-09
1893,4.310891643655168e-09
1894,1.0082462864602348e-08
1895,1.5046536461227333e-08
1896,9.435246361988447e-09
1897,7.574727511894253e-09
