year,meilleures_ADJ eaux_NOUN
1800,9.432493186523061e-08
1801,6.667310969987739e-08
1802,1.3427040812530322e-08
1803,3.5106107132421016e-08
1804,2.4718509905596875e-08
1805,3.695740957709859e-08
1806,1.4408345627714425e-08
1807,2.2775640928784924e-08
1808,4.078933102391602e-08
1809,4.2921579401777876e-08
1810,4.44624070894406e-08
1811,2.2563691359778204e-08
1812,7.468182872116813e-08
1813,3.738464116054274e-08
1814,1.195737269199526e-07
1815,8.091670444798638e-09
1816,3.7081662185300956e-08
1817,4.670620334934483e-09
1818,9.536941902865692e-09
1819,1.9666995143552413e-08
1820,3.678609061807947e-08
1821,8.875339574387908e-09
1822,2.606660132187244e-08
1823,2.668325471688604e-08
1824,1.3473780313688621e-08
1825,1.4088708866211164e-08
1826,3.2589543508265706e-08
1827,4.977327350275118e-08
1828,9.172301140836225e-09
1829,1.8860987438529264e-08
1830,3.235419043789989e-08
1831,1.4032085715598441e-08
1832,2.976593194148336e-08
1833,2.4325620628928846e-08
1834,1.5868701908061666e-08
1835,3.100866052818674e-08
1836,1.344150035720304e-08
1837,2.0873672568200163e-08
1838,2.4617431648721322e-08
1839,3.076248944466897e-08
1840,4.58617570586739e-08
1841,1.7977535904378783e-08
1842,1.0062397137744483e-08
1843,2.3627643841450663e-08
1844,3.732221642849254e-08
1845,2.622707206967334e-08
1846,3.5127008857216424e-08
1847,2.1572894581822766e-08
1848,4.183515400768556e-08
1849,1.9272654583346593e-08
1850,4.2091777174846357e-08
1851,1.7413483988093503e-08
1852,5.859491025717034e-08
1853,3.822036376277538e-08
1854,5.0397943596180994e-08
1855,2.2289135870323662e-08
1856,5.4360487666826884e-08
1857,5.027954230740761e-08
1858,3.572383411309943e-08
1859,4.226503946824778e-08
1860,4.3025529805618135e-08
1861,3.1125360067107977e-08
1862,5.0149647989883306e-08
1863,8.64069431560921e-08
1864,3.787835112234461e-08
1865,4.283228349777346e-08
1866,3.2113046444237625e-08
1867,2.6690463172940326e-08
1868,1.6301584082611953e-08
1869,3.076617005604021e-08
1870,3.899153000475053e-08
1871,3.292564798584863e-08
1872,2.660829245826335e-08
1873,6.045864608950069e-08
1874,5.317401985394099e-08
1875,1.2587359599081083e-08
1876,3.264847947548333e-08
1877,2.2265338017746217e-08
1878,2.113680963589104e-08
1879,2.7491964260661916e-08
1880,2.5029599726167362e-08
1881,1.6036766581351003e-08
1882,1.9966154951589488e-08
1883,1.516641390253426e-08
1884,3.9610181801208455e-08
1885,3.4161868001092444e-08
1886,4.065682190912412e-08
1887,3.590908548289917e-08
1888,5.960177729136262e-08
1889,1.2530273707511697e-08
1890,3.211649257650606e-08
1891,2.677172439291553e-08
1892,2.6954603882245465e-08
1893,2.7097032173628577e-08
1894,3.150769600779313e-08
1895,3.310238128051424e-08
1896,1.592197840238896e-08
