year,aux_ADP oies_NOUN,aux_ADP fois_NOUN
1800,1.2576657582030748e-07,2.2009151834367913e-08
1801,6.429192911383552e-08,2.1430643926123594e-08
1802,7.608656460433849e-08,2.6854081625060644e-08
1803,1.09218993626925e-07,3.900678446910888e-09
1804,5.9324420931261557e-08,9.887403784603066e-09
1805,1.2224374756897305e-07,8.528632911009026e-09
1806,5.4751713385314815e-08,1.729001475325731e-08
1807,3.131650672116848e-08,3.131650672116848e-08
1808,1.3369836260324064e-07,1.3596443970698147e-08
1809,8.132509776714869e-08,1.129515236897305e-08
1810,3.042164786748458e-08,1.1700633351097167e-08
1811,4.011322829455821e-08,5.264861258069686e-08
1812,3.7340914360584065e-08,4.267533304513904e-08
1813,5.751483289628823e-09,8.627225156487839e-09
1814,5.349351184236184e-08,3.776012391654149e-08
1815,2.1038344355517324e-07,1.8880564667256294e-08
1816,1.274682119856152e-07,4.1716869958463576e-08
1817,9.496928132790572e-08,2.1796227045456362e-08
1818,7.152706604784953e-08,2.6226590676969863e-08
1819,4.554461963124368e-08,1.656168058250529e-08
1820,2.3732961373923445e-08,3.2039500830194356e-08
1821,5.029359129160582e-08,2.7612166775270452e-08
1822,5.6143449000956025e-08,2.0051231786055723e-08
1823,1.1068609673259289e-07,1.087095569118901e-08
1824,3.115811697540494e-08,2.947389443619386e-08
1825,6.163809995740621e-08,1.4969252504215547e-08
1826,2.554315425840059e-08,1.5854372037438225e-08
1827,5.7147094167930845e-08,1.7512819638909605e-08
1828,6.970948840390179e-08,1.7427372100975447e-08
1829,9.85915242779356e-08,1.2859763920403111e-08
1830,4.0703659109908585e-08,1.461157062010443e-08
1831,5.456921980950824e-08,1.4032085715598441e-08
1832,3.51779220197912e-08,1.488296597074168e-08
1833,6.486831871654886e-08,1.390035431203529e-08
1834,4.947301501800894e-08,1.120143711119681e-08
1835,4.689114518896531e-08,1.3613558280667348e-08
1836,4.0324502126320994e-08,1.2097349955109138e-08
1837,6.818733133684418e-08,8.349468672008697e-09
1838,3.9135405138779333e-08,1.64116205070286e-08
1839,5.5931800524433584e-08,7.690622361167243e-09
1840,4.7772664935052944e-08,1.0191501864653674e-08
1841,6.099521199232072e-08,1.0272877215555809e-08
1842,3.7566284305512454e-08,4.695785538189057e-09
1843,8.978505050549757e-08,2.008349753168659e-08
1844,6.641159000508878e-08,6.037417288329294e-09
1845,4.2409731282333496e-08,6.696273757711424e-09
1846,2.4588905134237393e-08,4.6836010625384006e-09
1847,7.496580600729885e-08,6.47186837454683e-09
1848,5.309846429213394e-08,1.528592186161859e-08
1849,4.860060620615059e-08,9.217355989576959e-09
1850,4.955967192188382e-08,6.788996032014438e-09
1851,5.4175285590929434e-08,9.674158363282004e-09
1852,4.948014531436229e-08,3.2552727180501506e-09
1853,3.642878354526147e-08,4.180352286553557e-09
1854,5.403491076805267e-08,1.2469595134234623e-08
1855,6.580602018857462e-08,9.021793090369101e-09
1856,5.694908100650764e-08,7.248064703979651e-09
1857,4.735063718896981e-08,2.928905451504704e-09
1858,3.229826228690058e-08,1.9574704079872163e-09
1859,5.295860283638376e-08,7.129042689513199e-09
1860,4.485640303641958e-08,1.0069804629031509e-08
1861,5.5648373908923077e-08,5.187560159214399e-09
1862,7.906476362506965e-08,5.421583654241502e-09
1863,6.742738156706451e-08,5.494082799817335e-09
1864,6.856460832427302e-08,4.315255264231155e-09
1865,5.412871001420072e-08,2.8241067262513297e-09
1866,9.341976481280767e-08,4.379051787850585e-09
1867,8.346835578265654e-08,9.220341823379385e-09
1868,7.409811075831385e-08,6.421836395986702e-09
1869,5.86022301796163e-08,4.395167341186834e-09
1870,4.243196194408938e-08,8.027667863785837e-09
1871,7.11618906024114e-08,3.18635318130589e-09
1872,5.98686610286947e-08,8.466274681317998e-09
1873,6.524745010949573e-08,1.1972009161809183e-08
1874,6.512323835750067e-08,6.572070221366744e-09
1875,6.522541085018929e-08,7.4379850611983045e-09
1876,5.8041743855596906e-08,1.813804439976252e-09
1877,6.494056759009936e-08,6.184816103704804e-09
1878,5.495570576385944e-08,7.850815109122777e-09
1879,4.581993984231758e-08,5.498392852132383e-09
1880,7.63723715380138e-08,5.776061406947974e-09
1881,6.484431835929172e-08,3.4862537301449947e-09
1882,1.0914831349850829e-07,2.6621540527571597e-09
1883,1.0679683093428594e-07,5.6874050469168935e-09
1884,5.2813575734944607e-08,1.2543224237049344e-08
1885,4.318575907991118e-08,1.0313017106966527e-08
1886,5.162771010702727e-08,3.2267319927115068e-09
1887,6.137189068056159e-08,9.140494583448344e-09
1888,7.03808211710566e-08,7.608737417896805e-09
1889,1.1089291618304742e-07,8.771191772893872e-09
1890,8.520702365899524e-08,1.0487018364813139e-08
1891,5.290602622665119e-08,1.9122659011827636e-09
1892,4.638699024894777e-08,6.268512375839919e-09
1893,5.665743257887712e-08,9.237624942759481e-09
1894,5.1042468918183204e-08,1.3863386882917439e-08
1895,5.5973115919982774e-08,1.023164442059965e-08
1896,6.309820932415278e-08,1.179405839657477e-08
1897,5.477110853746581e-08,6.992056045262984e-09
1898,5.545187775624072e-08,1.0185038590293516e-08
1899,9.0652287454418e-08,7.738609753005221e-09
1900,5.6582480922884315e-08,3.633737311048435e-09
1901,5.812288650375308e-08,5.58873880507349e-09
1902,4.713872386874485e-08,1.0311596021495006e-08
1903,5.2922157323109786e-08,1.0260418736862675e-08
1904,6.449550227216605e-08,3.2247751136083025e-09
1905,6.812202002492995e-08,8.257214578755168e-09
1906,1.358064730672126e-07,4.115347618238729e-09
1907,7.199980761596336e-08,6.685696440911215e-09
1908,6.139236319313568e-08,4.4202499438483756e-09
1909,7.86640649286241e-08,3.300590023513905e-09
1910,7.749018304803457e-08,2.137660271017694e-09
1911,6.969690247160543e-08,6.916486494645824e-09
1912,7.866225892882994e-08,9.376957876838787e-09
1913,6.522677464815274e-08,6.893886794756554e-09
1914,8.036092502550218e-08,7.366418142140674e-09
1915,5.301342831387501e-08,3.534228465440492e-09
1916,4.394984820521586e-08,9.888715624128963e-09
1917,4.276905407607501e-08,1.6449636319748606e-08
1918,4.020231791912465e-08,5.743188147278033e-09
1919,7.090043319113448e-08,5.524709134618888e-09
1920,5.5277291188815525e-08,6.815008557481406e-09
1921,4.316465940235048e-08,6.058197943303867e-09
1922,7.894391068630213e-08,1.1066902949607993e-08
1923,6.157249865523795e-08,1.1677542488541803e-08
1924,6.059063462071634e-08,6.445812328337297e-09
1925,5.719052609265418e-08,8.798542117105512e-09
1926,5.5730692949396143e-08,1.0031524944054127e-08
1927,1.427100768669476e-07,7.804457524684949e-09
1928,4.227635308495792e-08,4.570416489713125e-09
1929,5.124586888172189e-08,1.0026365515614089e-08
1930,6.197126012352783e-08,5.2518016602221e-09
1931,6.957267473239881e-08,2.2810713318222042e-09
1932,6.794912410512666e-08,6.575722188983946e-09
1933,5.964744431707913e-08,4.588264879146209e-09
1934,5.511526701695857e-08,2.3963160344919743e-09
1935,5.146362269670135e-08,1.196828414151696e-09
1936,5.698615801463802e-08,6.0623572828433225e-09
1937,4.0291578073947676e-08,5.0364472592434595e-09
1938,3.5006079368571363e-08,5.186085783037697e-09
1939,9.788192567583565e-08,4.588215141154706e-09
1940,1.369322788491445e-07,0.0
1941,1.26914614373419e-07,1.1806010391524069e-08
1942,7.282108072104165e-08,6.068423541449874e-09
1943,1.1612941008820599e-07,0.0
1944,9.318239690969676e-08,6.4263723231761105e-09
1945,7.624764108982163e-08,4.357008087652048e-09
1946,5.150808579656996e-08,8.352662561605939e-09
