year,conditions_NOUN in_ADJ
1800,6.288328968651058e-09
1801,2.3811825844433088e-09
1802,0.0
1803,3.900678446910888e-09
1804,7.4155526164076946e-09
1805,0.0
1806,5.76333825108577e-09
1807,0.0
1808,0.0
1809,0.0
1810,1.1700633351097167e-08
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,1.1921177378582115e-09
1819,1.035105001712111e-09
1820,0.0
1821,1.97229765852569e-09
1822,1.0025615893027862e-09
1823,5.929612356680991e-09
1824,3.3684450784221553e-09
1825,0.0
1826,8.807984341885344e-10
1827,4.608636583469661e-09
1828,9.172301251858528e-10
1829,8.57317605795771e-10
1830,2.0873671680021744e-09
1831,1.5591206103948707e-09
1832,0.0
1833,6.950177322551099e-09
1834,3.733812370398937e-09
1835,5.294161553592858e-09
1836,0.0
1837,2.0873671680021744e-09
1838,6.312161904276081e-10
1839,3.4957374772659477e-09
1840,3.821813088222825e-09
1841,3.2102742686390684e-09
1842,4.695785538189057e-09
1843,5.906911071384968e-10
1844,1.097712254427563e-09
1845,3.9061593959388574e-09
1846,2.9272506640865004e-09
1847,4.853901280910122e-09
1848,4.02261068899179e-09
1849,8.379414939696517e-10
1850,1.3577992064028876e-09
1851,1.9348316282474798e-09
1852,3.906327261660181e-09
1853,4.777545470346922e-09
1854,5.195664343204953e-09
1855,1.0083180512765466e-08
1856,5.177189343896771e-09
1857,1.4644527812635033e-09
1858,2.936205500958522e-09
1859,3.055304009791371e-09
1860,4.57718396518203e-09
1861,4.715963619617014e-09
1862,2.710791813242963e-09
1863,3.995696662428827e-09
1864,5.274200631788517e-09
1865,4.706844247692743e-09
1866,1.9462451650298362e-09
1867,2.426405742994575e-09
1868,1.2349684830326169e-08
1869,4.883519144627257e-10
1870,3.4404292748035914e-09
1871,5.3105884134652115e-09
1872,3.628403577593531e-09
1873,9.577607151811662e-09
1874,4.779687312606029e-09
1875,6.293679799540541e-09
1876,3.627608879952504e-09
1877,1.4843558715504912e-08
1878,7.850815109122777e-09
1879,4.276527687530063e-09
1880,8.984984534166074e-09
1881,1.324776466304911e-08
1882,6.655385131892899e-09
1883,6.319338829996468e-09
1884,4.621187876807653e-09
1885,1.2246707703500448e-08
1886,7.098810428374236e-09
1887,9.140494583448344e-09
1888,3.1703073499755874e-09
1889,5.6386229019267375e-09
1890,4.5880703680722945e-09
1891,5.099376032546843e-09
1892,4.387958441043338e-09
1893,5.542574843531156e-09
1894,4.411077725308132e-09
1895,3.0093072478365457e-09
1896,9.435246139943843e-09
1897,1.0488084178916779e-08
1898,7.921696743018458e-09
1899,6.633094074004475e-09
1900,4.15284251431558e-09
1901,6.706486921359556e-09
1902,1.5712908751908117e-08
1903,8.640352433531007e-09
1904,5.912087708281888e-09
1905,5.676835002077496e-09
1906,1.080278771992127e-08
1907,7.199980611716228e-09
1908,1.080505596107173e-08
1909,1.4302557360679202e-08
1910,9.0850561518252e-09
1911,1.649315972684917e-08
1912,4.1675369266691575e-09
1913,9.545381818298893e-09
1914,9.375441423209452e-09
1915,7.0684572639478915e-09
1916,1.7579939282086343e-08
1917,1.5352993543160665e-08
1918,6.89182577673364e-09
1919,2.2098835761319435e-08
1920,2.2716696079783105e-08
1921,1.438822039290244e-08
1922,2.3609392663104245e-08
1923,3.503262924198225e-08
1924,1.5469949321555987e-08
1925,3.629398737103884e-08
1926,3.789686875421694e-08
1927,4.9056589013218854e-08
1928,2.399468668201621e-08
1929,3.4535259096912796e-08
1930,1.8906485821368335e-08
1931,1.9389107208667156e-08
1932,2.1919073667220346e-08
1933,2.867665616079762e-08
1934,1.7972370258689807e-08
1935,6.22350775358882e-08
1936,5.941110181595377e-08
1937,5.666003222160043e-08
1938,6.35295513973233e-08
1939,5.352917575862648e-08
1940,5.832300864483386e-08
1941,2.9515025534720962e-08
1942,3.6410541248699246e-08
1943,1.4516176038981143e-08
1944,5.1410978585408884e-08
1945,3.48560655893948e-08
1946,3.897909284233947e-08
1947,4.5299309414659206e-08
1948,2.8266908813634473e-08
1949,3.8286332326720185e-08
1950,4.573205392155444e-08
1951,2.9851924931989515e-08
1952,5.061506014314432e-08
1953,3.3398864118794336e-08
1954,5.570345606997762e-08
1955,6.476069458472011e-08
1956,5.843164885277474e-08
1957,5.742774433770137e-08
1958,4.715178825165367e-08
1959,4.417926424693519e-08
1960,4.014083199166407e-08
1961,2.7792636414503136e-08
1962,6.341956382271974e-08
1963,4.526237074031769e-08
1964,2.9203047979819985e-08
1965,2.954903521867891e-08
1966,2.6033652122947615e-08
1967,3.303324858094925e-08
1968,4.356673244387821e-08
1969,3.2246481040942854e-08
