year,plus_ADV in_ADJ,plus_ADV fines_ADJ
1800,3.898763907272951e-07,1.7072812852347852e-06
1801,3.5717738455787185e-07,1.438234335182642e-06
1802,3.871463434279576e-07,1.3494176300810068e-06
1803,3.959188745739084e-07,1.7787093611332239e-06
1804,2.966221188671625e-07,1.3619899164041271e-06
1805,4.5201755938251154e-07,1.9843287191179115e-06
1806,2.852852389878535e-07,8.15512350982317e-07
1807,3.1031811431603273e-07,1.059067358255561e-06
1808,3.308468023988098e-07,9.834760703597567e-07
1809,2.981920204092603e-07,1.1950271527894074e-06
1810,3.205973655440175e-07,1.216865939568379e-06
1811,3.509907458010275e-07,9.476750051362615e-07
1812,3.7607637182190956e-07,9.041835937750875e-07
1813,2.8469841595324397e-07,9.720006346469745e-07
1814,3.304010931515222e-07,9.628831776353763e-07
1815,3.3985017466875433e-07,5.421419473350397e-07
1816,3.337349596677086e-07,1.1194026683369884e-06
1817,3.3161404644488357e-07,8.796334896032931e-07
1818,3.2425603535557457e-07,8.380587814826868e-07
1819,3.7884842640778515e-07,8.984711143966706e-07
1820,3.370080605691328e-07,8.793062420409115e-07
1821,3.1458148441743106e-07,6.58747410398064e-07
1822,3.248299549341027e-07,7.439007276843768e-07
1823,3.300817468243622e-07,8.15321641312039e-07
1824,3.957922842801054e-07,1.1040078788937535e-06
1825,3.5926208852288255e-07,1.1191717703695758e-06
1826,2.395771616647835e-07,7.240163313326775e-07
1827,3.96342727526644e-07,8.940754696595832e-07
1828,3.0452039823103405e-07,9.713467079563998e-07
1829,2.9834652082172397e-07,8.581749284530815e-07
1830,2.776198471110547e-07,1.2816434491469408e-06
1831,2.47900175054383e-07,9.183220299746608e-07
1832,2.9360032272052194e-07,8.280341035060701e-07
1833,2.884323464513727e-07,1.0170425639444147e-06
1834,2.623003183543915e-07,8.587768434153986e-07
1835,2.639517617808451e-07,7.97905784111208e-07
1836,2.540443517773383e-07,7.990971653271117e-07
1837,1.864714818111679e-07,8.078111477516359e-07
1838,2.0262039868157444e-07,8.066942882578587e-07
1839,2.4260418740595924e-07,1.007471610137145e-06
1840,2.1147366169316228e-07,7.40157815926068e-07
1841,2.1252016324524448e-07,8.205461199395359e-07
1842,2.0661455835124798e-07,6.882680168018851e-07
1843,2.2091847995397984e-07,8.777669791015796e-07
1844,2.3930127213134256e-07,7.524817533521855e-07
1845,1.9698204312135204e-07,9.29665986859618e-07
1846,1.8500223575301789e-07,8.822733548186079e-07
1847,1.5748213400001987e-07,7.577478982057073e-07
1848,1.946943655184441e-07,9.002603178487334e-07
1849,1.9691624686402065e-07,8.965973847807618e-07
1850,2.450827594202565e-07,9.59285102908325e-07
1851,2.4120902253343957e-07,7.829618766663771e-07
1852,2.1289483242981078e-07,9.466332926422183e-07
1853,2.1319796417174075e-07,1.1633322856141604e-06
1854,2.0834615099829534e-07,7.798692536198359e-07
1855,1.990101452520321e-07,9.722308504933608e-07
1856,2.0398125855081162e-07,9.132562013292045e-07
1857,2.1576269659817626e-07,1.016330202219251e-06
1858,2.0651312127029087e-07,9.855863254415453e-07
1859,2.0165006731076573e-07,8.646510423204745e-07
1860,1.780524598871125e-07,9.653281267674174e-07
1861,1.9854206811942277e-07,1.1143822575832019e-06
1862,1.5903312089449173e-07,9.3703033599013e-07
1863,2.0877514828043786e-07,9.704548347144737e-07
1864,1.6637706323763268e-07,1.085526378119539e-06
1865,1.807428304800851e-07,9.917321222019382e-07
