year,mes_DET âmes_NOUN,mes_DET ames_NOUN,mes_DET femmes_NOUN
1800,0.0,0.0,1.131899241002543e-07
1801,0.0,4.7623651688866175e-09,2.690736282673356e-07
1802,0.0,0.0,2.953948978756671e-07
1803,0.0,0.0,1.8528222422986573e-07
1804,0.0,0.0,4.968420306283861e-07
1805,0.0,0.0,1.9900143666262693e-07
1806,0.0,0.0,3.688536445167756e-07
1807,0.0,0.0,2.2206250527290194e-07
1808,0.0,0.0,1.4729480835029563e-07
1809,0.0,0.0,2.688246194537669e-07
1810,0.0,0.0,3.4165851303669115e-07
1811,0.0,0.0,1.8050952643733353e-07
1812,0.0,0.0,1.7603574065105931e-07
1813,0.0,0.0,2.9907714349519665e-07
1814,0.0,0.0,2.2026740431613234e-07
1815,0.0,0.0,1.8880564844891978e-07
1816,0.0,0.0,2.2248997666451942e-07
1817,0.0,9.341240669868967e-09,2.1951915307738545e-07
1818,1.668964877410417e-08,0.0,3.194875510814654e-07
1819,7.24573512300708e-09,0.0,1.69757219836697e-07
1820,0.0,7.119888678630559e-09,2.302097392714586e-07
1821,9.86148829262845e-10,1.97229765852569e-09,3.126091794314334e-07
1822,1.0025615893027862e-09,0.0,3.2884020129131386e-07
1823,0.0,9.882686891060644e-10,4.6250973539940787e-07
1824,0.0,8.421112696055388e-09,2.880020630868785e-07
1825,0.0,1.7610886082763955e-09,6.489611497073611e-07
1826,8.807984341885344e-10,7.0463874735082754e-09,1.9553725572052372e-07
1827,9.217273055917019e-10,0.0,1.9264100714622145e-07
1828,3.668920500743411e-09,0.0,1.6693587667759857e-07
1829,0.0,8.57317605795771e-10,3.472136294035977e-07
1830,2.0873671680021744e-09,1.0436835840010872e-09,2.2230460317018697e-07
1831,3.1182412207897414e-09,4.677361609140007e-09,1.403208615968765e-07
1832,0.0,6.764984572527055e-09,2.9630632791821654e-07
1833,1.1583628500844156e-09,1.1583628500844156e-09,2.2935583920968838e-07
1834,0.0,9.334530925997342e-10,2.6230032190710517e-07
1835,3.025235173481633e-09,7.563087933704082e-10,2.904225695488094e-07
1836,1.3441500135158435e-09,1.0753200108126748e-08,2.721903893387889e-07
1837,6.957890930081589e-10,3.478945576063097e-09,1.8786305999718422e-07
1838,0.0,1.2624323808552163e-09,3.8251699940872186e-07
1839,0.0,3.4957374772659477e-09,1.6429966276376717e-07
1840,0.0,0.0,2.0701487812857522e-07
