year,véritables_ADJ hôtes_NOUN,véritables_ADJ fautes_NOUN
1800,0.0,3.144164484325529e-09
1801,0.0,1.4287095950749062e-08
1802,0.0,1.7902721083373763e-08
1803,0.0,9.751696339321825e-09
1804,0.0,2.2246657849223084e-08
1805,0.0,1.9900143755080535e-08
1806,0.0,0.0
1807,0.0,1.9928686256776018e-08
1808,0.0,4.985362878073829e-08
1809,0.0,2.0331274441787173e-08
1810,0.0,3.510190182964834e-08
1811,0.0,2.757784400841956e-08
1812,0.0,5.3344164641089264e-09
1813,0.0,2.8757416448144113e-09
1814,0.0,3.1466771410748606e-09
1815,0.0,2.966945977789237e-08
1816,0.0,1.8540831092650478e-08
1817,0.0,4.670620334934483e-09
1818,0.0,5.960588467246453e-09
1819,0.0,1.0351049795076506e-08
1820,0.0,1.6613073583471305e-08
1821,0.0,1.972297702934611e-08
1822,0.0,0.0
1823,0.0,1.2847492847356534e-08
1824,0.0,1.9368560089105813e-08
1825,0.0,6.163809906922779e-09
1826,0.0,1.5854372037438225e-08
1827,0.0,4.608636583469661e-09
1828,0.0,3.668920500743411e-09
1829,0.0,1.714635211591542e-09
1830,0.0,2.5048406016026092e-08
1831,0.0,4.677361609140007e-09
1832,1.3529969367098715e-09,1.488296597074168e-08
1833,0.0,1.9692167896323554e-08
1834,0.0,1.0267983796552471e-08
1835,0.0,3.025235173481633e-09
1836,0.0,5.376600054063374e-09
1837,0.0,9.74104708006962e-09
1838,3.1560809521380406e-09,1.1361890983607736e-08
1839,0.0,4.194885327990505e-09
1840,3.821813088222825e-09,2.993753511759678e-08
1841,0.0,1.3483152372373297e-08
1842,0.0,1.609983613093391e-08
1843,5.906911071384968e-10,1.2404512972352677e-08
1844,3.2931368743049916e-09,1.2074834465636286e-08
1845,8.37034175305007e-09,9.48638767539478e-09
1846,0.0,1.7563504428608212e-08
1847,0.0,2.1572894581822766e-09
1848,0.0,8.04522137798358e-09
1849,5.865590679832167e-09,1.0893239199560867e-08
1850,0.0,1.3577992064028876e-09
1851,5.8044946626978344e-09,7.739326512989919e-09
1852,0.0,5.859490670445666e-09
1853,0.0,1.0152284346531815e-08
1854,0.0,1.7665259477439577e-08
1855,1.5920811335945473e-09,1.5920811335945473e-08
1856,5.694908100650764e-09,1.1389816201301528e-08
1857,0.0,8.298565390418844e-09
1858,2.936205500958522e-09,1.0276719919488642e-08
1859,3.5645213447565993e-09,2.0877910955618972e-08
1860,2.288591982591015e-09,9.15436793036406e-09
1861,4.715963730639317e-10,4.2443675241088386e-09
1862,9.035972525772706e-10,1.3102160245637151e-08
1863,2.9967726078439227e-09,7.991393324857654e-09
1864,3.3563094525845827e-09,3.452204211384924e-08
1865,0.0,7.530950973944073e-09
1866,0.0,1.556996132023869e-08
1867,3.88224918879132e-09,1.067618526917613e-08
1868,0.0,8.397785578040384e-09
1869,0.0,8.30198221279943e-09
1870,5.734048791339319e-10,1.6628741050794815e-08
1871,0.0,8.496941816815706e-09
1872,1.8142017887967654e-09,7.256807155187062e-09
1873,5.986004469882289e-10,1.496501056408306e-08
1874,0.0,1.5533982988813477e-08
1875,1.1443054281912168e-09,1.8881038954532414e-08
1876,0.0,2.0556450763820067e-08
1877,1.8554447978047506e-09,4.9478527941460015e-09
1878,4.22736201599605e-09,5.435179861734696e-09
1879,0.0,9.163987790827832e-09
1880,1.2835692508872398e-09,3.2089231272180996e-09
1881,0.0,9.064259565150223e-09
1882,1.9966155395678697e-09,4.6587693702804245e-09
1883,0.0,1.2006744043446815e-08
1884,3.300848483434038e-09,5.941527270181268e-09
1885,6.445635691854079e-10,1.9981470700258797e-08
