year,expressions_NOUN in_ADJ,expressions_NOUN fines_ADJ
1800,0.0,6.288328968651058e-09
1801,4.7623651688866175e-09,4.7623651688866175e-09
1802,0.0,8.951360541686881e-09
1803,0.0,1.1702034896643454e-08
1804,4.943701892301533e-09,3.9549615138412264e-08
1805,0.0,0.0
1806,0.0,4.034336598124355e-08
1807,2.8469551160981155e-09,2.562259560079383e-08
1808,0.0,3.172503681980743e-08
1809,0.0,9.036122072814123e-09
1810,0.0,3.510190182964834e-08
1811,0.0,2.757784400841956e-08
1812,0.0,0.0
1813,0.0,8.627225156487839e-09
1814,0.0,1.8880061958270744e-08
1815,0.0,2.697223555614414e-09
1816,0.0,1.3905623319487859e-08
1817,0.0,0.0
1818,2.384235475716423e-09,0.0
1819,3.1053151161586356e-09,7.24573512300708e-09
1820,0.0,1.542642635854463e-08
1821,1.97229765852569e-09,3.0570614484304315e-08
1822,3.0076847679083585e-09,2.105379337535851e-08
1823,9.882686891060644e-10,1.087095569118901e-08
1824,3.3684450784221553e-09,2.4421225930382207e-08
1825,0.0,1.8491430608946757e-08
1826,4.403992281964975e-09,8.80798456392995e-09
1827,0.0,9.217273166939322e-09
1828,0.0,4.586150570418113e-09
1829,0.0,9.430493719264632e-09
1830,5.218417697960831e-09,1.0436835395921662e-08
1831,9.354723218280014e-09,0.0
1832,1.3529969367098715e-09,6.764984572527055e-09
1833,4.6334514003376626e-09,2.0850531967653296e-08
1834,0.0,9.334530925997342e-10
1835,2.2689263801112247e-09,2.117664621437143e-08
1836,2.016224964762614e-09,4.704525213838906e-09
1837,6.957890930081589e-10,4.174734336004349e-09
1838,0.0,1.3255539776935166e-08
1839,1.3982950353153e-09,2.7965900706306e-09
1840,3.821813088222825e-09,1.4013314952876499e-08
1841,2.5682194149112547e-09,1.0914932957462042e-08
1842,6.708265054555795e-10,2.683306021822318e-09
1843,5.906911071384968e-10,1.063243981747064e-08
1844,7.1351298203126134e-09,6.586273748609983e-09
1845,7.812318791877715e-09,3.9061593959388574e-09
1846,8.196302303531411e-09,3.5127007969038004e-09
1847,2.1572894581822766e-09,6.47186837454683e-09
1848,8.045221711050488e-10,1.6090443422100975e-09
1849,8.379414939696517e-10,8.379414495607307e-09
1850,6.788996032014438e-10,5.431196825611551e-09
1851,3.2247193804124663e-09,5.159551008659946e-09
1852,0.0,1.3021090872200602e-08
1853,4.180352064508952e-09,7.166318205520383e-09
1854,1.558699391779328e-09,3.117398783558656e-09
1855,1.0613874223963649e-09,3.1841622671890946e-09
1856,5.177189232874468e-10,3.6240324075009767e-09
1857,0.0,5.857811125054013e-09
1858,3.9149408159744326e-09,3.9149408159744326e-09
1859,6.110608019582742e-09,1.5785737161877478e-08
1860,9.154367819341758e-10,1.785101666484934e-08
1861,0.0,9.903524222920623e-09
1862,9.035972525772706e-10,2.710791813242963e-09
1863,3.496234635136375e-09,4.994620717013731e-09
1864,1.9178911792039344e-09,3.835782358407869e-09
1865,9.41368871743009e-10,8.001635798393636e-09
1866,5.838735717134114e-09,4.865612801552288e-09
1867,1.455843445796745e-09,9.220341823379385e-09
1868,1.975949626142892e-09,2.9639244392143382e-09
1869,0.0,2.1487483792270723e-08
1870,0.0,2.2936195165357276e-09
1871,7.434824311758348e-09,3.18635318130589e-09
1872,0.0,1.2094678591978436e-09
1873,2.3944017879529156e-09,7.183205141814142e-09
1874,1.1949218281515073e-09,5.974609140757536e-10
1875,0.0,6.865832347102696e-09
1876,1.813804439976252e-09,1.813804439976252e-09
1877,2.4739263970730008e-09,3.710889595609501e-09
1878,1.8117265465633636e-09,6.6429977074733415e-09
1879,1.832797580370027e-09,1.4051448005147904e-08
1880,1.9253538763308597e-09,1.2835692508872398e-09
1881,6.972507571312292e-10,1.3945015142624584e-09
1882,0.0,6.655385131892899e-10
1883,2.5277355764075082e-09,0.0
1884,0.0,9.902545450302114e-09
1885,1.933690763067375e-09,0.0
1886,6.453463874400711e-10,1.936039106809062e-09
1887,0.0,4.570247291724172e-09
1888,0.0,0.0
1889,1.8795409673089125e-09,9.397704836544563e-09
1890,1.3108772956016423e-09,2.6217545912032847e-09
1891,6.374220040683554e-10,1.2748440081367107e-09
1892,6.268512375839919e-10,0.0
1893,4.926733243593162e-09,6.158416554491453e-10
1894,2.520615716150587e-09,0.0
1895,7.22233739480771e-09,6.018614495673091e-10
1896,0.0,0.0
1897,5.2440420894583895e-09,1.7480140668268973e-09
1898,1.6975064687230201e-09,3.960848538042683e-09
1899,5.527578395003729e-10,3.3165470370022376e-09
1900,0.0,2.595526460424935e-09
1901,5.588738916095792e-10,1.676621730339889e-09
1902,7.365425602756659e-09,1.4730852093691738e-09
1903,1.0800440541913758e-09,0.0
1904,0.0,5.374625189347171e-09
1905,2.0643036169332163e-09,0.0
1906,4.629765903985117e-09,4.115347618238729e-09
1907,1.028568674676933e-09,0.0
1908,3.437972351250096e-09,1.4734167219643268e-09
1909,1.1001967115120692e-09,2.7504918342913243e-09
1910,0.0,2.67207544979442e-09
1911,1.5961122423746588e-09,1.0640748282497725e-09
1912,5.730363294986773e-09,0.0
1913,1.060597942803554e-09,1.590896969716482e-09
1914,2.0090231700464756e-09,6.696743715117748e-10
1915,0.0,3.534228465440492e-09
1916,1.0987462051303964e-09,0.0
1917,3.289927441585405e-09,1.0966424435210342e-09
1918,4.594550517822427e-09,4.594550517822427e-09
1919,3.6831393490643904e-09,0.0
1920,0.0,0.0
1921,1.5145494858259667e-09,2.2718242842501013e-09
1922,2.2133805899215986e-09,2.2133805899215986e-09
1923,2.1231896241147297e-09,2.1231896241147297e-09
1924,6.445812328337297e-09,0.0
1925,5.499089184013428e-09,1.0998177923937646e-09
1926,1.1146138456652466e-09,1.1146138456652466e-09
1927,2.2298449753321847e-09,1.1149224876660924e-09
1928,1.1426041224282812e-09,2.2852082448565625e-09
1929,0.0,0.0
1930,4.201441416995522e-09,2.100720708497761e-09
1931,1.1405356659111021e-09,6.843213995466613e-09
1932,2.1919073223131136e-09,2.1919073223131136e-09
1933,0.0,2.2941324395731044e-09
1934,1.1981580172459871e-09,0.0
1935,0.0,0.0
1936,2.424942913137329e-09,0.0
1937,3.777335333410292e-09,0.0
1938,0.0,3.8895642262559704e-09
1939,0.0,0.0
1940,2.5357829169792012e-09,0.0
1941,2.9515025978810172e-09,2.9515025978810172e-09
1942,0.0,6.068423541449874e-09
1943,5.806470415592457e-09,8.709705845433291e-09
1944,6.4263723231761105e-09,0.0
1945,0.0,0.0
1946,0.0,0.0
1947,1.1920870957027319e-09,2.3841741914054637e-09
1948,6.523132700664291e-09,3.2615663503321457e-09
1949,2.945102384188658e-09,9.817008317369869e-10
1950,0.0,3.190608444114673e-09
1951,1.0661401761424827e-09,0.0
1952,0.0,1.0544803918932644e-09
1953,1.0773827385790469e-09,3.232148326759443e-09
1954,4.886268278880834e-09,4.886268278880834e-09
1955,1.8771215692936494e-09,2.815682353940474e-09
1956,4.360570571293465e-09,1.744228317335228e-09
1957,0.0,0.0
1958,1.6544486891589827e-09,8.272243445794913e-10
1959,1.5501495642666896e-09,2.325224457422337e-09
1960,2.076250060767393e-09,4.152500121534786e-09
1961,0.0,1.3896318540318475e-09
1962,1.2683912808952869e-09,1.2683912808952869e-09
1963,0.0,6.466053248388448e-10
1964,1.2167936658258327e-09,1.2167936658258327e-09
1965,5.472043373977442e-10,1.0944086747954884e-09
1966,4.431259803538978e-09,1.1078149508847446e-09
1967,2.465167847631733e-09,1.9721342336964653e-09
1968,1.3474247273492779e-09,3.1439910674890825e-09
1969,0.0,1.3625273131978588e-09
1970,9.197450023812337e-10,3.219107425067591e-09
1971,2.569198631618974e-09,7.193756701440179e-09
1972,1.5390440033513642e-09,3.5911027485013847e-09
1973,5.513203782392395e-10,1.102640756478479e-09
1974,0.0,0.0
1975,5.711480177694739e-10,5.711480177694739e-10
1976,2.285410749536254e-09,0.0
1977,0.0,0.0
1978,2.3762365408686037e-09,1.7821774056514528e-09
1979,1.7555920051037788e-09,0.0
1980,3.97960553399912e-09,5.685150683554241e-10
1981,1.8976649140967083e-09,6.325549528618524e-10
1982,1.8622506869903077e-09,6.207502289967692e-10
1983,1.89459470334441e-09,0.0
1984,0.0,1.739702604197646e-09
1985,2.4062232206745193e-09,6.015558051686298e-10
1986,4.196139880008332e-09,2.3977941854269602e-09
1987,3.6664902225425067e-09,3.0554083707556856e-09
1988,2.99827696004229e-09,1.798966087207532e-09
1989,2.7440609784434855e-09,0.0
1990,1.089730194969718e-09,1.089730194969718e-09
1991,2.344586080837985e-09,0.0
1992,2.7549720282848966e-09,2.7549720282848966e-09
