year,nouveaux_ADJ fils_NOUN
1800,6.288328791015374e-08
1801,5.238601841206503e-08
1802,4.0281122437590966e-08
1803,1.3067273130218382e-07
1804,2.9662210465630778e-08
1805,1.7057265822018053e-08
1806,1.729001475325731e-08
1807,8.540865792383556e-09
1808,1.8128591960930862e-08
1809,2.710836710662079e-08
1810,2.574139479349924e-08
1811,5.264861258069686e-08
1812,1.3336040716183106e-08
1813,2.013019195779009e-08
1814,3.4613449884091096e-08
1815,3.776113022269101e-08
1816,1.5064425440414198e-07
1817,0.0
1818,3.2187177367859476e-08
1819,6.624672188593195e-08
1820,8.306536791735653e-09
1821,2.5639868894700157e-08
1822,2.606660132187244e-08
1823,1.087095569118901e-08
1824,4.7158231097910175e-08
1825,1.584979791857677e-08
1826,1.4092774947016551e-08
1827,8.295545583791863e-09
1828,5.503380862137419e-09
1829,2.4862210068476998e-08
1830,1.982998831806526e-08
1831,2.0268567268999504e-08
1832,4.735489433915774e-08
1833,3.938433579264711e-08
1834,1.4935249481595747e-08
1835,4.0840674842002045e-08
1836,2.6210924986003192e-08
1837,3.061472142462662e-08
1838,1.5149189014351805e-08
1839,4.194885061536979e-08
1840,2.165694112932215e-08
1841,2.5040138407206314e-08
1842,3.6224633070958134e-08
1843,4.0757687003178944e-08
1844,5.1592476069117765e-08
1845,2.8459163470273552e-08
1846,2.1661655580373917e-08
1847,1.7258315665458213e-08
1848,1.126331028444838e-08
1849,2.5976186979193017e-08
1850,5.363306687655722e-08
1851,3.740674614505224e-08
1852,6.445439737490233e-08
1853,3.58315901394235e-08
1854,2.8576154775805662e-08
1855,3.8209947206269135e-08
1856,4.452382612596395e-08
1857,2.0502337605421417e-08
1858,2.936205589776364e-08
1859,2.953460587207246e-08
1860,4.5771837653418856e-08
1861,5.3761986862355116e-08
1862,2.7107917910385027e-08
1863,2.6471490777169038e-08
1864,4.4590971248759104e-08
1865,5.1775287668309744e-08
1866,5.0602372625441205e-08
1867,3.202855580752839e-08
1868,2.4699369660652337e-08
1869,3.369628132077196e-08
1870,3.039045992636602e-08
1871,3.7174120004479505e-08
1872,3.446983476429466e-08
1873,2.633841961197092e-08
1874,2.2703515512034755e-08
1875,5.8931731217182204e-08
1876,3.0834674147328656e-08
1877,2.535774612510977e-08
1878,3.804626030889935e-08
1879,2.8713828537085817e-08
1880,2.6954953824542827e-08
1881,6.83305714233029e-08
1882,2.7952617998039386e-08
1883,2.7805091562527195e-08
1884,8.120087358065575e-08
1885,3.093905048823231e-08
1886,2.3877817056927597e-08
1887,3.852065466602994e-08
1888,4.628648575533134e-08
1889,5.7639258144170924e-08
1890,2.818386235503567e-08
1891,4.0157587477551715e-08
1892,2.5074049503359674e-08
1893,2.5249507484836897e-08
1894,2.0164925729204697e-08
1895,2.046328972937772e-08
1896,2.830573858636498e-08
1897,2.3889524691789177e-08
1898,2.150174804871341e-08
1899,2.7085134135518274e-08
1900,2.9589003247565415e-08
1901,2.459045056468767e-08
1902,3.879124294003944e-08
1903,3.6181475593366486e-08
1904,4.622177840474251e-08
1905,2.7352022868853965e-08
1906,1.6975809202790515e-08
1907,2.211422572839794e-08
1908,1.817213934884876e-08
1909,2.4204327431220918e-08
1910,3.206490506446613e-08
1911,2.2345572281423642e-08
1912,2.7609933339611814e-08
1913,3.181793672979438e-08
1914,1.0714789944188396e-08
1915,3.887651400802383e-08
1916,5.7134801778602196e-08
1917,2.7416060532914344e-08
1918,2.5270027848023346e-08
1919,3.314825391953491e-08
1920,1.741613209205184e-08
1921,2.4232791773215467e-08
1922,2.0658220023506146e-08
1923,2.0170300985000722e-08
1924,2.0626599095407983e-08
1925,1.8696902470694e-08
1926,2.0063049888108253e-08
1927,3.1217830098739796e-08
1928,1.82816659588525e-08
1929,2.0052731031228177e-08
1930,1.8906487042613662e-08
1931,1.8248570654577634e-08
1932,1.0959536389520963e-08
1933,2.408838994938378e-08
1934,2.6359476379411717e-08
1935,1.3165112555668657e-08
1936,1.091224310911798e-08
1937,2.2664012888640173e-08
1938,2.463390735840676e-08
1939,1.3764645423464117e-08
1940,3.55009599495304e-08
1941,8.854508237732261e-09
1942,3.034211815133858e-08
1943,1.7419411690866582e-08
1944,6.4263723231761105e-09
1945,8.714016175304096e-09
1946,2.645009899993056e-08
1947,1.1920871179071924e-08
1948,1.522064252412747e-08
1949,1.9634015746561317e-08
1950,1.595304155443955e-08
1951,2.1322803078760444e-08
1952,1.5817205323287453e-08
1953,1.0773827385790469e-08
1954,2.149958033825783e-08
1955,1.5016972554349195e-08
1956,1.831439710997529e-08
1957,1.8553579672619946e-08
1958,1.4890038535497752e-08
1959,1.0851047171911432e-08
1960,1.9378333604436193e-08
1961,2.1539294070560544e-08
1962,1.331810839388936e-08
1963,2.780402907909263e-08
1964,2.3119079761713124e-08
1965,1.2585699593614663e-08
1966,1.4955502058988657e-08
1967,1.8735274442960304e-08
1968,1.5270814279766398e-08
1969,1.9983734195205827e-08
1970,1.3336302728816918e-08
1971,1.1818314438194477e-08
1972,9.234264020108185e-09
1973,1.7642252103655665e-08
1974,8.438357623763437e-09
1975,1.0851811893530794e-08
1976,1.4855169538918744e-08
1977,7.639816779203557e-09
1978,1.1881182260253809e-08
1979,1.7555919384903973e-08
1980,1.5349906234973787e-08
1981,1.644642960707543e-08
1982,1.6139505731871395e-08
1983,1.2630632539867293e-08
1984,1.6237223121606803e-08
