year,trois_DET iles_NOUN,trois_DET fils_NOUN
1800,9.432493897065797e-09,5.313637743142863e-07
1801,1.6668277424969347e-08,9.048493556651493e-07
1802,1.1189200677108602e-08,8.347143705123017e-07
1803,1.950339223455444e-09,7.625826601298513e-07
1804,4.202146608456303e-08,8.651478360377496e-07
1805,2.842877711017877e-09,9.83635646711889e-07
1806,0.0,6.887189414328532e-07
1807,5.693910232196231e-09,6.348709824521848e-07
1808,0.0,8.588420286059772e-07
1809,9.036122294858728e-09,8.810219309651757e-07
1810,2.3401267590372754e-08,7.862825786020267e-07
1811,2.5070767684098882e-09,1.1382128377590561e-06
1812,2.6672082320544632e-09,1.029542433084174e-06
1813,2.8757416448144113e-09,1.3429713920931619e-06
1814,6.293354282149721e-09,1.1170703970719842e-06
1815,0.0,9.629088175699962e-07
1816,2.3176038865813098e-09,7.369980323801428e-07
1817,6.227493631882908e-09,5.044269792975342e-07
1818,5.9605886892910576e-09,2.37350642962042e-06
1819,0.0,1.5619734838878685e-06
1820,1.1866481131050932e-09,8.555733046478053e-07
1821,5.9168927535324656e-09,1.1597110218808382e-06
1822,2.0051231786055723e-09,1.0556973251141244e-06
1823,1.9765373782121287e-09,1.150344711930984e-06
1824,5.894778887238772e-09,1.0400073939820231e-06
1825,1.3208164340028361e-08,1.2019429433962614e-06
1826,1.4973572604048968e-08,1.6937754061530086e-06
1827,7.373818444733615e-09,1.0747340386529913e-06
1828,1.4675681669906737e-08,7.264462356104673e-07
1829,1.8860987549551567e-08,1.1187995276884521e-06
1830,1.1480519646056564e-08,9.633199447023344e-07
1831,1.5591206103948707e-09,1.3907356262166104e-06
1832,6.764984572527055e-09,1.0309837072952632e-06
1833,5.3284690437749305e-08,9.05839739218095e-07
1834,1.5868702352150876e-08,9.129171356647703e-07
1835,1.0588323107185715e-08,8.599231051675815e-07
1836,8.064900303139666e-09,1.329364319957449e-06
1837,1.8090515530033713e-08,1.0311594778045219e-06
1838,1.641162095111781e-08,1.213197569072122e-06
1839,1.1885508133246958e-08,1.1319198005566022e-06
1840,1.910906610724794e-08,1.120428226641934e-06
1841,8.988767952189392e-09,1.0773680152453835e-06
1842,7.379091560011375e-09,9.612943614456526e-07
1843,1.6539350833344457e-08,1.134717592776724e-06
1844,1.4819115490283252e-08,1.0230678224587564e-06
1845,2.1204865530144446e-08,8.822340564762499e-07
1846,8.196301859442201e-09,1.0221959243494894e-06
1847,1.4561703842730367e-08,1.0177012690348874e-06
1848,8.849743549088629e-09,7.828000798681956e-07
1849,1.005529792763582e-08,9.544153396490174e-07
1850,1.0862393651223101e-08,7.746244534700963e-07
1851,1.096404567135778e-08,9.106607707920489e-07
1852,1.3672145415810633e-08,9.375185587856549e-07
1853,1.3735443005202796e-08,8.539862328404979e-07
1854,1.0391328797432209e-08,9.669131753042848e-07
1855,1.539011762474729e-08,1.1171102158868962e-06
1856,9.31894050815174e-09,1.0256011826470512e-06
1857,9.763017949637742e-09,8.918517089284705e-07
1858,6.8511465389775594e-09,1.0991196450760299e-06
1859,1.1711999148289465e-08,8.025265074707022e-07
1860,7.781212424395889e-09,8.454058892937155e-07
1861,9.903523834342565e-09,7.885091370951613e-07
1862,6.776979477596257e-09,9.668490594805235e-07
1863,5.993545049154392e-09,7.87651687872426e-07
1864,4.315255153208852e-09,8.146242773676704e-07
1865,7.530951029455224e-09,8.844160284127156e-07
1866,1.897589108068587e-08,9.312783006976133e-07
1867,1.261730986357179e-08,9.535774836422206e-07
1868,3.4579119567723637e-09,1.012180224080339e-06
1869,7.813630742425914e-09,7.637823724593318e-07
1870,6.880858549607183e-09,1.072840582594381e-06
1871,1.0621177271019633e-09,5.905374598214053e-07
1872,1.2094678591978436e-09,9.300807750634021e-07
1873,2.9930022904522957e-09,9.380069272424407e-07
1874,1.792382742227261e-09,1.033009893625092e-06
1875,5.7215269744226305e-09,7.266339245859399e-07
1876,4.836811839936672e-09,9.534565315050259e-07
1877,5.566334282391949e-09,8.998907521373667e-07
1878,4.227361960484899e-09,7.403922435145205e-07
1879,8.553055264037823e-09,8.473634025563115e-07
1880,8.984984534166074e-09,8.548570971100844e-07
1881,6.972507682334594e-09,7.85801629987759e-07
1882,1.3310770263785798e-09,7.733557580991146e-07
1883,7.583206729222525e-09,6.534196739238496e-07
1884,9.242375753615306e-09,7.506129211520829e-07
1885,6.445635580831777e-09,8.495348060577612e-07
1886,1.548831352060631e-08,9.299441483534565e-07
1887,7.834709492282599e-09,1.041363479004076e-06
1888,3.1703073499755874e-09,1.0531760903376153e-06
1889,6.265136576200092e-09,8.746130806258634e-07
1890,1.1797895382859025e-08,9.66116587619581e-07
1891,9.561329838980726e-09,1.1932539649706086e-06
1892,5.01480967862733e-09,1.1603016858430237e-06
1893,9.237624942759481e-09,1.2242932179162835e-06
1894,4.411077725308132e-09,1.227539847548087e-06
1895,3.611168697403855e-09,1.1730280036204022e-06
1896,1.1794058063507862e-08,1.1452030737046925e-06
1897,6.409384800676321e-09,1.2609008077646422e-06
1898,5.092519295146758e-09,1.1899520373503947e-06
1899,5.527578395003729e-09,9.816978856491687e-07
1900,1.0901211378033793e-08,8.778070839099428e-07
1901,7.2653604799022276e-09,8.489294298641425e-07
1902,7.856454264931756e-09,1.1480243369277332e-06
1903,6.480264325148255e-09,9.126372173540176e-07
1904,5.374625189347171e-09,9.480838762954136e-07
1905,6.708986810544104e-09,7.932086472095534e-07
1906,5.658603086100555e-09,8.307857815026409e-07
1907,3.08570607954195e-09,8.819976109464278e-07
1908,4.4202499438483756e-09,8.575285121992238e-07
1909,1.2652262071366494e-08,7.662870320501725e-07
1910,6.412980924075384e-09,9.282789505959954e-07
1911,6.384448858476333e-09,8.347666753394378e-07
1912,2.083768435579003e-09,7.704734130697943e-07
1913,1.5908969142053309e-09,8.346905762124379e-07
1914,2.678697486047099e-09,8.799521395985721e-07
