year,divers_DET fils_NOUN
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,1.4831105232815389e-08
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,7.521229861140455e-09
1812,2.6672082320544632e-09
1813,0.0
1814,0.0
1815,0.0
1816,4.6352077731626196e-09
1817,0.0
1818,1.5497530370112145e-08
1819,2.070210003424222e-09
1820,1.1866481131050932e-09
1821,1.4792232327920374e-08
1822,0.0
1823,0.0
1824,8.421112696055388e-09
1825,0.0
1826,0.0
1827,0.0
1828,2.7516904310687096e-09
1829,0.0
1830,2.0873671680021744e-09
1831,0.0
1832,1.3529969367098715e-09
1833,2.3167257001688313e-09
1834,2.0535967593104942e-08
1835,6.806779140333674e-09
1836,1.008112526790228e-08
1837,2.0873671680021744e-09
1838,1.8936485712828244e-09
1839,6.292327547896548e-09
1840,6.369688665408546e-10
1841,3.2102742686390684e-09
1842,2.683306021822318e-09
1843,9.451057714215949e-09
1844,3.2931368743049916e-09
1845,1.674068439427856e-09
1846,3.9810608143397985e-08
1847,1.0786447290911383e-08
1848,4.82713291560799e-09
1849,1.6758829879393033e-09
1850,6.1100964288129944e-09
1851,3.2247193804124663e-09
1852,5.859490670445666e-09
1853,3.5831591027601917e-09
1854,5.195664454227256e-10
1855,1.5920811335945473e-09
1856,2.0708756931497874e-09
1857,6.8341128311999455e-09
1858,6.8511463169329545e-09
1859,5.601390462572908e-09
1860,2.746310290291376e-09
1861,4.715963619617014e-09
1862,1.1746764450037972e-08
1863,4.994620717013731e-09
1864,3.835782358407869e-09
1865,9.41368871743009e-10
1866,3.4059290943133647e-09
1867,6.308654931785895e-09
1868,2.4699371437009177e-09
1869,9.767038289254515e-10
1870,8.601073631098188e-09
1871,0.0
1872,6.047339295989218e-10
1873,7.781805422268917e-09
1874,1.7923826867161097e-09
1875,0.0
1876,2.418405919968336e-09
1877,4.9478527941460015e-09
1878,1.8117265465633636e-09
1879,4.887460214320072e-09
1880,6.417846254436199e-10
1881,1.3945015142624584e-09
1882,5.324308105514319e-09
1883,7.58320695126713e-09
1884,2.6406787867472303e-09
1885,5.156508553483263e-09
1886,3.872078213618124e-09
1887,1.0446279397058333e-08
1888,9.510922049926762e-09
1889,1.3783300500946893e-08
1890,2.4251230357208442e-08
1891,1.6572972327821844e-08
1892,4.387958441043338e-09
1893,9.23762488724833e-09
1894,4.411077725308132e-09
1895,5.416753268150387e-09
1896,8.255840455717589e-09
1897,5.2440420894583895e-09
1898,3.3950129374460403e-09
1899,2.7637891975018647e-09
1900,3.633737311048435e-09
1901,5.588738916095792e-10
1902,8.838511256215043e-09
1903,3.7801539676252105e-09
1904,0.0
1905,1.0837593933388234e-08
1906,7.201858220895474e-09
1907,1.2857108266928208e-08
1908,1.0805055739027125e-08
1909,1.1001966893076087e-08
1910,5.3441505665219324e-09
1911,5.852411444351446e-09
1912,4.167536982180309e-09
