year,lettres_NOUN in_ADJ,lettres_NOUN fines_ADJ
1800,3.144164484325529e-09,0.0
1801,7.143547975374531e-09,0.0
1802,8.951360541686881e-09,0.0
1803,2.5354409016742352e-08,0.0
1804,9.887403562558461e-09,0.0
1805,1.421438877713399e-08,0.0
1806,8.645007376628655e-09,0.0
1807,2.8469551160981155e-09,0.0
1808,0.0,1.5862518409903714e-08
1809,4.518061036407062e-09,2.259030518203531e-09
1810,1.4040760554223652e-08,3.510190182964834e-08
1811,5.0141535368197765e-09,0.0
1812,2.6672082320544632e-09,0.0
1813,0.0,0.0
1814,9.440030979135372e-09,0.0
1815,2.697223555614414e-09,0.0
1816,0.0,0.0
1817,9.341240669868967e-09,0.0
1818,1.1921176934492905e-08,0.0
1819,2.070210003424222e-09,1.3456364911235141e-08
1820,7.119888678630559e-09,0.0
1821,8.875339352343303e-09,9.86148829262845e-10
1822,1.0025615893027862e-09,0.0
1823,4.941343445530322e-09,0.0
1824,1.6842225392110777e-09,0.0
1825,1.8491430608946757e-08,0.0
1826,6.1655891503420435e-09,0.0
1827,1.013900030599757e-08,0.0
1828,5.5033806956039655e-09,3.668920500743411e-09
1829,4.286587973467704e-09,0.0
1830,2.0873671680021744e-09,1.0436835840010872e-09
1831,1.5591206103948707e-09,0.0
1832,9.470978667991403e-09,0.0
1833,3.4750886612755494e-09,0.0
1834,2.8003592777992026e-09,0.0
1835,7.563087933704082e-10,0.0
1836,3.3603750337896088e-09,1.3441500135158435e-09
1837,3.4789453540184923e-09,0.0
1838,1.3255539776935166e-08,0.0
1839,5.5931801412612e-09,0.0
1840,1.9109065441114126e-09,1.9109065441114126e-09
1841,5.1364388298225094e-09,6.420548537278137e-10
1842,8.049918065466954e-09,0.0
1843,5.316219964246471e-09,0.0
1844,7.683985947526395e-09,5.488561272137815e-10
1845,5.022205096238963e-09,6.138250796539069e-09
1846,7.025401815852206e-09,2.3418005312692003e-09
1847,1.6179670936367074e-09,8.089835468183537e-09
1848,1.4481399412957785e-08,8.045221711050488e-10
1849,7.54147322368226e-09,2.513824481908955e-09
1850,2.7155984128057753e-09,1.3577992064028876e-09
1851,1.6123597124106936e-08,5.159551008659946e-09
1852,1.1067927019325907e-08,5.859490670445666e-09
1853,4.180352286553557e-09,8.360704129017904e-09
1854,1.2989161579657349e-08,2.0782657816909023e-09
1855,3.714855978387277e-09,3.714855978387277e-09
1856,1.0354378410237786e-08,2.0708756931497874e-09
1857,1.0251168802710708e-08,9.763018171682347e-10
1858,5.8724112794728e-09,4.893676019968041e-10
1859,1.5785737605966688e-08,1.018434669930457e-09
1860,5.034902272882391e-09,4.577183909670879e-10
1861,6.13075279431996e-09,4.2443675241088386e-09
1862,1.3553959066214816e-09,0.0
1863,5.494082799817335e-09,9.989241656072068e-10
1864,7.1920918109924514e-09,0.0
1865,8.47231973466478e-09,1.4120533631256649e-09
1866,8.75810357570117e-09,0.0
1867,1.844068364675877e-08,0.0
