year,deux_DET oies_NOUN,deux_DET foies_NOUN
1800,3.458580932758082e-08,0.0
1801,5.23860170797974e-08,7.143547975374531e-09
1802,1.1860552717735118e-07,3.8043282302169246e-08
1803,9.751696339321825e-09,0.0
1804,7.4155528384522995e-09,1.2359254952798437e-08
1805,5.970043304159844e-08,0.0
1806,5.76333825108577e-09,5.4751712497136396e-08
1807,0.0,5.693910232196231e-09
1808,2.039466551195801e-08,6.798221985349073e-09
1809,4.518061036407062e-09,2.0331274441787173e-08
1810,2.3401266702194334e-08,0.0
1811,0.0,2.5070767684098882e-09
1812,7.468182872116813e-08,8.00162425207418e-09
1813,2.8757416448144113e-09,0.0
1814,9.440031423224582e-09,3.1466771410748606e-09
1815,2.697223555614414e-09,0.0
1816,1.622322720606917e-08,3.244645441213834e-08
1817,7.784366928831332e-09,0.0
1818,9.536941902865692e-09,0.0
1819,1.6561680027393777e-08,9.315945348475907e-09
1820,3.322614805512103e-08,9.493184904840746e-09
1821,1.577838126820552e-08,9.86148829262845e-10
1822,1.604098542884458e-08,2.0051231786055723e-09
1823,3.95307486744656e-09,0.0
1824,1.2631669044083083e-08,1.3473780313688621e-08
1825,1.1447076175841175e-08,2.641632912414593e-09
1826,1.8496766784892316e-08,7.927186018719112e-09
1827,9.217273166939322e-09,1.013900075008678e-08
1828,0.0,1.7427371545863934e-08
1829,2.914879759785549e-08,4.286587973467704e-09
1830,1.982998831806526e-08,2.2961039292113128e-08
1831,6.236482441579483e-09,1.2472964883158966e-08
1832,2.1647950210201827e-08,1.4477066656581883e-07
1833,2.548398292390175e-08,2.4325620628928846e-08
1834,1.7735608537350345e-08,9.334531370086552e-09
1835,2.2689263801112247e-09,1.663879345414898e-08
1836,4.099657546774438e-08,2.2850549896702432e-08
1837,1.5307360268224102e-08,2.435261770017405e-08
1838,2.651107999795954e-08,1.199310784016916e-08
1839,1.2584655206815398e-08,2.7965901816529026e-09
1840,1.2102408297742784e-08,1.52872523528913e-08
1841,3.980740226339208e-08,4.494383976094696e-09
1842,2.4149754196400863e-08,4.024959032733477e-09
1843,6.497602011990011e-09,2.3627644285539873e-09
1844,3.293136902060567e-08,1.0428266472573e-08
1845,2.678509469777879e-08,3.9061593959388574e-09
1846,8.781752214304106e-09,2.517435504501009e-08
1847,2.8044763844548015e-08,8.089835468183537e-09
1848,8.84974404868899e-09,6.43617736884039e-09
1849,1.5920887941334172e-08,4.1059134758825167e-08
1850,5.431196825611551e-09,1.4935791270431764e-08
1851,1.3543821175687754e-08,8.384270167027807e-09
1852,1.5625309490729933e-08,2.7344290387532055e-08
1853,9.555090940693844e-09,1.3138249599364826e-08
1854,2.4419623212423858e-08,4.1565315633818045e-09
