year,légers_ADJ fils_NOUN
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,5.693910054560547e-08
1808,2.2660739951163578e-09
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,2.8757416448144113e-09
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,1.6561680027393777e-08
1820,0.0
1821,3.94459531705138e-09
1822,0.0
1823,1.9765373782121287e-09
1824,0.0
1825,3.522177216552791e-09
1826,1.7615968683770689e-09
1827,9.217273055917019e-10
1828,6.420610709767516e-09
1829,4.286587973467704e-09
1830,1.0436835840010872e-09
1831,7.795603274018958e-09
1832,5.411987746839486e-09
1833,1.1583628500844156e-09
1834,9.334530925997342e-10
1835,6.806779140333674e-09
1836,5.376600054063374e-09
1837,4.174734336004349e-09
1838,9.468243078458727e-09
1839,6.9914751765765e-10
1840,3.821813088222825e-09
1841,8.988767952189392e-09
1842,1.341653010911159e-09
1843,8.860366662588604e-09
1844,4.9397050894128824e-09
1845,2.7901139176833567e-09
1846,2.9272506640865004e-09
1847,3.235934187273415e-09
1848,4.02261068899179e-09
1849,4.1897072478036534e-09
1850,1.1541293254424545e-08
1851,1.096404567135778e-08
1852,5.859490670445666e-09
1853,5.971931837933653e-09
1854,4.676098175337984e-09
1855,4.2455496895854594e-09
1856,2.5885946719483854e-09
1857,6.345961978126979e-09
1858,2.3489644007668176e-08
1859,4.073738679721828e-09
1860,3.661747127736703e-09
1861,1.0846716413936974e-08
1862,4.517986429419807e-09
1863,9.989241434027463e-09
1864,2.8768367688059016e-09
1865,2.8241067262513297e-09
1866,2.432806400776144e-09
1867,1.0190904120577216e-08
1868,6.421836395986702e-09
1869,5.860222973552709e-09
1870,2.8670243956696595e-09
1871,5.3105884134652115e-09
1872,6.047339295989218e-10
1873,2.9930022904522957e-09
1874,2.9873046258899194e-09
1875,5.721527251978387e-09
1876,3.627608879952504e-09
1877,1.8554447978047506e-09
1878,3.0195443923020093e-09
1879,2.443730107160036e-09
1880,1.2835692508872398e-09
1881,6.2752567586699115e-09
1882,9.317538740560849e-09
1883,1.2638677882037541e-09
1884,3.9610181801208455e-09
1885,5.156508553483263e-09
1886,6.453463874400711e-10
1887,7.1818169189441505e-09
1888,3.1703073499755874e-09
1889,6.265136853755848e-09
1890,9.831579994568074e-09
1891,7.649063604731055e-09
1892,6.268512375839919e-10
1893,0.0
1894,2.520615716150587e-09
1895,4.213029924926559e-09
1896,2.358811590497112e-09
1897,5.826713334045053e-09
1898,1.6975064687230201e-09
1899,1.1055156790007459e-09
1900,4.15284251431558e-09
1901,0.0
1902,4.419255628107521e-09
1903,7.560307935250421e-09
1904,1.6123875568041512e-09
1905,3.096455536422127e-09
1906,3.600929110447737e-09
1907,3.0857059130084963e-09
1908,2.9468334439286537e-09
1909,8.251475058784763e-09
1910,6.412980813053082e-09
1911,9.044636151145369e-09
