year,premiers_ADJ airs_NOUN,premiers_ADJ fers_NOUN
1800,9.432493897065797e-09,9.432493897065797e-09
1801,0.0,1.6668277424969347e-08
1802,2.9091921760482364e-08,2.0140561218795483e-08
1803,3.510610468993036e-08,3.510610468993036e-08
1804,5.19088700912107e-08,9.887403784603066e-09
1805,2.842877755426798e-08,5.685755422035754e-09
1806,7.492339904047185e-08,8.645007376628655e-09
1807,5.693910232196231e-09,2.8469551160981155e-09
1808,9.064295980465431e-09,4.5321479902327155e-09
1809,1.3554183553310395e-08,4.743964154840796e-08
1810,2.106114038724627e-08,3.510190182964834e-08
1811,2.2563691359778204e-08,2.757784400841956e-08
1812,5.3344164641089264e-09,2.9339290108509886e-08
1813,3.163315653864629e-08,5.751483289628823e-09
1814,2.5173417128598885e-08,0.0
1815,2.697223555614414e-09,2.697223555614414e-09
1816,3.0128852301913867e-08,2.3176038865813098e-09
1817,6.227493631882908e-09,1.8682481339737933e-08
1818,2.1458118837358597e-08,8.344824387052086e-09
1819,1.5526575580793178e-08,1.7596784473994376e-08
1820,9.493184904840746e-09,5.93324074316115e-08
1821,1.2819934447350079e-08,8.875339574387908e-09
1822,1.2030739071633434e-08,1.1028177482330648e-08
1823,2.075364236020505e-08,6.917880934764753e-09
1824,2.6105450245950124e-08,1.51580028528997e-08
1825,1.1447076175841175e-08,8.805443485471187e-09
1826,2.6423952803611428e-08,3.52319382557198e-08
1827,1.2904182611350734e-08,0.0
1828,8.255071293206129e-09,8.255071293206129e-09
1829,2.2290258527846163e-08,1.3717081692732336e-08
1830,2.0873670791843324e-08,7.305785310052215e-09
1831,9.354723218280014e-09,1.5591206548037917e-08
1832,6.764984572527055e-09,1.0823975493678972e-08
1833,1.2741991461950875e-08,1.3900354645102198e-08
1834,8.401078055442213e-09,4.667265685043276e-09
1835,1.8907719834260206e-08,6.806779140333674e-09
1836,9.409050427677812e-09,2.688300027031687e-09
1837,4.174734336004349e-09,8.349468672008697e-09
1838,2.5248647617104325e-08,6.943378316748294e-09
1839,1.2584655095793096e-08,7.690622361167243e-09
1840,1.0191501864653674e-08,1.9109065441114126e-09
