year,poussières_NOUN fines_ADJ
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,2.4718509461507665e-09
1805,2.842877711017877e-09
1806,2.881669125542885e-08
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,5.3344164641089264e-09
1813,0.0
1814,0.0
1815,1.3486118000116676e-08
1816,0.0
1817,0.0
1818,0.0
1819,1.035105001712111e-09
1820,0.0
1821,5.9168927535324656e-09
1822,0.0
1823,0.0
1824,1.6842225392110777e-09
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,1.714635211591542e-09
1830,6.262101504006523e-09
1831,1.2472964883158966e-08
1832,1.0823975493678972e-08
1833,1.1583628278799551e-08
1834,0.0
1835,9.832014313815307e-09
1836,8.736974699274924e-09
1837,2.0873671680021744e-09
1838,9.468243078458727e-09
1839,7.690622361167243e-09
1840,1.52872523528913e-08
1841,0.0
1842,0.0
1843,8.269675610961258e-09
1844,2.195424508855126e-09
1845,3.9061593959388574e-09
1846,7.610851504580296e-09
1847,6.47186837454683e-09
1848,0.0
1849,6.703531951757213e-09
1850,2.0366988096043315e-08
1851,1.2898877521649865e-09
1852,1.0416872697760482e-08
1853,8.957897534855874e-09
1854,3.117398783558656e-09
1855,7.960405667972736e-09
1856,8.283502495043393e-09
1857,7.810414537345878e-09
1858,3.131952652779546e-08
1859,2.5460866748261424e-09
1860,1.327383358784573e-08
1861,3.3483342321005694e-08
1862,9.939570055905733e-09
1863,1.048870412745373e-08
1864,1.6302074690166535e-08
1865,7.530950973944073e-09
1866,1.9462451206209153e-08
1867,3.154327288257264e-08
1868,1.8771521448357475e-08
1869,2.5882650689368347e-08
1870,2.2936195165357276e-08
1871,6.585129597169725e-08
1872,2.116568786902917e-08
1873,1.4366410283628284e-08
1874,2.5690820137924675e-08
1875,2.2886109007913547e-08
1876,9.673623679873344e-09
1877,2.2883819617014467e-08
1878,2.113680963589104e-08
1879,2.3826368433788048e-08
1880,2.5671385017744797e-08
1881,2.7890029841159958e-08
1882,2.5290463057103807e-08
1883,2.9068958795619437e-08
1884,3.895001299270007e-08
1885,3.931837655457571e-08
1886,4.388355323570181e-08
1887,1.3710741875172516e-08
1888,3.297119732792453e-08
1889,2.5060547415023393e-08
1890,2.6217545467943637e-08
1891,4.206985337873448e-08
1892,3.0715710863660206e-08
1893,3.695050043717174e-09
1894,3.0877544077156927e-08
1895,2.4074457982692365e-08
1896,1.9460195233023114e-08
1897,1.9228155068162778e-08
1898,1.810673566637888e-08
1899,9.949641111006713e-09
1900,1.5054054003371675e-08
1901,2.0678333711998675e-08
1902,3.338993082024899e-08
1903,2.052083658554693e-08
1904,1.666133897515465e-08
1905,2.167518786677647e-08
1906,4.629766081620801e-08
1907,3.5485619775954547e-08
1908,5.402527847309102e-08
1909,7.481337860326676e-08
1910,2.404867771588215e-07
1911,3.990280461607654e-08
1912,8.335074141996301e-08
1913,3.8711824856818566e-08
