year,très_ADV été_VERB,très_ADV fêté_VERB
1916,0.0,4.394984820521586e-09
1917,3.289927441585405e-09,2.1932848870420685e-09
1918,6.89182577673364e-09,5.743188147278033e-09
1919,9.207848372660976e-10,7.366278698128781e-09
1920,3.028892692213958e-09,1.2115570324766622e-08
1921,2.2718242842501013e-09,1.3630945261411398e-08
1922,2.2133805899215986e-09,1.0329110011753073e-08
1923,3.1847844361720945e-09,1.0615948120573648e-08
1924,5.156649773851996e-09,1.2891624656674594e-08
1925,1.0998177923937646e-09,2.0896537389347714e-08
1926,3.343841648018042e-09,2.5636119005412183e-08
1927,3.3447675740205796e-09,1.0034302722061739e-08
1928,2.2852082448565625e-09,1.2568645235688791e-08
1929,1.1140406375176326e-09,1.67106100068537e-08
1930,0.0,1.6805765667982087e-08
1931,0.0,1.3686427990933225e-08
1932,2.1919073223131136e-09,9.863582839386709e-09
1933,1.1470662197865522e-09,1.1470662641954732e-08
1934,0.0,2.3963160344919743e-08
1935,0.0,1.795242710045386e-08
1936,0.0,1.091224355320719e-08
1937,0.0,1.0072894407464617e-08
1938,0.0,1.815129979654273e-08
1939,0.0,6.117620188206274e-09
1940,0.0,0.0
1941,0.0,5.9030051957620344e-09
1942,0.0,3.034211770724937e-09
1943,0.0,2.9032352077962287e-09
1944,0.0,0.0
1945,0.0,2.178504043826024e-09
1946,1.3921104269343232e-09,1.5313215584455975e-08
1947,4.7683483828109274e-09,9.536696765621855e-09
1948,0.0,6.523132700664291e-09
1949,9.817008317369869e-10,2.945102384188658e-09
1950,3.190608444114673e-09,8.508289184305795e-09
1951,2.1322803522849654e-09,8.529121409139861e-09
1952,3.1634410646574906e-09,5.272402070488624e-09
1953,1.0773827385790469e-09,7.54167928107563e-09
1954,0.0,7.818029112982572e-09
1955,0.0,7.508486277174597e-09
1956,8.72114158667614e-10,1.1337484284723587e-08
1957,8.835037701437898e-10,7.951533931294108e-09
1958,0.0,4.9633461784992505e-09
1959,0.0,5.425523585955716e-09
1960,1.3841666701708277e-09,6.920833239831836e-09
1961,0.0,5.55852741612739e-09
1962,0.0,8.8787386332001e-09
1963,1.939815863494232e-09,4.526237051827309e-09
1964,6.083968329129164e-10,4.867174663303331e-09
1965,1.0944086747954884e-09,7.660860390501512e-09
1966,5.539074754423723e-10,3.3234448526542337e-09
1967,4.930335584241163e-10,5.423369309198733e-09
1968,4.4914158503495116e-10,2.0660513716519446e-08
1969,2.2708788183223305e-09,2.7250546263957176e-09
1970,4.5987250119061684e-10,5.518470125309705e-09
1971,5.138397485282553e-10,6.166076982339064e-09
1972,0.0,6.156176346472364e-09
1973,1.102640756478479e-09,3.3079223804577396e-09
1974,5.625571675160757e-10,6.1881286761433785e-09
1975,0.0,6.282628195464213e-09
1976,1.142705374768127e-09,4.570821388050206e-09
1977,2.3507127355770763e-09,2.9383909194713453e-09
1978,1.1881182704343018e-09,1.7821774056514528e-09
1979,1.1703946700691858e-09,1.1703946700691858e-09
1980,5.685150683554241e-10,5.68515062804309e-09
1981,1.8976649140967083e-09,2.5302198114474095e-09
1982,0.0,2.483000915987077e-09
1983,1.89459470334441e-09,6.946847541655643e-09
1984,0.0,4.059305780401701e-09
1985,6.015558051686298e-10,5.414002135495366e-09
1986,1.1988970927134801e-09,1.7983456945813714e-09
1987,1.2221633705067347e-09,7.332980445085013e-09
1988,1.798966087207532e-09,4.797243047249822e-09
1989,1.0976244357863152e-09,4.390497743145261e-09
1990,5.44865097484859e-10,3.814055737905164e-09
1991,1.7584396161396398e-09,2.344586080837985e-09
1992,1.65298330578878e-09,5.509944056569793e-09
1993,1.661762283333701e-09,8.308811083601597e-09
1994,5.274926606624319e-10,2.1099706426497278e-09
1995,3.253470381991974e-09,7.049185846152994e-09
1996,1.067618438099771e-09,2.135236876199542e-09
1997,4.79489448146353e-10,4.794894259418925e-09
1998,4.291316191284977e-09,3.337690568372409e-09
1999,0.0,6.8553016596695215e-09
2000,4.4180314962005696e-10,6.185244316725402e-09
2001,4.3812117822561447e-10,3.943090687297257e-09
2002,1.3143663935011318e-09,5.257465574004527e-09
2003,1.6667691671301554e-09,5.8336921959778465e-09
