year,mêmes_ADJ âmes_NOUN,mêmes_ADJ ames_NOUN,mêmes_ADJ femmes_NOUN
1800,6.288328968651058e-09,6.288328968651058e-09,8.803660733747165e-08
1801,2.3811825844433088e-09,2.3811825400343878e-08,1.6906396638205479e-07
1802,0.0,3.1329761895904085e-08,9.84649659585557e-08
1803,1.950339223455444e-09,2.145373123596528e-08,8.776526527753958e-08
1804,4.943701892301533e-09,5.6852570651244605e-08,1.3347995775347954e-07
1805,5.685755422035754e-09,1.421438877713399e-08,1.1371511021707192e-07
1806,0.0,5.76333825108577e-09,7.780506905419315e-08
1807,0.0,1.9928686256776018e-08,1.5942949005420815e-07
1808,2.4926814390369145e-08,4.758755522971114e-08,5.891792298484688e-08
1809,2.259030518203531e-09,2.25903047379461e-08,1.4683698168482806e-07
1810,4.680253518074551e-09,4.212228077449254e-08,7.722418615685456e-08
1811,5.0141535368197765e-09,1.2535384286138651e-08,8.273353557797236e-08
1812,5.3344164641089264e-09,5.3344164641089264e-09,4.267533171287141e-08
1813,0.0,0.0,5.463909147351842e-08
1814,9.440030979135372e-09,6.293354282149721e-09,1.195737269199526e-07
1815,1.0788894222457657e-08,0.0,1.591361922237411e-07
1816,1.0429217667251578e-07,4.6352077731626196e-09,9.270415546325239e-08
1817,0.0,1.5568733857662664e-08,1.2299300067297736e-07
1818,3.5763532135746345e-09,1.1921177378582115e-09,7.152706160695743e-08
1819,3.2088255608186955e-08,1.449147024601416e-08,5.693077653745604e-08
1820,5.933240565525466e-09,9.493184904840746e-09,1.5307760747873544e-07
1821,2.9584463767662328e-09,1.97229765852569e-09,8.973954379598581e-08
1822,8.02049271442229e-09,1.1028177482330648e-08,7.21844344298006e-08
1823,1.680056804787e-08,1.2847492847356534e-08,6.226093063332883e-08
1824,1.0947446504872005e-08,5.3053010873327366e-08,4.884245186076441e-08
1825,1.937197424695114e-08,1.584979791857677e-08,6.516027895031584e-08
1826,2.642395191543301e-09,1.4973572604048968e-08,7.751026487312629e-08
1827,2.027800150017356e-08,1.1060727445055818e-08,6.452091128039683e-08
1828,2.384798314380987e-08,2.109629271274116e-08,2.7516904310687096e-08
1829,1.7146351893870815e-08,6.858540846366168e-09,6.687077558353849e-08
1830,2.0873670791843324e-08,8.349468672008697e-09,6.470838087579978e-08
1831,1.091384405071949e-08,2.8064171431196883e-08,6.392394169552063e-08
1832,9.470978667991403e-09,1.758896062131754e-08,9.741577855493233e-08
1833,4.6334514003376626e-09,9.266902800675325e-09,6.718504863556518e-08
1834,1.213489042584115e-08,2.240287422239362e-08,8.121041616959701e-08
1835,7.563087933704082e-09,1.0588323107185715e-08,7.789980571715205e-08
1836,1.5457725766054864e-08,2.688300027031687e-09,7.863277318165274e-08
1837,1.2524203896191466e-08,1.6003149028165353e-08,8.975679577361007e-08
1838,1.2624323808552163e-08,1.1361890983607736e-08,7.258986300939796e-08
1839,1.0487212875887053e-08,4.894032734625853e-09,4.4046291947097416e-08
1840,2.8026629905752998e-08,5.7327197988676915e-09,7.516232614079854e-08
1841,2.3113974734201292e-08,1.2841097074556274e-08,5.200644181968528e-08
1842,2.95163662400455e-08,1.341653010911159e-09,5.634942823462552e-08
1843,2.2446261738195972e-08,0.0,7.442707783411606e-08
1844,2.195424464446205e-08,5.488561272137815e-10,4.061535463506516e-08
1845,3.794555070157912e-08,1.674068439427856e-09,6.640470928687137e-08
1846,3.805426018743674e-08,0.0,5.2690513285824636e-08
1847,1.941560512364049e-08,6.47186837454683e-09,5.770749211819748e-08
1848,1.689496542667257e-08,4.82713291560799e-09,7.240699773092274e-08
1849,1.75967720394965e-08,8.379414939696517e-10,4.4410899846525353e-08
1850,2.308258650884909e-08,2.0366988096043315e-09,6.517436190733861e-08
1851,1.5478653025979838e-08,1.9348316282474798e-09,5.0305622778523684e-08
1852,2.9948509450150596e-08,4.557382027314816e-09,4.7526981461487594e-08
1853,1.2541057081705276e-08,5.971931837933653e-10,6.210809289086683e-08
1854,3.3252252507054436e-08,1.0391328908454511e-09,3.896748168585873e-08
1855,3.1841622671890946e-08,0.0,6.527533003009012e-08
1856,3.002769588533738e-08,0.0,6.316170697573398e-08
1857,5.174399575480493e-08,1.4644527812635033e-09,7.859229356199648e-08
1858,2.7404585267731818e-08,9.787352039936081e-10,7.242640265303635e-08
1859,2.1387128512628806e-08,5.092173349652285e-10,6.365216620451974e-08
1860,2.288591893773173e-08,1.3731551729012637e-09,5.080674014834585e-08
1861,4.433005784676425e-08,4.715963730639317e-10,6.790988038574142e-08
1862,3.072230825296174e-08,2.2589932147099034e-09,4.834245359575107e-08
1863,3.646073309937492e-08,4.994620828036034e-10,2.7470415275843152e-08
1864,3.835782536043553e-08,9.589455896019672e-10,5.897515364949868e-08
1865,2.3063536858103362e-08,4.706844358715045e-10,5.271665770578693e-08
1866,2.2868380966656332e-08,0.0,7.639012267190992e-08
1867,3.0572714138088486e-08,0.0,5.968958305402339e-08
1868,3.408512938563035e-08,0.0,4.841076517436704e-08
1869,3.857980246380066e-08,0.0,6.104399119521986e-08
1870,2.121598008386627e-08,0.0,4.013834242755365e-08
1871,7.434824311758348e-09,0.0,4.0360472297606975e-08
1872,1.69325495846806e-08,0.0,3.8702971494330995e-08
