year,moindres_ADJ fautes_NOUN
1800,2.200915076855381e-07
1801,2.3097470602806425e-07
1802,1.969299319171114e-07
1803,2.808488375194429e-07
1804,1.8044511307380162e-07
1805,2.3595885068061762e-07
1806,3.4003696214313095e-07
1807,4.0426763803225185e-07
1808,1.246340701754889e-07
1809,2.0783080856290326e-07
1810,3.4399863579892553e-07
1811,2.582289084784861e-07
1812,1.9203899626063503e-07
1813,1.7542024011163448e-07
1814,2.8320093292677484e-07
1815,1.9420009778059466e-07
1816,1.8309070526356663e-07
1817,1.930523012561025e-07
1818,2.002757781838227e-07
1819,3.446899654591107e-07
1820,2.669958121259697e-07
1821,1.85395975904612e-07
1822,2.3459941189685196e-07
1823,2.2532526600116398e-07
1824,2.7958094506175257e-07
1825,2.148528039924713e-07
1826,2.3429238638073002e-07
1827,2.1844937236892292e-07
1828,2.944308619134972e-07
1829,1.8946718682855135e-07
1830,2.1917355752520962e-07
1831,1.6214853815199604e-07
1832,1.204167290325131e-07
1833,1.7491278470060934e-07
1834,1.8202335638761724e-07
1835,2.647080918904976e-07
1836,1.928855226651649e-07
1837,2.0038726233906345e-07
1838,2.0640769093915878e-07
1839,1.6639711475363583e-07
1840,1.5733131419892743e-07
1841,1.6565014959724067e-07
1842,1.7038993860296614e-07
1843,2.0969534375581134e-07
1844,2.294218575116247e-07
1845,1.975400749643086e-07
1846,1.7153688247617538e-07
1847,1.208082096582075e-07
1848,1.4803208614466712e-07
1849,1.516674075219271e-07
1850,1.615781002328731e-07
1851,1.335033772420502e-07
1852,1.8164421078381565e-07
1853,1.7736637403231725e-07
1854,3.0134853545860096e-07
1855,2.0219430041379383e-07
1856,1.99839504944066e-07
1857,1.6743575770306052e-07
1858,1.8595969208945462e-07
1859,1.2323059195296082e-07
1860,1.3090746620036953e-07
1861,1.4383689972419234e-07
1862,1.2424462170201878e-07
1863,1.0288918872447539e-07
1864,1.1986820425136102e-07
1865,1.6568091609769908e-07
1866,1.4840119888503978e-07
1867,1.237466875636528e-07
1868,1.1114716613747078e-07
1869,1.4601722853058163e-07
1870,1.2213523348236777e-07
1871,8.178306387662815e-08
1872,1.3787933994535706e-07
1873,8.85928628235888e-08
1874,8.364452952491774e-08
1875,1.1957992285260843e-07
1876,6.227395488167531e-08
1877,5.937423352975202e-08
1878,7.790424660925055e-08
1879,1.0263666183618625e-07
1880,1.1744658934276231e-07
1881,5.647731171620762e-08
1882,1.0448954412822786e-07
1883,1.0679682560521542e-07
1884,9.638477393991707e-08
1885,6.058897383809381e-08
1886,7.679621916167889e-08
1887,1.1882642780847164e-07
1888,7.672143453874014e-08
1889,7.894072240333116e-08
1890,8.061895329092295e-08
1891,5.673055980537356e-08
1892,1.1283322010058328e-07
1893,6.527921669885473e-08
1894,8.192001388351855e-08
1895,8.546432894718237e-08
1896,5.7201180680976904e-08
1897,5.5936450138460714e-08
1898,8.544115814856923e-08
1899,8.014988850391092e-08
1900,7.215563613272025e-08
1901,6.203499935963919e-08
1902,5.794134949610452e-08
1903,5.4542223182352245e-08
1904,4.944655174199397e-08
1905,6.502556715304308e-08
1906,6.12157933232993e-08
1907,5.0399865614281225e-08
1908,5.35341406759926e-08
1909,7.811396329771014e-08
1910,6.145773312482561e-08
1911,7.820950287396045e-08
1912,4.8968558985507116e-08
1913,6.151468312509678e-08
1914,5.960101745472457e-08
1915,7.304072369151982e-08
1916,5.16410700868164e-08
1917,4.605898240583883e-08
1918,4.3648228142956214e-08
1919,5.616787390749778e-08
1920,5.982062845077962e-08
1921,3.559191341651058e-08
1922,4.795657915224183e-08
1923,5.8387715995422695e-08
1924,4.640984840875717e-08
1925,2.859526304632709e-08
1926,4.2355324580967135e-08
1927,3.7907366134959375e-08
1928,4.34189573184085e-08
1929,4.233354289340241e-08
1930,4.516549623190258e-08
1931,3.193499864551086e-08
1932,4.7126007984843454e-08
1933,2.408838994938378e-08
1934,4.553000465534751e-08
1935,4.188899538348778e-08
1936,2.9099314957647948e-08
1937,3.651424407280501e-08
1938,2.852347158466273e-08
1939,3.364691281149135e-08
1940,2.5357829613881222e-08
1941,4.7224041566096275e-08
1942,5.461581054078124e-08
1943,3.193558839598154e-08
1944,1.927911696952833e-08
1945,1.5249527862692958e-08
1946,2.9234318077442367e-08
1947,4.0530959921625254e-08
1948,2.2830963786191205e-08
1949,4.712163814701853e-08
1950,3.828730044119766e-08
1951,3.6248767543156646e-08
1952,2.319856839960721e-08
1953,1.6160740301529586e-08
1954,4.10446503451567e-08
1955,1.6894095011821264e-08
1956,3.1396108823855684e-08
1957,1.767007518083119e-08
1958,3.4743422361316334e-08
1959,2.2477168570844697e-08
1960,3.252791813679323e-08
1961,3.61304266505158e-08
1962,4.1856910826254534e-08
1963,4.332255798544793e-08
1964,4.867174752121173e-08
1965,2.9001830270658502e-08
1966,2.7141465963609335e-08
1967,6.015009290649687e-08
1968,3.727875252934609e-08
1969,2.9067249940339934e-08
1970,3.49503110896876e-08
1971,5.0356295133724416e-08
1972,3.796308689629768e-08
1973,2.260413545229767e-08
1974,1.6314157136321228e-08
1975,2.3988217634496323e-08
1976,2.285410793945175e-08
1977,2.4682483612537e-08
1978,1.485147826940647e-08
1979,1.9311512389208474e-08
1980,2.21720881654619e-08
1981,1.644642821929665e-08
1982,2.483000827169235e-08
1983,1.515675762675528e-08
1984,1.6237223121606803e-08
1985,1.564045071233977e-08
1986,1.3187867686781374e-08
1987,1.1610551631235921e-08
1988,1.3792074149421296e-08
1989,6.036934507847036e-09
1990,2.2339468941368068e-08
1991,1.2895223555631219e-08
1992,2.0937788391961476e-08
1993,1.772546376344053e-08
1994,1.5297286992677073e-08
1995,1.4640617607142303e-08
1996,1.2811421257197253e-08
1997,8.630809844589749e-09
1998,9.059445638115449e-09
1999,1.828080442578539e-08
2000,1.6346715980830595e-08
2001,1.4896119893137438e-08
2002,1.7086764003693133e-08
2003,1.5000923170305214e-08
2004,1.2773894830786503e-08
2005,9.908249332113428e-09
2006,1.93540827808647e-08
2007,8.787854888225866e-09
2008,1.1069342775726909e-08
2009,1.668867355419934e-08
2010,1.322662068758973e-08
2011,2.0267052036615496e-08
2012,2.1787217363566924e-08
2013,1.8687137171014e-08
2014,1.515811653973742e-08
2015,1.884089151360513e-08
2016,3.459138042671839e-08
2017,1.3835862233690932e-08
2018,2.2716907466246994e-08
2019,2.1938495464723928e-08
