year,mémoires_NOUN in_ADJ
1800,3.144164484325529e-09
1801,2.143064325998978e-08
1802,2.0140561218795483e-08
1803,1.755305278905439e-08
1804,2.4718509461507665e-08
1805,1.1371510844071508e-08
1806,0.0
1807,2.8469551160981155e-09
1808,6.798221985349073e-09
1809,6.7770917766551975e-09
1810,0.0
1811,5.0141535368197765e-09
1812,2.6672082320544632e-09
1813,0.0
1814,3.1466771410748606e-09
1815,5.394447111228828e-09
1816,3.7081663961657796e-08
1817,1.556873407970727e-09
1818,1.7881766067873173e-08
1819,2.79478351572493e-08
1820,1.0679833017945839e-08
1821,4.930744257336528e-09
1822,1.2030739071633434e-08
1823,1.9765373782121287e-09
1824,2.863178405476674e-08
1825,1.7610886082763955e-09
1826,1.4973572604048968e-08
1827,4.6086365279585095e-09
1828,7.337841001486822e-09
1829,1.457439946506156e-08
1830,2.7135773628117477e-08
1831,2.182768810143898e-08
1832,1.7588960066206027e-08
1833,1.737544208513242e-08
1834,1.4935249481595747e-08
1835,1.3613558280667348e-08
1836,1.5457725044409898e-08
1837,2.2961041068469967e-08
1838,2.9035944315580764e-08
1839,4.894032845648155e-09
1840,1.9109066329292546e-08
1841,3.852329122366882e-09
1842,4.024959032733477e-09
1843,7.088293285661962e-09
1844,8.781698035420504e-09
1845,1.6182660544927785e-08
1846,1.6978053629657097e-08
1847,1.240441438454809e-08
1848,1.689496492707221e-08
1849,2.0948537793330502e-08
1850,4.209177362213268e-08
1851,1.3543821175687754e-08
1852,3.645905444216169e-08
1853,1.3138250265498641e-08
1854,3.4810952342922974e-08
1855,3.237231638308913e-08
1856,3.209857268871019e-08
1857,7.810414537345878e-08
1858,5.627727261980908e-08
1859,5.855999241077825e-08
1860,3.3413442679375294e-08
1861,3.0182167876091626e-08
1862,4.789065588539643e-08
1863,3.646073309937492e-08
1864,3.5001512799226475e-08
1865,3.388927893865912e-08
1866,7.68766872383253e-08
1867,3.833721073931429e-08
1868,3.951899252285784e-08
1869,3.4672985371742016e-08
1870,3.956493621615209e-08
1871,5.8416475212652585e-08
1872,1.2336572474680452e-07
1873,7.781805910767048e-08
1874,5.436894134902559e-08
1875,6.57975611773054e-08
1876,9.069022333108023e-08
1877,8.967983156082937e-08
1878,2.0351728302614447e-07
1879,1.2279743977217095e-07
1880,1.1231230878649967e-07
1881,1.0040410636236174e-07
1882,9.450646842878996e-08
1883,1.131161653233903e-07
1884,6.733731083841121e-08
1885,9.861822469758863e-08
1886,9.16391869054678e-08
1887,1.4494213118609878e-07
1888,1.6866035412732572e-07
1889,1.8356851061440693e-07
1890,1.042147443897079e-07
1891,1.5361869820651464e-07
1892,1.9557758612620546e-07
1893,1.3671685117344623e-07
1894,9.830401381805132e-08
1895,1.324095180166296e-07
1896,1.0260830718422653e-07
1897,1.0255016036353481e-07
1898,1.686189703420382e-07
1899,8.788850003327298e-08
1900,1.043401702816027e-07
1901,1.3189424130644056e-07
1902,1.2324812104225202e-07
1903,8.586350563888345e-08
1904,1.897242629667062e-07
1905,8.92811335972965e-08
1906,1.327199594669537e-07
1907,1.5942814179936704e-07
1908,6.630375004590405e-08
1909,1.3917488139725265e-07
1910,1.4910180379246185e-07
1911,8.512598981269548e-08
1912,7.501566567924556e-08
1913,1.1666577615088158e-07
1914,8.437897136559513e-08
1915,5.654765722340471e-08
1916,3.5159878120083476e-08
1917,2.8512703309502285e-08
1918,4.594550517822427e-09
1919,2.2098835394945837e-07
1920,1.1964126223062976e-07
1921,1.3025125689125616e-07
1922,1.3501621776157435e-07
1923,3.2484800804866154e-07
1924,2.307600821538358e-07
1925,1.9136829187971216e-07
1926,2.0843279102678025e-07
1927,1.9734128064996526e-07
1928,2.1480957990149818e-07
1929,1.4593932551321132e-07
1930,1.0818711793092461e-07
1931,1.0150767426608809e-07
1932,1.7425663778602996e-07
1933,8.029463849368312e-08
1934,1.6414764303362972e-07
1935,1.6635915400797785e-07
1936,2.0005779077791885e-07
1937,1.9390322236745305e-07
1938,3.0338602208246357e-07
1939,2.85998730475967e-07
1940,4.970134384052471e-07
1941,3.6893783317282214e-07
1942,5.461581338295218e-07
1943,1.7709735189441744e-07
1944,2.9561313041881476e-07
1945,2.2220740980571918e-07
1946,1.4060315400854506e-07
1947,1.9431019016025175e-07
1948,2.326583956602235e-07
1949,2.3855330510968997e-07
1950,1.956906565681038e-07
1951,2.590720669104485e-07
1952,3.374337254058446e-07
1953,3.048993164611602e-07
1954,3.733108684400577e-07
1955,4.936829611779103e-07
1956,3.784975337595142e-07
1957,3.27779892117519e-07
1958,2.4734007375570854e-07
1959,3.7901157057262935e-07
1960,4.007162619501514e-07
1961,1.8412621471952662e-07
1962,1.6679345726799966e-07
1963,1.7070381019834713e-07
1964,1.606167678858128e-07
1965,1.9535194795139432e-07
1966,1.6838787075812434e-07
1967,8.67739071708229e-08
1968,8.982831434245497e-08
1969,8.265999085210751e-08
1970,9.473373552282283e-08
1971,9.711571102855032e-08
1972,1.0208992051730092e-07
1973,8.876257862056036e-08
1974,5.7943387865577733e-08
1975,5.768594846244923e-08
1976,4.228010030971063e-08
1977,4.7014255599719945e-08
1978,3.861384278991409e-08
1979,4.7400985359047354e-08
1980,4.036456902056784e-08
1981,3.479052246291303e-08
1982,3.414126314993382e-08
1983,3.789189650937885e-08
1984,4.755186999716443e-08
1985,3.729645892125433e-08
1986,4.1961398355994106e-08
1987,9.105116927088375e-08
1988,5.217001852741987e-08
1989,3.0733483313838406e-08
1990,4.35892069106103e-08
1991,4.3374841496302e-08
1992,1.983579922537615e-08
1993,4.154405575107489e-08
1994,1.529728693716592e-08
1995,2.548551947256783e-08
1996,5.658377766337708e-08
1997,3.0687324903411195e-08
1998,1.668845217572823e-08
1999,1.4624643496219392e-08
2000,1.6788519241472954e-08
2001,1.3581756608260775e-08
2002,2.3220473099883066e-08
2003,9.58392254446494e-09
2004,1.2333415178034102e-08
2005,1.2610499089404925e-08
2006,2.635449547483404e-08
2007,1.278233413559704e-08
2008,5.534671554396908e-09
2009,8.105927040702454e-09
2010,3.3066552274085836e-09
2011,2.6767803529281764e-09
2012,2.382976926895708e-09
2013,2.789124986524172e-09
2014,1.2992671383216248e-09
2015,1.329945265027277e-09
2016,3.31414412579889e-09
2017,3.270294840485022e-09
2018,6.195520041440972e-09
2019,4.336679071403893e-09
