year,autres_ADJ airs_NOUN,autres_ADJ fers_NOUN
1800,6.60274537267469e-08,5.0306631749208464e-08
1801,6.429193177837078e-08,4.286128785224719e-08
1802,3.5805442166747525e-08,4.0281122437590966e-08
1803,4.6808139586573816e-08,3.90067853572873e-08
1804,8.651478111687538e-08,3.9549615138412264e-08
1805,3.980028751016107e-08,4.264316544322355e-08
1806,1.2103009794373065e-07,2.305335300434308e-08
1807,2.8469550272802735e-08,3.4163463169534225e-08
1808,3.172503681980743e-08,2.7192887941396293e-08
1809,9.036122294858728e-09,2.25903047379461e-08
1810,9.594519356781461e-08,3.2761775514700275e-08
1811,4.763445815569867e-08,2.5070768572277302e-08
1812,8.801787032552966e-08,1.9470620316042186e-07
1813,3.163315653864629e-08,5.463909147351842e-08
1814,1.5733386149463513e-08,7.237357380063258e-08
1815,1.8880564667256294e-08,1.3486118000116676e-08
1816,5.7940098940889584e-08,1.1588019432906549e-08
1817,8.56280379935015e-08,5.916118794857539e-08
1818,6.079800130009971e-08,8.344824209416402e-08
1819,7.866798057420965e-08,3.3123360054787554e-08
1820,4.390598107306687e-08,6.170570543417853e-08
1821,5.719663320746804e-08,2.3667571014129862e-08
1822,6.015369535816717e-08,3.308453244699194e-08
1823,4.249555374258307e-08,7.906149512848515e-09
1824,5.3053010873327366e-08,1.6842225392110777e-08
1825,6.251864448358901e-08,6.516027895031584e-08
1826,5.5490302908189904e-08,2.554315514657901e-08
1827,3.041700225026034e-08,3.96342727526644e-08
1828,2.7516904310687096e-08,4.1275356466030644e-08
1829,2.4862210068476998e-08,4.886710414098161e-08
1830,5.218418053232199e-08,4.0703660886265425e-08
1831,4.5214498811674275e-08,2.6505050598757407e-08
1832,3.788391467196561e-08,2.4353944638733083e-08
1833,7.52935847003755e-08,4.6334513115198206e-08
1834,3.733812548034621e-08,1.9602515166639023e-08
1835,3.6302822081779595e-08,3.2521278114927554e-08
1836,1.0753200108126748e-08,2.9571300075303952e-08
1837,2.99189295560609e-08,2.852735292435682e-08
1838,4.86036455527028e-08,4.5447563934430946e-08
1839,5.2436064379435265e-08,2.866504900111977e-08
1840,5.159447979963261e-08,2.165694112932215e-08
1841,2.6966304744746594e-08,1.5409316489467528e-08
1842,3.287049921141261e-08,2.0124794275488966e-08
1843,2.4809025944705354e-08,9.037574244530333e-08
1844,3.622450606144412e-08,1.975882035765153e-08
1845,4.0177642546268544e-08,8.984167010339661e-08
1846,1.5807152919933287e-08,6.557041842825129e-08
1847,2.9123407685460734e-08,2.480882876909618e-08
1848,2.654923214606697e-08,1.689496542667257e-08
1849,2.8490010350878947e-08,3.100383594301093e-08
1850,1.425689166723032e-08,1.2220192857625989e-08
1851,3.353708066811123e-08,2.1283147688677673e-08
1852,6.640756566866912e-08,5.078225484567156e-08
1853,3.4040009921909586e-08,3.702597695109944e-08
1854,2.5458755104068587e-08,2.5458755104068587e-08
1855,3.131092896069276e-08,5.041590256382733e-08
1856,4.711242240773572e-08,1.9155599773057475e-08
1857,2.0502337605421417e-08,2.8312753030945714e-08
1858,1.859596826525589e-08,1.8106600663259087e-08
1859,3.258990943777462e-08,2.34239969643113e-08
1860,2.654766717569146e-08,3.3413442679375294e-08
1861,3.3483342321005694e-08,1.744906530376511e-08
1862,3.7047489076513784e-08,6.91251927920078e-08
1863,2.8469337998160427e-08,4.395266284262789e-08
1864,1.1986819536957682e-08,2.780942265356856e-08
1865,2.3534221682552925e-08,5.883555487251613e-08
1866,2.6274308950746672e-08,4.135771070057359e-08
1867,1.0190904120577216e-08,2.620518202434141e-08
1868,2.9639243948054173e-08,6.273639874265768e-08
1869,1.904572499711321e-08,3.613804011592947e-08
1870,2.0069171213776826e-08,3.55511033944822e-08
1871,4.354682658913589e-08,3.3987767267262825e-08
1872,3.8702971494330995e-08,2.297988987987054e-08
1873,2.3944018323618366e-08,3.292302319657381e-08
1874,2.6885741633009275e-08,3.584765551067903e-08
1875,3.0324094124623e-08,2.345826111138649e-08
1876,1.4510435741854621e-08,3.4462285469771814e-08
1877,3.339800647150781e-08,4.02013056177708e-08
1878,4.227361927178208e-08,5.254007173771669e-08
1879,7.331190321480108e-09,4.032154521382836e-08
1880,4.428314070992201e-08,5.519347934246355e-08
1881,2.8587281875047665e-08,3.9046041566681566e-08
1882,2.994923331556265e-08,1.7969540522244642e-08
1883,2.211768546089843e-08,2.8437025179073316e-08
1884,1.7164412113856997e-08,3.036780693577157e-08
1885,2.2559724754955823e-08,2.9005360002720693e-08
1886,2.774989482645651e-08,1.5488312854472497e-08
1887,2.0239665943222462e-08,2.3504128421336645e-08
1888,1.7119660356001987e-08,2.7264643875923866e-08
1889,4.2602930960811136e-08,2.6313573542324775e-08
1890,1.6385966361553983e-08,2.0318598359381213e-08
1891,1.7210394887001712e-08,3.1233678754460925e-08
1892,1.002961980134387e-08,2.6327752422616868e-08
1893,2.4017824173938607e-08,5.1114856347567184e-08
1894,2.2685540557176864e-08,1.953477224425626e-08
1895,1.5648398132839247e-08,3.49079627426363e-08
1896,1.5921978790967017e-08,2.6536630670648265e-08
1897,1.5732126712464378e-08,2.8550896535861625e-08
1898,1.8106735777401184e-08,4.017431909364433e-08
1899,2.984892333302014e-08,1.6582735185011188e-08
1900,1.661137005726232e-08,1.8168686111152965e-08
1901,2.9061443029831935e-08,2.51493244007861e-08
1902,2.8479645752810256e-08,8.445688393088346e-08
1903,2.214090244478939e-08,2.214090244478939e-08
1904,2.2573425795258117e-08,2.6873126834914274e-08
1905,2.4771643958310108e-08,2.012695948794274e-08
1906,2.674975863037332e-08,2.41776678677752e-08
1907,2.7771354993433306e-08,1.542852956504248e-08
1908,3.290630701258124e-08,1.0805055739027125e-08
1909,2.0903737407707013e-08,1.7603147384193107e-08
1910,3.847788310196165e-08,2.137660315426615e-08
1911,3.08581699082211e-08,1.4365010292394231e-08
1912,3.6465947372832375e-08,2.1879568989913167e-08
1913,4.295421618394357e-08,1.4318072061314524e-08
1914,3.214437072074361e-08,1.4732836284281348e-08
1915,1.767114277129167e-08,2.709575319670421e-08
1916,6.592477230782379e-09,1.648119329900055e-08
1917,1.4256351654751143e-08,1.864292187292449e-08
1918,2.5270027848023346e-08,2.756730310693456e-08
1919,2.3940405213807026e-08,2.8544329566670967e-08
1920,2.4988365154854364e-08,1.590168707821249e-08
1921,5.679560644011872e-08,1.060184651180407e-08
1922,2.0658220023506146e-08,1.4018077365562931e-08
1923,3.503262746562541e-08,1.1677542932631013e-08
1924,2.836157442231979e-08,9.02413699321869e-09
1925,2.4195990988573612e-08,1.8696901804560184e-08
1926,3.009457216762712e-08,8.916910765321973e-09
1927,2.5643217327342427e-08,1.3379070296082318e-08
1928,2.5137291359556002e-08,5.713020723163709e-09
1929,1.4482528065684619e-08,5.570203187588163e-09
1930,2.2057568216382606e-08,1.8906485821368335e-08
1931,3.307553431142196e-08,1.3686427990933225e-08
1932,2.4110979990332737e-08,1.53433514782364e-08
1933,1.8353059072495626e-08,1.4911860635180574e-08
1934,3.354842448288764e-08,2.036868629318178e-08
1935,1.795242710045386e-08,1.4361940969820353e-08
1936,6.426098764222843e-08,4.849885826274658e-09
1937,7.554670666820584e-09,3.777335444432595e-09
1938,1.5558256905023882e-08,1.2965214124527336e-08
1939,1.8352860564618823e-08,1.070583532936098e-08
1940,5.0715658339584024e-09,2.5357829169792012e-09
1941,5.312704587367989e-08,2.9515025978810172e-09
1942,3.944475324146879e-08,1.2136847082899749e-08
1943,1.1612940831184915e-08,5.806470415592457e-09
1944,1.927911696952833e-08,6.4263723231761105e-09
1945,2.6142048525912287e-08,4.357008087652048e-09
1946,4.454753366189834e-08,1.1136883415474585e-08
1947,1.4305045148432782e-08,1.1920870957027319e-09
1948,2.9354097819123126e-08,9.784699273041042e-09
1949,9.817008539414473e-09,1.9634016634739737e-09
1950,1.4889506516624351e-08,1.1698897850465073e-08
1951,1.5992101864981123e-08,1.2793682557799002e-08
1952,1.2653764258629963e-08,3.1634410646574906e-09
1953,2.2625037843226892e-08,3.232148326759443e-09
1954,2.3454086450769296e-08,1.172704333640695e-08
1955,4.035811418390267e-08,7.508486277174597e-09
1956,3.1396109267944894e-08,1.0465369459922158e-08
1957,3.180613550313183e-08,1.236905244894615e-08
1958,1.9853384713997002e-08,6.617794867658233e-09
1959,2.635254203742221e-08,8.525822714489095e-09
1960,3.391208380776334e-08,1.799416715630997e-08
1961,1.80652133252579e-08,6.94815938118154e-09
1962,1.4586500007851555e-08,7.610347685371721e-09
1963,2.5217608334848762e-08,6.466053248388448e-09
1964,2.8594651979574337e-08,1.520992087833406e-08
1965,2.9001830714747712e-08,8.755269398363907e-09
1966,2.6033652011925312e-08,7.754704656193212e-09
1967,2.5144711202074177e-08,1.3804939191786048e-08
1968,4.715986512415782e-08,1.3025105438657647e-08
1969,2.6796370788950696e-08,1.0900218838649778e-08
